Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.seimicrawler.xpath.antlr.XpathParser::abbreviatedStep()Lorg/seimicrawler/xpath/antlr/XpathParser$AbbreviatedStepContext;,JsoupXpath-2.4.3,org.antlr.v4.runtime.TokenStream::LA(I)I,org.antlr.v4.runtime.CommonTokenStream::LA(I)I,antlr4-runtime-4.7.2,4
org.seimicrawler.xpath.antlr.XpathParser::equalityExpr()Lorg/seimicrawler/xpath/antlr/XpathParser$EqualityExprContext;,JsoupXpath-2.4.3,org.antlr.v4.runtime.TokenStream::LA(I)I,org.antlr.v4.runtime.CommonTokenStream::LA(I)I,antlr4-runtime-4.7.2,158
org.junit.runners.BlockJUnit4ClassRunner::getTestRules(Ljava/lang/Object;)Ljava/util/List;,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::getTestClass()Lorg/junit/runners/model/TestClass;,com.tngtech.java.junit.dataprovider.DataProviderRunner::getTestClass()Lorg/junit/runners/model/TestClass;,junit-dataprovider-1.10.2,50
org.seimicrawler.xpath.core.function.FormatDate::call(Lorg/seimicrawler/xpath/core/Scope;Ljava/util/List;)Lorg/seimicrawler/xpath/core/XValue;,JsoupXpath-2.4.3,org.apache.commons.lang3.time.FastDateFormat::parse(Ljava/lang/String;)Ljava/util/Date;,org.apache.commons.lang3.time.FastDateFormat::parse(Ljava/lang/String;)Ljava/util/Date;,commons-lang3-3.3.2,2
org.jsoup.parser.HtmlTreeBuilder::popStackToClose([Ljava/lang/String;)V,jsoup-1.13.1,org.jsoup.helper.StringUtil::in(Ljava/lang/String;[Ljava/lang/String;)Z,org.jsoup.helper.StringUtil::in(Ljava/lang/String;[Ljava/lang/String;)Z,jsoup-1.10.3,1216
org.antlr.v4.runtime.Parser::enterOuterAlt(Lorg/antlr/v4/runtime/ParserRuleContext;I)V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::setAltNumber(I)V,org.seimicrawler.xpath.antlr.XpathParser$AxisSpecifierContext::setAltNumber(I)V,JsoupXpath-2.4.3,154
org.junit.runner.notification.SynchronizedRunListener::testStarted(Lorg/junit/runner/Description;)V,junit-4.12,org.junit.runner.notification.RunListener::testStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4.JUnit4RunListener::testStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4,36
org.antlr.v4.runtime.tree.AbstractParseTreeVisitor::visit(Lorg/antlr/v4/runtime/tree/ParseTree;)Ljava/lang/Object;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.tree.ParseTree::accept(Lorg/antlr/v4/runtime/tree/ParseTreeVisitor;)Ljava/lang/Object;,org.seimicrawler.xpath.antlr.XpathParser$MultiplicativeExprContext::accept(Lorg/antlr/v4/runtime/tree/ParseTreeVisitor;)Ljava/lang/Object;,JsoupXpath-2.4.3,13372
org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$FunctionCallContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,19
org.antlr.v4.runtime.ParserRuleContext::getRuleContext(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/ParserRuleContext;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$StepContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,54098
