SubClass,Sub Library,Super Class/Interface,Super Library
ch.qos.logback.classic.Logger,logback-classic-1.2.3,org.slf4j.spi.LocationAwareLogger,slf4j-api-1.7.25
org.seimicrawler.xpath.antlr.XpathParser$LocationPathContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathParser$UnaryExprNoRootContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathParser$EqualityExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
com.tngtech.java.junit.dataprovider.DataProviderFilter,junit-dataprovider-1.10.2,org.junit.runner.manipulation.Filter,junit-4.12
org.seimicrawler.xpath.antlr.XpathParser$NCNameContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathParser$FilterExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathParser$FunctionCallContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
ch.qos.logback.classic.LoggerContext,logback-classic-1.2.3,ch.qos.logback.core.spi.LifeCycle,logback-core-1.2.3
org.seimicrawler.xpath.antlr.XpathParser$UnionExprNoRootContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
ch.qos.logback.classic.LoggerContext,logback-classic-1.2.3,ch.qos.logback.core.ContextBase,logback-core-1.2.3
org.seimicrawler.xpath.antlr.XpathParser$AxisSpecifierContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
ch.qos.logback.classic.util.LogbackMDCAdapter,logback-classic-1.2.3,org.slf4j.spi.MDCAdapter,slf4j-api-1.7.25
ch.qos.logback.classic.BasicConfigurator,logback-classic-1.2.3,ch.qos.logback.core.spi.ContextAwareBase,logback-core-1.2.3
org.seimicrawler.xpath.antlr.XpathParser$OrExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathParser$RelationalExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathLexer,JsoupXpath-2.4.3,org.antlr.v4.runtime.Lexer,antlr4-runtime-4.7.2
org.seimicrawler.xpath.exception.DoFailOnErrorHandler,JsoupXpath-2.4.3,org.antlr.v4.runtime.DefaultErrorStrategy,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathParser$AndExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
