ClientLibrary	FieldLibrary	FieldName	FieldSignature	Visibility	Static	Counts
"org.springframework:spring-beans:5.1.10.RELEASE"	"com.alibaba:druid-spring-boot-starter:1.1.20"	"com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceWrapper::basicProperties"	"org.springframework.boot.autoconfigure.jdbc.DataSourceProperties"	"private"	"false"	1
"org.springframework:spring-beans:5.1.10.RELEASE"	"org.springframework.data:spring-data-commons:2.1.11.RELEASE"	"org.springframework.boot.autoconfigure.data.AbstractRepositoryConfigurationSourceSupport$1::attributes"	"org.springframework.core.annotation.AnnotationAttributes"	"private"	"false"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::BIG_INTEGER"	"io.restassured.path.json.config.JsonPathConfig$NumberReturnType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::DOUBLE"	"io.restassured.path.json.config.JsonPathConfig$NumberReturnType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::GSON"	"io.restassured.path.json.config.JsonParserType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::JACKSON_1"	"io.restassured.path.json.config.JsonParserType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::JACKSON_2"	"io.restassured.path.json.config.JsonParserType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::JOHNZON"	"io.restassured.path.json.config.JsonParserType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::JSONB"	"io.restassured.path.json.config.JsonParserType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:json-path:4.4.0"	"java.lang.Class::numberReturnType"	"java.lang.ThreadLocal<io.restassured.path.json.config.JsonPathConfig$NumberReturnType>"	"private"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:rest-assured-common:4.4.0"	"java.lang.Class::closureEndFragment"	"java.lang.Object"	"private"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:rest-assured-common:4.4.0"	"java.lang.Class::closureStartFragment"	"java.lang.Object"	"private"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:rest-assured-common:4.4.0"	"java.lang.Class::listGetterFragment"	"java.lang.Object"	"private"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:rest-assured-common:4.4.0"	"java.lang.Class::listIndexEndFragment"	"java.lang.Object"	"private"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:rest-assured-common:4.4.0"	"java.lang.Class::listIndexStartFragment"	"java.lang.Object"	"private"	"true"	1
