CallerLibrary	ActualCalleeLibrary	ActualCalleeMethod	CalleeVisibility	Counts
net.vidageek:mirror:1.6.1	br.com.caelum:iogi:1.0.1	br.com.caelum.iogi.reflection.NewObject::setProperty(Lbr/com/caelum/iogi/reflection/NewObject$Setter;)V	private	1
net.vidageek:mirror:1.6.1	br.com.caelum:iogi:1.0.1	br.com.caelum.iogi.reflection.NewObject::value()Ljava/lang/Object;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.core.DefaultReflectionProvider::DefaultReflectionProvider()V	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.core.DefaultReflectionProvider::getMethod(Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.core.DefaultReflectionProvider::invoke(Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.core.DefaultReflectionProvider::invokeGetter(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.http.route.DefaultParametersControl::encodeParameter(Ljava/lang/String;)Ljava/lang/String;	private	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.http.route.DefaultRouteBuilder::is(Ljava/lang/Class;Ljava/lang/reflect/Method;)V	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.http.route.DefaultRouteBuilder::withPriority(I)Lbr/com/caelum/vraptor/http/route/RouteBuilder;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.http.route.JavaEvaluator::access(Ljava/lang/Object;I)Ljava/lang/Object;	private	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser::extractControllerNameFrom(Ljava/lang/Class;)Ljava/lang/String;	protected	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser::fixURIs(Ljava/lang/Class;[Ljava/lang/String;)V	protected	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.interceptor.VoidReturn::VoidReturn()V	default	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.observer.ExecuteMethod::access$400(Lbr/com/caelum/vraptor/observer/ExecuteMethod;)Lbr/com/caelum/vraptor/validator/Messages;	default	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.proxy.JavassistProxifier::JavassistProxifier()V	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.proxy.JavassistProxifier::proxify(Ljava/lang/Class;Lbr/com/caelum/vraptor/proxy/MethodInvocation;)Ljava/lang/Object;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.proxy.JavassistProxifier$MethodInvocationAdapter::invoke(Ljava/lang/Object;Ljava/lang/reflect/Method;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.util.test.MockedLogic::forwardTo(Ljava/lang/Class;)Ljava/lang/Object;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.validator.ValidationException::ValidationException(Ljava/util/List;)V	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.view.DefaultValidationViewsFactory::access$200(Lbr/com/caelum/vraptor/view/DefaultValidationViewsFactory;)Lbr/com/caelum/vraptor/proxy/Proxifier;	default	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.view.DefaultValidationViewsFactory::instanceFor(Ljava/lang/Class;Ljava/util/List;)Lbr/com/caelum/vraptor/View;	public	1
net.vidageek:mirror:1.6.1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.view.Results::nothing()Ljava/lang/Class;	public	1
net.vidageek:mirror:1.6.1	com.google.guava:guava:15.0	com.google.common.base.Objects::firstNonNull(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	public	1
net.vidageek:mirror:1.6.1	com.google.guava:guava:15.0	com.google.common.base.Preconditions::checkArgument(ZLjava/lang/String;[Ljava/lang/Object;)V	public	1
net.vidageek:mirror:1.6.1	org.jboss.weld.se:weld-se-core:2.1.2.Final	org.jboss.weld.environment.se.Weld::Weld()V	public	1
net.vidageek:mirror:1.6.1	org.slf4j:slf4j-api:1.7.5	org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;	public	1
org.jboss.spec.javax.el:jboss-el-api_3.0_spec:1.0.0.Alpha1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.validator.MessageList::from(Ljava/lang/String;)Lbr/com/caelum/vraptor/validator/MessageList$MessageListItem;	public	1
org.jboss.spec.javax.el:jboss-el-api_3.0_spec:1.0.0.Alpha1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.validator.MessageList$MessageListItem::join(Ljava/lang/String;)Ljava/lang/String;	public	1
org.jboss.spec.javax.el:jboss-el-api_3.0_spec:1.0.0.Alpha1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.validator.Messages::getErrors()Ljava/util/List;	public	1
org.jboss.spec.javax.el:jboss-el-api_3.0_spec:1.0.0.Alpha1	br.com.caelum:vraptor:4.2.2	br.com.caelum.vraptor.validator.Messages::getInfo()Ljava/util/List;	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.filter.LevelFilter::setLevel(Lch/qos/logback/classic/Level;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.filter.ThresholdFilter::setLevel(Ljava/lang/String;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.jul.LevelChangePropagator::setResetJUL(Z)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.Level::valueOf(Ljava/lang/String;)Lch/qos/logback/classic/Level;	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.LoggerContext::addTurboFilter(Lch/qos/logback/classic/turbo/TurboFilter;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.sift.MDCBasedDiscriminator::setDefaultValue(Ljava/lang/String;)V	public	2
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.sift.MDCBasedDiscriminator::setKey(Ljava/lang/String;)V	public	2
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.sift.SiftingAppender::setDiscriminator(Lch/qos/logback/core/sift/Discriminator;)V	public	2
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.DynamicThresholdFilter::addMDCValueLevelPair(Lch/qos/logback/classic/turbo/MDCValueLevelPair;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.DynamicThresholdFilter::setDefaultThreshold(Lch/qos/logback/classic/Level;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.DynamicThresholdFilter::setKey(Ljava/lang/String;)V	public	1
