Class Name	Class Visibility	Class Library	Usage	Used In Library
org.jfree.data.time.TimeSeriesCollection	public	org.jfree:jfreechart:1.0.19	cast	net.sf.jasperreports:jasperreports:6.17.0
org.apache.batik.css.engine.value.ValueManager	public	org.apache.xmlgraphics:batik-css:1.8	cast	org.apache.xmlgraphics:batik-dom:1.8
org.w3c.dom.svg.SVGPathSegLinetoAbs	public	xml-apis:xml-apis-ext:1.3.04	cast	org.apache.xmlgraphics:batik-svg-dom:1.8
org.apache.batik.dom.svg.AbstractSVGTransformList	public	org.apache.xmlgraphics:batik-svg-dom:1.8	subtyping	org.apache.xmlgraphics:batik-anim:1.8
org.apache.batik.gvt.text.TextPaintInfo	public	org.apache.xmlgraphics:batik-gvt:1.8	cast	org.apache.xmlgraphics:batik-bridge:1.8
org.apache.batik.dom.AbstractStylableDocument	public	org.apache.xmlgraphics:batik-dom:1.8	cast	org.apache.xmlgraphics:batik-anim:1.8
org.jfree.chart.JFreeChart	public	org.jfree:jfreechart:1.0.19	instantiation	net.sf.jasperreports:jasperreports:6.17.0
org.w3c.dom.Element	public	xml-apis:xml-apis:1.3.04	cast	org.apache.xmlgraphics:batik-dom:1.8
org.apache.batik.i18n.LocalizableSupport	public	org.apache.xmlgraphics:batik-util:1.8	instantiation	org.apache.xmlgraphics:batik-css:1.8
org.w3c.dom.svg.SVGPathSegCurvetoCubicSmoothRel	public	xml-apis:xml-apis-ext:1.3.04	cast	org.apache.xmlgraphics:batik-svg-dom:1.8
org.apache.batik.parser.PreserveAspectRatioParser	public	org.apache.xmlgraphics:batik-parser:1.8	instantiation	org.apache.xmlgraphics:batik-svg-dom:1.8
org.apache.batik.css.parser.Parser	public	org.apache.xmlgraphics:batik-css:1.8	Class.forName	org.apache.xmlgraphics:batik-dom:1.8
com.lowagie.text.pdf.RadioCheckField	public	com.lowagie:itext:2.1.7.js8	cast	net.sf.jasperreports:jasperreports:6.17.0
java.io.File	public	unknownLib	Class.forName	commons-beanutils:commons-beanutils:1.7.0
net.sf.jasperreports.engine.design.JRDesignSubreport	public	net.sf.jasperreports:jasperreports:6.17.0	method call	ar.com.fdvs:DynamicJasper:5.3.2
java.sql.Connection	public	java.sql	Class.forName	net.sf.jasperreports:jasperreports:6.17.0
org.w3c.dom.svg.SVGDocument	public	xml-apis:xml-apis-ext:1.3.04	cast	org.apache.xmlgraphics:batik-anim:1.8
org.apache.batik.anim.dom.SVGOMElement	public	org.apache.xmlgraphics:batik-anim:1.8	cast	org.apache.xmlgraphics:batik-bridge:1.8
net.sf.jasperreports.charts.design.JRDesignXySeries	public	net.sf.jasperreports:jasperreports:6.17.0	method call	ar.com.fdvs:DynamicJasper:5.3.2
net.sf.jasperreports.engine.design.JRDesignVariable	public	net.sf.jasperreports:jasperreports:6.17.0	method call	commons-beanutils:commons-beanutils:1.7.0
net.sf.jasperreports.engine.base.JRBaseElement	public	net.sf.jasperreports:jasperreports:6.17.0	method call	commons-beanutils:commons-beanutils:1.7.0
org.apache.batik.dom.ExtensibleDOMImplementation	public	org.apache.xmlgraphics:batik-dom:1.8	subtyping	org.apache.xmlgraphics:batik-anim:1.8
net.sf.jasperreports.engine.xml.JRXmlLoader	public	net.sf.jasperreports:jasperreports:6.17.0	method call	commons-beanutils:commons-beanutils:1.7.0
net.sf.jasperreports.engine.export.HtmlExporter	public	net.sf.jasperreports:jasperreports:6.17.0	Class.forName	ar.com.fdvs:DynamicJasper:5.3.2
net.sf.jasperreports.engine.base.JRBaseBoxTopPen	public	net.sf.jasperreports:jasperreports:6.17.0	method call	ar.com.fdvs:DynamicJasper:5.3.2
org.apache.batik.util.CSSConstants	public	org.apache.xmlgraphics:batik-util:1.8	subtyping	org.apache.xmlgraphics:batik-bridge:1.8
org.w3c.css.sac.SACMediaList	public	xml-apis:xml-apis-ext:1.3.04	subtyping	org.apache.xmlgraphics:batik-css:1.8
net.sf.jasperreports.engine.xml.JRVariableExpressionFactory	public	net.sf.jasperreports:jasperreports:6.17.0	method call	commons-digester:commons-digester:2.1
net.sf.jasperreports.engine.xml.JRVariableExpressionFactory	public	net.sf.jasperreports:jasperreports:6.17.0	Class.forName	commons-digester:commons-digester:2.1
org.jfree.date.MonthConstants	public	org.jfree:jcommon:1.0.23	subtyping	org.jfree:jfreechart:1.0.19
org.jfree.data.general.DefaultPieDataset	public	org.jfree:jfreechart:1.0.19	instantiation	net.sf.jasperreports:jasperreports:6.17.0
org.apache.batik.dom.svg.AbstractSVGPathSegList$SVGPathSegCurvetoCubicSmoothItem	public	org.apache.xmlgraphics:batik-svg-dom:1.8	cast	org.apache.xmlgraphics:batik-anim:1.8
org.apache.batik.anim.dom.AbstractSVGAnimatedLength	public	org.apache.xmlgraphics:batik-anim:1.8	cast	org.apache.xmlgraphics:batik-bridge:1.8
java.sql.Time	public	java.sql	Class.forName	commons-beanutils:commons-beanutils:1.7.0
org.w3c.dom.css.ViewCSS	public	xml-apis:xml-apis:1.3.04	subtyping	xml-apis:xml-apis-ext:1.3.04
org.apache.batik.css.engine.CSSEngineUserAgent	public	org.apache.xmlgraphics:batik-css:1.8	subtyping	org.apache.xmlgraphics:batik-bridge:1.8
net.sf.jasperreports.charts.design.JRDesignBar3DPlot	public	net.sf.jasperreports:jasperreports:6.17.0	method call	ar.com.fdvs:DynamicJasper:5.3.2
net.sf.jasperreports.engine.JRDataset	public	net.sf.jasperreports:jasperreports:6.17.0	cast	ar.com.fdvs:DynamicJasper:5.3.2
org.apache.batik.gvt.CompositeShapePainter	public	org.apache.xmlgraphics:batik-gvt:1.8	instantiation	org.apache.xmlgraphics:batik-bridge:1.8
org.apache.batik.anim.dom.AbstractElement$ExtendedNamedNodeHashMap	protected	org.apache.xmlgraphics:batik-anim:1.8	method call	org.apache.xmlgraphics:batik-dom:1.8
net.sf.jasperreports.crosstabs.design.JRDesignCrosstabBucket	public	net.sf.jasperreports:jasperreports:6.17.0	method call	ar.com.fdvs:DynamicJasper:5.3.2
org.apache.batik.dom.GenericEntityReference	public	org.apache.xmlgraphics:batik-dom:1.8	instantiation	org.apache.xmlgraphics:batik-anim:1.8
org.apache.batik.anim.dom.SVGDOMImplementation	public	org.apache.xmlgraphics:batik-anim:1.8	method call	org.apache.xmlgraphics:batik-bridge:1.8
net.sf.jasperreports.engine.type.HorizontalImageAlignEnum	public	net.sf.jasperreports:jasperreports:6.17.0	method call	ar.com.fdvs:DynamicJasper:5.3.2
org.jfree.chart.axis.CategoryAxis	public	org.jfree:jfreechart:1.0.19	method call	net.sf.jasperreports:jasperreports:6.17.0
org.bouncycastle.asn1.cms.RecipientIdentifier	public	org.bouncycastle:bcprov-jdk15on:1.64	instantiation	com.lowagie:itext:2.1.7.js8
net.sf.jasperreports.parts.PartComponentsExtensionsRegistryFactory	public	net.sf.jasperreports:jasperreports:6.17.0	Class.forName	net.sf.jasperreports:jasperreports:6.17.0
org.jfree.ui.about.Licences	default	org.jfree:jcommon:1.0.23	method call	org.jfree:jfreechart:1.0.19
net.sf.jasperreports.util.CastorMappingExtensionsRegistryFactory	public	net.sf.jasperreports:jasperreports:6.17.0	Class.forName	net.sf.jasperreports:jasperreports:6.17.0
