Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.jfree:jfreechart:1.0.19	org.jfree.util.Rotation::ANTICLOCKWISE	org.jfree.util.Rotation	org.jfree.util.Rotation	org.jfree.util.Rotation	true	public	org.jfree:jcommon:1.0.23	false	3
org.jfree:jfreechart:1.0.19	org.jfree.ui.Size2D::height	org.jfree.ui.Size2D	org.jfree.ui.Size2D	double	false	public	org.jfree:jcommon:1.0.23	false	2061
org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.ext.awt.image.CompositeRule::ATOP	org.apache.batik.ext.awt.image.CompositeRule	org.apache.batik.ext.awt.image.CompositeRule	org.apache.batik.ext.awt.image.CompositeRule	true	public	org.apache.xmlgraphics:batik-awt-util:1.8	false	1
org.eclipse.jdt:ecj:3.21.0	java.lang.Class::compilation_write	org.eclipse.jdt.internal.compiler.util.Messages	java.lang.Class	java.lang.String	true	public	org.eclipse.jdt:ecj:3.21.0	true	1
org.jfree:jfreechart:1.0.19	org.jfree.ui.VerticalAlignment::CENTER	org.jfree.ui.VerticalAlignment	org.jfree.ui.VerticalAlignment	org.jfree.ui.VerticalAlignment	true	public	org.jfree:jcommon:1.0.23	false	5
net.sf.jasperreports:jasperreports:6.17.0	org.jfree.chart.axis.AxisLocation::TOP_OR_LEFT	org.jfree.chart.axis.AxisLocation	org.jfree.chart.axis.AxisLocation	org.jfree.chart.axis.AxisLocation	true	public	org.jfree:jfreechart:1.0.19	false	2
org.apache.xmlgraphics:batik-bridge:1.8	org.apache.xmlgraphics.java2d.color.RenderingIntent::RELATIVE_COLORIMETRIC	org.apache.xmlgraphics.java2d.color.RenderingIntent	org.apache.xmlgraphics.java2d.color.RenderingIntent	org.apache.xmlgraphics.java2d.color.RenderingIntent	true	public	org.apache.xmlgraphics:xmlgraphics-commons:1.5	false	1
org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.gvt.text.GVTAttributedCharacterIterator$TextAttribute::KERNING	org.apache.batik.gvt.text.GVTAttributedCharacterIterator$TextAttribute	org.apache.batik.gvt.text.GVTAttributedCharacterIterator$TextAttribute	org.apache.batik.gvt.text.GVTAttributedCharacterIterator$TextAttribute	true	public	org.apache.xmlgraphics:batik-gvt:1.8	false	1
org.eclipse.jdt:ecj:3.21.0	java.lang.Class::abort_invalidAttribute	org.eclipse.jdt.internal.compiler.util.Messages	java.lang.Class	java.lang.String	true	public	org.eclipse.jdt:ecj:3.21.0	true	1
net.sf.jasperreports:jasperreports:6.17.0	com.lowagie.text.pdf.PdfName::S	com.lowagie.text.pdf.PdfName	com.lowagie.text.pdf.PdfName	com.lowagie.text.pdf.PdfName	true	public	com.lowagie:itext:2.1.7.js8	false	2
org.jfree:jfreechart:1.0.19	org.jfree.ui.TextAnchor::BOTTOM_LEFT	org.jfree.ui.TextAnchor	org.jfree.ui.TextAnchor	org.jfree.ui.TextAnchor	true	public	org.jfree:jcommon:1.0.23	false	3
org.eclipse.jdt:ecj:3.21.0	java.lang.Class::compilation_internalError	org.eclipse.jdt.internal.compiler.util.Messages	java.lang.Class	java.lang.String	true	public	org.eclipse.jdt:ecj:3.21.0	true	1
ar.com.fdvs:DynamicJasper:5.3.2	net.sf.jasperreports.engine.type.OnErrorTypeEnum::ICON	net.sf.jasperreports.engine.type.OnErrorTypeEnum	net.sf.jasperreports.engine.type.OnErrorTypeEnum	net.sf.jasperreports.engine.type.OnErrorTypeEnum	true	public	net.sf.jasperreports:jasperreports:6.17.0	false	1
ar.com.fdvs:DynamicJasper:5.3.2	net.sf.jasperreports.crosstabs.type.CrosstabPercentageEnum::GRAND_TOTAL	net.sf.jasperreports.crosstabs.type.CrosstabPercentageEnum	net.sf.jasperreports.crosstabs.type.CrosstabPercentageEnum	net.sf.jasperreports.crosstabs.type.CrosstabPercentageEnum	true	public	net.sf.jasperreports:jasperreports:6.17.0	false	1
org.eclipse.jdt:ecj:3.21.0	java.lang.Class::parser_regularParse	org.eclipse.jdt.internal.compiler.util.Messages	java.lang.Class	java.lang.String	true	public	org.eclipse.jdt:ecj:3.21.0	true	1
org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.gvt.text.GVTAttributedCharacterIterator$TextAttribute::ORIENTATION_ANGLE	org.apache.batik.gvt.text.GVTAttributedCharacterIterator$TextAttribute	org.apache.batik.gvt.text.GVTAttributedCharacterIterator$TextAttribute	java.lang.Integer	true	public	org.apache.xmlgraphics:batik-gvt:1.8	false	3
