Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
ar.com.fdvs.dj.core.layout.Dj2JrCrosstabBuilder::registerRows()V	ar.com.fdvs:DynamicJasper:5.3.2	public	net.sf.jasperreports.crosstabs.design.JRDesignCrosstabRowGroup::setWidth(I)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.crosstabs.design.JRDesignCrosstabRowGroup::setWidth(I)V	net.sf.jasperreports:jasperreports:6.17.0	17	false	false	
org.apache.batik.bridge.SVGSVGElementBridge::createGraphicsNode(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;)Lorg/apache/batik/gvt/GraphicsNode;	org.apache.xmlgraphics:batik-bridge:1.8	public	org.apache.batik.anim.dom.SVGOMSVGElement::getPreserveAspectRatio()Lorg/w3c/dom/svg/SVGAnimatedPreserveAspectRatio;	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.anim.dom.SVGOMSVGElement::getPreserveAspectRatio()Lorg/w3c/dom/svg/SVGAnimatedPreserveAspectRatio;	org.apache.xmlgraphics:batik-anim:1.8	1	false	false	
org.apache.batik.dom.AbstractParentNode$ElementsByTagName::initialize(Lorg/w3c/dom/Node;)V	org.apache.xmlgraphics:batik-dom:1.8	public	org.w3c.dom.Node::getNodeType()S	xml-apis:xml-apis:1.3.04	org.apache.batik.anim.dom.SVGOMPathElement::getNodeType()S	org.apache.xmlgraphics:batik-anim:1.8	7	false	false	
net.sf.jasperreports.engine.xml.JRBoxFactory::setBoxAttributes(Lorg/xml/sax/Attributes;Lnet/sf/jasperreports/engine/JRLineBox;)V	net.sf.jasperreports:jasperreports:6.17.0	public	org.apache.commons.logging.Log::warn(Ljava/lang/Object;)V	commons-logging:commons-logging:1.0.3	org.apache.commons.logging.impl.Log4JLogger::warn(Ljava/lang/Object;)V	commons-logging:commons-logging:1.0.3	56	false	false	
net.sf.jasperreports.engine.JRExpressionCollector::collect()Ljava/util/Collection;	net.sf.jasperreports:jasperreports:6.17.0	public	net.sf.jasperreports.engine.JRReport::getLastPageFooter()Lnet/sf/jasperreports/engine/JRBand;	net.sf.jasperreports:jasperreports:6.17.0	ar.com.fdvs.dj.domain.DynamicJasperDesign::getLastPageFooter()Lnet/sf/jasperreports/engine/JRBand;	ar.com.fdvs:DynamicJasper:5.3.2	126	false	false	
org.apache.commons.digester.FactoryCreateRule::getFactory(Lorg/xml/sax/Attributes;)Lorg/apache/commons/digester/ObjectCreationFactory;	commons-digester:commons-digester:2.1	public	org.apache.commons.digester.ObjectCreationFactory::setDigester(Lorg/apache/commons/digester/Digester;)V	commons-digester:commons-digester:2.1	net.sf.jasperreports.engine.xml.JRTextElementFactory::setDigester(Lorg/apache/commons/digester/Digester;)V	net.sf.jasperreports:jasperreports:6.17.0	8	false	false	
ar.com.fdvs.dj.util.HyperLinkUtil::applyHyperLinkToElement(Lar/com/fdvs/dj/domain/DynamicJasperDesign;Lar/com/fdvs/dj/domain/DJHyperLink;Lnet/sf/jasperreports/engine/design/JRDesignTextField;Ljava/lang/String;)V	ar.com.fdvs:DynamicJasper:5.3.2	public	net.sf.jasperreports.engine.design.JRDesignExpression::setText(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.engine.design.JRDesignExpression::setText(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	9	false	false	
org.apache.batik.bridge.BridgeContext::addDOMListeners()V	org.apache.xmlgraphics:batik-bridge:1.8	public	org.apache.batik.anim.dom.SVGOMDocument::getCSSEngine()Lorg/apache/batik/css/engine/CSSEngine;	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.anim.dom.SVGOMDocument::getCSSEngine()Lorg/apache/batik/css/engine/CSSEngine;	org.apache.xmlgraphics:batik-anim:1.8	1	false	false	
ar.com.fdvs.dj.domain.chart.plot.TimeSeriesPlot::transform(Lar/com/fdvs/dj/domain/DynamicJasperDesign;Lnet/sf/jasperreports/engine/JRChartPlot;Ljava/lang/String;)V	ar.com.fdvs:DynamicJasper:5.3.2	public	net.sf.jasperreports.charts.design.JRDesignTimeSeriesPlot::setValueAxisTickLabelMask(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.charts.design.JRDesignTimeSeriesPlot::setValueAxisTickLabelMask(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	5	false	false	
ar.com.fdvs.dj.core.layout.AbstractLayoutManager::addStyleToDesign(Lar/com/fdvs/dj/domain/Style;)V	ar.com.fdvs:DynamicJasper:5.3.2	public	net.sf.jasperreports.engine.design.JRDesignStyle::setName(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.engine.design.JRDesignStyle::setName(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	295	false	false	
net.sf.jasperreports.engine.fill.DefaultChartTheme::configurePlot(Lorg/jfree/chart/plot/Plot;)V	net.sf.jasperreports:jasperreports:6.17.0	public	org.jfree.chart.plot.Plot::setForegroundAlpha(F)V	org.jfree:jfreechart:1.0.19	org.jfree.chart.plot.PiePlot3D::setForegroundAlpha(F)V	org.jfree:jfreechart:1.0.19	4	false	false	
org.apache.batik.bridge.GVTBuilder::buildComposite(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;Lorg/apache/batik/gvt/CompositeGraphicsNode;)V	org.apache.xmlgraphics:batik-bridge:1.8	public	org.w3c.dom.Node::getNodeType()S	xml-apis:xml-apis:1.3.04	org.apache.batik.dom.GenericElementNS::getNodeType()S	org.apache.xmlgraphics:batik-dom:1.8	1	false	false	
com.lowagie.text.pdf.PdfEncryption::createDocumentId()[B	com.lowagie:itext:2.1.7.js8	public	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	372	false	false	
org.apache.batik.dom.AbstractElement$NamedNodeHashMap::getNamedItem(Ljava/lang/String;)Lorg/w3c/dom/Node;	org.apache.xmlgraphics:batik-dom:1.8	protected	org.apache.batik.dom.AbstractElement$NamedNodeHashMap::get(Ljava/lang/String;Ljava/lang/String;)Lorg/w3c/dom/Node;	org.apache.xmlgraphics:batik-dom:1.8	org.apache.batik.anim.dom.AbstractElement$ExtendedNamedNodeHashMap::get(Ljava/lang/String;Ljava/lang/String;)Lorg/w3c/dom/Node;	org.apache.xmlgraphics:batik-anim:1.8	2	false	false	
org.apache.batik.dom.AbstractElement::invalidateElementsByTagName(Lorg/w3c/dom/Node;)V	org.apache.xmlgraphics:batik-dom:1.8	public	org.w3c.dom.Node::getNodeName()Ljava/lang/String;	xml-apis:xml-apis:1.3.04	org.apache.batik.anim.dom.SVGOMPathElement::getNodeName()Ljava/lang/String;	org.apache.xmlgraphics:batik-anim:1.8	14	false	false	
org.apache.batik.dom.AbstractParentNode::appendChild(Lorg/w3c/dom/Node;)Lorg/w3c/dom/Node;	org.apache.xmlgraphics:batik-dom:1.8	public	org.apache.batik.dom.ExtendedNode::setParentNode(Lorg/w3c/dom/Node;)V	org.apache.xmlgraphics:batik-dom:1.8	org.apache.batik.anim.dom.SVGOMLinearGradientElement::setParentNode(Lorg/w3c/dom/Node;)V	org.apache.xmlgraphics:batik-anim:1.8	44	false	false	
org.apache.batik.bridge.GVTBuilder::handleGenericBridges(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;)V	org.apache.xmlgraphics:batik-bridge:1.8	public	org.w3c.dom.Node::getNextSibling()Lorg/w3c/dom/Node;	xml-apis:xml-apis:1.3.04	org.apache.batik.anim.dom.SVGOMMarkerElement::getNextSibling()Lorg/w3c/dom/Node;	org.apache.xmlgraphics:batik-anim:1.8	1	false	false	
ar.com.fdvs.dj.domain.chart.plot.AreaPlot::transform(Lar/com/fdvs/dj/domain/DynamicJasperDesign;Lnet/sf/jasperreports/engine/JRChartPlot;Ljava/lang/String;)V	ar.com.fdvs:DynamicJasper:5.3.2	public	net.sf.jasperreports.charts.design.JRDesignAreaPlot::setCategoryAxisLineColor(Ljava/awt/Color;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.charts.design.JRDesignAreaPlot::setCategoryAxisLineColor(Ljava/awt/Color;)V	net.sf.jasperreports:jasperreports:6.17.0	20	false	false	
ar.com.fdvs.dj.util.HyperLinkUtil::applyHyperLinkToElement(Lar/com/fdvs/dj/domain/DynamicJasperDesign;Lar/com/fdvs/dj/domain/DJHyperLink;Lnet/sf/jasperreports/engine/design/JRDesignChart;Ljava/lang/String;)V	ar.com.fdvs:DynamicJasper:5.3.2	public	net.sf.jasperreports.engine.design.JRDesignChart::setHyperlinkTooltipExpression(Lnet/sf/jasperreports/engine/JRExpression;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.engine.design.JRDesignChart::setHyperlinkTooltipExpression(Lnet/sf/jasperreports/engine/JRExpression;)V	net.sf.jasperreports:jasperreports:6.17.0	18	false	false	
org.apache.batik.dom.util.SAXDocumentFactory::endElement(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V	org.apache.xmlgraphics:batik-dom:1.8	public	org.w3c.dom.Node::getParentNode()Lorg/w3c/dom/Node;	xml-apis:xml-apis:1.3.04	org.apache.batik.anim.dom.SVGOMPathElement::getParentNode()Lorg/w3c/dom/Node;	org.apache.xmlgraphics:batik-anim:1.8	14	false	false	
org.apache.commons.beanutils.PropertyUtilsBean::invokeMethod(Ljava/lang/reflect/Method;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;	commons-beanutils:commons-beanutils:1.7.0	public	net.sf.jasperreports.engine.design.JasperDesign::setMainDataset(Lnet/sf/jasperreports/engine/design/JRDesignDataset;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.engine.design.JasperDesign::setMainDataset(Lnet/sf/jasperreports/engine/design/JRDesignDataset;)V	net.sf.jasperreports:jasperreports:6.17.0	8	true	false	
sun.reflect.GeneratedMethodAccessor61::invoke	unknownLib	public		net.sf.jasperreports:jasperreports:6.17.0	interface net.sf.jasperreports.export.XlsReportConfiguration::getPrintPageTopMargin()Ljava/lang/Integer;	net.sf.jasperreports:jasperreports:6.17.0	12	false	true	
org.apache.batik.bridge.BridgeContext::getBridge(Lorg/w3c/dom/Element;)Lorg/apache/batik/bridge/Bridge;	org.apache.xmlgraphics:batik-bridge:1.8	public	org.w3c.dom.Element::getLocalName()Ljava/lang/String;	xml-apis:xml-apis:1.3.04	org.apache.batik.anim.dom.SVGOMStopElement::getLocalName()Ljava/lang/String;	org.apache.xmlgraphics:batik-anim:1.8	4	false	false	
sun.reflect.NativeMethodAccessorImpl::invoke0	unknownLib	public		net.sf.jasperreports:jasperreports:6.17.0	interface net.sf.jasperreports.export.XlsReportConfiguration::getSheetHeaderRight()Ljava/lang/String;	net.sf.jasperreports:jasperreports:6.17.0	8	false	true	
net.sf.jasperreports.engine.design.JRVerifier::verifyDesign()Ljava/util/Collection;	net.sf.jasperreports:jasperreports:6.17.0	public	net.sf.jasperreports.engine.design.JasperDesign::getDetailSection()Lnet/sf/jasperreports/engine/JRSection;	net.sf.jasperreports:jasperreports:6.17.0	ar.com.fdvs.dj.domain.DynamicJasperDesign::getDetailSection()Lnet/sf/jasperreports/engine/JRSection;	ar.com.fdvs:DynamicJasper:5.3.2	126	false	false	
sun.reflect.GeneratedMethodAccessor76::invoke	unknownLib	public		net.sf.jasperreports:jasperreports:6.17.0	interface net.sf.jasperreports.export.XlsReportConfiguration::getFreezeRow()Ljava/lang/Integer;	net.sf.jasperreports:jasperreports:6.17.0	2	false	true	
org.apache.batik.dom.AbstractParentNode$ElementsByTagName::initialize(Lorg/w3c/dom/Node;)V	org.apache.xmlgraphics:batik-dom:1.8	public	org.w3c.dom.Node::getNodeType()S	xml-apis:xml-apis:1.3.04	org.apache.batik.anim.dom.SVGOMDefsElement::getNodeType()S	org.apache.xmlgraphics:batik-anim:1.8	1	false	false	
org.apache.commons.beanutils.PropertyUtilsBean::invokeMethod(Ljava/lang/reflect/Method;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;	commons-beanutils:commons-beanutils:1.7.0	public	net.sf.jasperreports.engine.design.JasperDesign::setFormatFactoryClass(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.engine.design.JasperDesign::setFormatFactoryClass(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	8	true	false	
org.apache.batik.dom.AbstractElement::invalidateElementsByTagName(Lorg/w3c/dom/Node;)V	org.apache.xmlgraphics:batik-dom:1.8	public	org.w3c.dom.Node::getParentNode()Lorg/w3c/dom/Node;	xml-apis:xml-apis:1.3.04	org.apache.batik.anim.dom.SVGOMGElement::getParentNode()Lorg/w3c/dom/Node;	org.apache.xmlgraphics:batik-anim:1.8	20	false	false	
ar.com.fdvs.dj.output.MemoryReportWriter::writeTo(Ljavax/servlet/http/HttpServletResponse;)V	ar.com.fdvs:DynamicJasper:5.3.2	public	org.apache.commons.logging.Log::info(Ljava/lang/Object;)V	commons-logging:commons-logging:1.0.3	org.apache.commons.logging.impl.Log4JLogger::info(Ljava/lang/Object;)V	commons-logging:commons-logging:1.0.3	2	false	false	
sun.reflect.NativeMethodAccessorImpl::invoke0	unknownLib	public		net.sf.jasperreports:jasperreports:6.17.0	interface net.sf.jasperreports.export.XlsReportConfiguration::getPrintPageTopMargin()Ljava/lang/Integer;	net.sf.jasperreports:jasperreports:6.17.0	8	false	true	
ar.com.fdvs.dj.core.layout.Dj2JrCrosstabBuilder::registerRows()V	ar.com.fdvs:DynamicJasper:5.3.2	public	net.sf.jasperreports.crosstabs.design.JRDesignCrosstabBucket::setValueClassName(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	net.sf.jasperreports.crosstabs.design.JRDesignCrosstabBucket::setValueClassName(Ljava/lang/String;)V	net.sf.jasperreports:jasperreports:6.17.0	17	false	false	
org.jfree.chart.axis.ValueAxis::drawTickMarksAndLabels(Ljava/awt/Graphics2D;DLjava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;)Lorg/jfree/chart/axis/AxisState;	org.jfree:jfreechart:1.0.19	public	org.jfree.text.TextUtilities::drawRotatedString(Ljava/lang/String;Ljava/awt/Graphics2D;FFLorg/jfree/ui/TextAnchor;DLorg/jfree/ui/TextAnchor;)V	org.jfree:jcommon:1.0.23	org.jfree.text.TextUtilities::drawRotatedString(Ljava/lang/String;Ljava/awt/Graphics2D;FFLorg/jfree/ui/TextAnchor;DLorg/jfree/ui/TextAnchor;)V	org.jfree:jcommon:1.0.23	490	false	false	
