SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.jfree.chart.labels.StandardXYToolTipGenerator	org.jfree:jfreechart:1.0.19	org.jfree.util.PublicCloneable	public	org.jfree:jcommon:1.0.23	1
net.sf.jasperreports.engine.design.JRJdtCompiler$CompilerRequestor	net.sf.jasperreports:jasperreports:6.17.0	org.eclipse.jdt.internal.compiler.ICompilerRequestor	public	org.eclipse.jdt:ecj:3.21.0	1
org.apache.batik.anim.dom.SVGOMAnimatedPathData$NormalizedBaseSVGPathSegList	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.svg.AbstractSVGNormPathSegList	public	org.apache.xmlgraphics:batik-svg-dom:1.8	1
org.apache.batik.bridge.AbstractGraphicsNodeBridge	org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.dom.svg.SVGContext	public	org.apache.xmlgraphics:batik-svg-dom:1.8	1
org.jfree.data.xy.IntervalXYDelegate	org.jfree:jfreechart:1.0.19	org.jfree.util.PublicCloneable	public	org.jfree:jcommon:1.0.23	1
org.apache.xml.dtm.DTMDOMException	org.apache.xml.dtm	org.w3c.dom.DOMException	public	xml-apis:xml-apis:1.3.04	1
org.apache.batik.bridge.BridgeContext$CSSPropertiesChangedListener	org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.css.engine.CSSEngineListener	public	org.apache.xmlgraphics:batik-css:1.8	1
org.apache.batik.anim.dom.SVGDOMImplementation$FeTileElementFactory	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.ExtensibleDOMImplementation$ElementFactory	public	org.apache.xmlgraphics:batik-dom:1.8	1
org.apache.batik.anim.dom.SVGOMAnimatedPathData$BaseSVGPathSegList	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.svg.AbstractSVGPathSegList	public	org.apache.xmlgraphics:batik-svg-dom:1.8	1
org.apache.batik.bridge.SVGAnimationElementBridge	org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.anim.dom.AnimatableElement	public	org.apache.xmlgraphics:batik-anim:1.8	1
org.w3c.dom.svg.SVGSVGElement	xml-apis:xml-apis-ext:1.3.04	org.w3c.dom.events.DocumentEvent	public	xml-apis:xml-apis:1.3.04	1
org.apache.batik.dom.svg.AbstractSVGPathSegList$SVGPathSegMovetoLinetoItem	org.apache.xmlgraphics:batik-svg-dom:1.8	org.w3c.dom.svg.SVGPathSegLinetoAbs	public	xml-apis:xml-apis-ext:1.3.04	1
org.apache.batik.anim.dom.SVGOMAnimatedPathData$AnimSVGPathSegList	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.svg.AbstractSVGPathSegList	public	org.apache.xmlgraphics:batik-svg-dom:1.8	1
org.apache.batik.bridge.TextNode	org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.gvt.AbstractGraphicsNode	public	org.apache.xmlgraphics:batik-gvt:1.8	1
org.apache.batik.dom.AbstractDocumentFragment	org.apache.xmlgraphics:batik-dom:1.8	org.w3c.dom.DocumentFragment	public	xml-apis:xml-apis:1.3.04	1
org.apache.batik.anim.dom.SVGDOMImplementation$StyleElementFactory	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.ExtensibleDOMImplementation$ElementFactory	public	org.apache.xmlgraphics:batik-dom:1.8	1
org.apache.batik.anim.dom.SVGOMPathElement	org.apache.xmlgraphics:batik-anim:1.8	org.w3c.dom.svg.SVGPathElement	public	xml-apis:xml-apis-ext:1.3.04	1
org.apache.batik.dom.svg.AbstractSVGPathSegList$SVGPathSegMovetoLinetoItem	org.apache.xmlgraphics:batik-svg-dom:1.8	org.w3c.dom.svg.SVGPathSegLinetoRel	public	xml-apis:xml-apis-ext:1.3.04	1
