Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
br.com.caelum.vraptor.util.StringUtils	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.cache.DefaultCacheStore	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.controller.DefaultControllerNotFoundHandler	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.interceptor.VoidReturn	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.interceptor.ApplicationLogicException	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.converter.BigIntegerConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.Convert	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Stereotype	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.serialization.xstream.XStreamBuilderImpl	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.Dependent	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.serialization.gson.Exclusions	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
javax.enterprise.inject.Default	-	-	javax.enterprise:cdi-api:1.1	javax.inject.Qualifier	public	javax.inject:javax.inject:1	1
br.com.caelum.vraptor.converter.IntegerConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	1
org.hibernate.validator.constraints.EAN	-	-	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.converter.PrimitiveDoubleConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.util.test.MockHttpServletResponse	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.validator.I18nParam	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.converter.PrimitiveCharConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.serialization.gson.MessageGsonConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.serialization.xstream.XStreamSerializer	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.interceptor.NoStackParamValidationRule	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.Dependent	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.serialization.xstream.XStreamConverters	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.RequestScoped	public	javax.enterprise:cdi-api:1.1	1
org.hibernate.validator.constraints.URL	-	-	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.validator.beanvalidation.MessageInterpolatorFactory	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.validator.beanvalidation.MethodValidator	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
