Class Name	Class Visibility	Class Library	Usage	Used In Library
javax.validation.executable.ValidateOnExecution	public	javax.validation:validation-api:1.1.0.Final	cast	org.hibernate:hibernate-validator-cdi:5.1.0.Final
javax.validation.ConstraintValidatorFactory	public	javax.validation:validation-api:1.1.0.Final	subtyping	org.hibernate:hibernate-validator:5.1.0.Final
java.util.EnumSet	public	unknownLib	Class.forName	com.thoughtworks.xstream:xstream:1.4.7
org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator	public	org.hibernate:hibernate-validator:5.1.0.Final	method call	br.com.caelum:vraptor:4.2.2
javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	annotation	br.com.caelum:vraptor:4.2.2
com.google.common.collect.Sets	public	com.google.guava:guava:15.0	method call	br.com.caelum:iogi:1.0.1
javax.validation.ValidationException	public	javax.validation:validation-api:1.1.0.Final	method call	org.hibernate:hibernate-validator:5.1.0.Final
br.com.caelum.vraptor.proxy.JavassistProxifier$1	default	br.com.caelum:vraptor:4.2.2	method call	org.javassist:javassist:3.18.1-GA
br.com.caelum.vraptor.serialization.gson.DateGsonConverter	public	br.com.caelum:vraptor:4.2.2	method call	com.google.code.gson:gson:2.2.4
com.google.common.collect.LinkedHashMultimap	public	com.google.guava:guava:15.0	method call	br.com.caelum:vraptor:4.2.2
com.google.common.collect.FluentIterable	public	com.google.guava:guava:15.0	method call	br.com.caelum:vraptor:4.2.2
java.sql.Date	public	java.sql	instantiation	com.google.code.gson:gson:2.2.4
javax.inject.Qualifier	public	javax.inject:javax.inject:1	annotation	javax.enterprise:cdi-api:1.1
com.google.gson.JsonArray	public	com.google.code.gson:gson:2.2.4	method call	br.com.caelum:vraptor:4.2.2
javax.enterprise.inject.spi.Interceptor	public	javax.enterprise:cdi-api:1.1	subtyping	org.jboss.weld:weld-core-impl:2.1.2.Final
com.google.gson.JsonObject	public	com.google.code.gson:gson:2.2.4	instantiation	br.com.caelum:vraptor:4.2.2
javax.servlet.jsp.jstl.fmt.LocalizationContext	public	javax.servlet:jstl:1.2	cast	br.com.caelum:vraptor:4.2.2
