Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.hibernate:hibernate-validator:5.1.0.Final	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer::id	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer	java.lang.Integer	FALSE	public	unknownLib	TRUE	3
org.hibernate:hibernate-validator-cdi:5.1.0.Final	javax.validation.executable.ExecutableType::CONSTRUCTORS	javax.validation.executable.ExecutableType	javax.validation.executable.ExecutableType	javax.validation.executable.ExecutableType	TRUE	public	javax.validation:validation-api:1.1.0.Final	FALSE	2
com.thoughtworks.xstream:xstream:1.4.7	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Person::dog	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Person	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Person	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Dog	FALSE	private	unknownLib	TRUE	1
com.thoughtworks.xstream:xstream:1.4.7	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$AdvancedOrder::comments	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$Order	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$AdvancedOrder	java.lang.String	FALSE	default	unknownLib	TRUE	4
com.thoughtworks.xstream:xstream:1.4.7	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Dog::name	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Dog	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Dog	java.lang.String	FALSE	private	unknownLib	TRUE	6
org.hibernate:hibernate-validator:5.1.0.Final	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer::name	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer	java.lang.String	FALSE	public	unknownLib	TRUE	3
com.google.code.gson:gson:2.2.4	br.com.caelum.vraptor.util.test.MockSerializationResultTest$Car::owner	br.com.caelum.vraptor.util.test.MockSerializationResultTest$Car	br.com.caelum.vraptor.util.test.MockSerializationResultTest$Car	java.lang.String	FALSE	default	unknownLib	TRUE	1
com.thoughtworks.xstream:xstream:1.4.7	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$GenericWrapper::entityList	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$GenericWrapper	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$GenericWrapper	java.util.Collection<T>	FALSE	default	unknownLib	TRUE	2
com.google.code.gson:gson:2.2.4	br.com.caelum.vraptor.serialization.gson.GsonDeserializerTest$Dog::age	br.com.caelum.vraptor.serialization.gson.GsonDeserializerTest$Dog	br.com.caelum.vraptor.serialization.gson.GsonDeserializerTest$Dog	java.lang.Integer	FALSE	private	unknownLib	TRUE	17
com.google.code.gson:gson:2.2.4	br.com.caelum.vraptor.serialization.gson.GsonJSONSerializationTest$Order::client	br.com.caelum.vraptor.serialization.gson.GsonJSONSerializationTest$Order	br.com.caelum.vraptor.serialization.gson.GsonJSONSerializationTest$Order	br.com.caelum.vraptor.serialization.gson.GsonJSONSerializationTest$Client	FALSE	default	unknownLib	TRUE	3
