Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
br.com.caelum.vraptor.core.DefaultReflectionProvider::getMethodsFor(Ljava/lang/Class;)Ljava/util/List;	br.com.caelum:vraptor:4.2.2	public	net.vidageek.mirror.reflect.dsl.AllReflectionHandler::methods()Lnet/vidageek/mirror/list/dsl/MirrorList;	net.vidageek:mirror:1.6.1	net.vidageek.mirror.reflect.DefaultAllReflectionHandler::methods()Lnet/vidageek/mirror/list/dsl/MirrorList;	net.vidageek:mirror:1.6.1	33	false	false	
br.com.caelum.vraptor.serialization.gson.GsonBuilderWrapper::create()Lcom/google/gson/Gson;	br.com.caelum:vraptor:4.2.2	public	com.google.gson.GsonBuilder::addSerializationExclusionStrategy(Lcom/google/gson/ExclusionStrategy;)Lcom/google/gson/GsonBuilder;	com.google.code.gson:gson:2.2.4	com.google.gson.GsonBuilder::addSerializationExclusionStrategy(Lcom/google/gson/ExclusionStrategy;)Lcom/google/gson/GsonBuilder;	com.google.code.gson:gson:2.2.4	56	false	false	
com.thoughtworks.xstream.core.DefaultConverterLookup::lookupConverterForType(Ljava/lang/Class;)Lcom/thoughtworks/xstream/converters/Converter;	com.thoughtworks.xstream:xstream:1.4.7	public	com.thoughtworks.xstream.converters.Converter::canConvert(Ljava/lang/Class;)Z	com.thoughtworks.xstream:xstream:1.4.7	br.com.caelum.vraptor.serialization.xstream.MessageConverter::canConvert(Ljava/lang/Class;)Z	br.com.caelum:vraptor:4.2.2	7	false	false	
br.com.caelum.vraptor.serialization.gson.Exclusions::shouldSkipField(Lcom/google/gson/FieldAttributes;)Z	br.com.caelum:vraptor:4.2.2	public	com.google.gson.FieldAttributes::getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;	com.google.code.gson:gson:2.2.4	com.google.gson.FieldAttributes::getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;	com.google.code.gson:gson:2.2.4	438	false	false	
br.com.caelum.vraptor.serialization.gson.CalendarGsonConverter::deserialize(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Ljava/util/Calendar;	br.com.caelum:vraptor:4.2.2	public	javax.xml.bind.DatatypeConverter::parseDate(Ljava/lang/String;)Ljava/util/Calendar;	javax.xml.bind	javax.xml.bind.DatatypeConverter::parseDate(Ljava/lang/String;)Ljava/util/Calendar;	javax.xml.bind	4	false	false	
br.com.caelum.iogi.parameters.Parameter::getName()Ljava/lang/String;	br.com.caelum:iogi:1.0.1	public	com.google.common.base.Joiner::join(Ljava/lang/Iterable;)Ljava/lang/String;	com.google.guava:guava:15.0	com.google.common.base.Joiner::join(Ljava/lang/Iterable;)Ljava/lang/String;	com.google.guava:guava:15.0	32	false	false	
br.com.caelum.vraptor.interceptor.InterceptorAcceptsExecutor::accepts(Ljava/lang/Object;Ljava/lang/reflect/Method;)Ljava/lang/Boolean;	br.com.caelum:vraptor:4.2.2	public	com.google.common.base.Objects::firstNonNull(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:15.0	com.google.common.base.Objects::firstNonNull(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:15.0	4	false	false	
br.com.caelum.vraptor.observer.InstantiateObserver::getControllerInstance()Lbr/com/caelum/vraptor/controller/ControllerInstance;	br.com.caelum:vraptor:4.2.2	public	com.google.common.base.Preconditions::checkState(ZLjava/lang/Object;)V	com.google.guava:guava:15.0	com.google.common.base.Preconditions::checkState(ZLjava/lang/Object;)V	com.google.guava:guava:15.0	1	false	false	
br.com.caelum.vraptor.observer.download.DownloadBuilder$FileDownloadBuilder::build()Lbr/com/caelum/vraptor/observer/download/FileDownload;	br.com.caelum:vraptor:4.2.2	public	com.google.common.base.Objects::firstNonNull(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:15.0	com.google.common.base.Objects::firstNonNull(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:15.0	3	false	false	
com.thoughtworks.xstream.XStream::marshal(Ljava/lang/Object;Lcom/thoughtworks/xstream/io/HierarchicalStreamWriter;)V	com.thoughtworks.xstream:xstream:1.4.7	public	com.thoughtworks.xstream.XStream::marshal(Ljava/lang/Object;Lcom/thoughtworks/xstream/io/HierarchicalStreamWriter;Lcom/thoughtworks/xstream/converters/DataHolder;)V	com.thoughtworks.xstream:xstream:1.4.7	br.com.caelum.vraptor.serialization.xstream.VRaptorXStream::marshal(Ljava/lang/Object;Lcom/thoughtworks/xstream/io/HierarchicalStreamWriter;Lcom/thoughtworks/xstream/converters/DataHolder;)V	br.com.caelum:vraptor:4.2.2	69	false	false	
br.com.caelum.iogi.reflection.NewObject::setProperty(Lbr/com/caelum/iogi/reflection/NewObject$Setter;)V	br.com.caelum:iogi:1.0.1	public	br.com.caelum.iogi.Instantiator::instantiate(Lbr/com/caelum/iogi/reflection/Target;Lbr/com/caelum/iogi/parameters/Parameters;)Ljava/lang/Object;	br.com.caelum:iogi:1.0.1	br.com.caelum.vraptor.http.iogi.VRaptorInstantiator::instantiate(Lbr/com/caelum/iogi/reflection/Target;Lbr/com/caelum/iogi/parameters/Parameters;)Ljava/lang/Object;	br.com.caelum:vraptor:4.2.2	15	false	false	
br.com.caelum.vraptor.http.iogi.VRaptorInstantiator::createInstantiator()V	br.com.caelum:vraptor:4.2.2	public	br.com.caelum.iogi.conversion.FallbackConverter::fallbackToNull(Lbr/com/caelum/iogi/conversion/TypeConverter;)Lbr/com/caelum/iogi/conversion/FallbackConverter;	br.com.caelum:iogi:1.0.1	br.com.caelum.iogi.conversion.FallbackConverter::fallbackToNull(Lbr/com/caelum/iogi/conversion/TypeConverter;)Lbr/com/caelum/iogi/conversion/FallbackConverter;	br.com.caelum:iogi:1.0.1	42	false	false	
br.com.caelum.iogi.util.IogiCollections$1$1::computeNext()Ljava/util/Map$Entry;	br.com.caelum:iogi:1.0.1	public	com.google.common.collect.Maps::immutableEntry(Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/Map$Entry;	com.google.guava:guava:15.0	com.google.common.collect.Maps::immutableEntry(Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/Map$Entry;	com.google.guava:guava:15.0	3	false	false	
br.com.caelum.vraptor.serialization.xstream.XStreamSerializer::hasDefaultConverter()Z	br.com.caelum:vraptor:4.2.2	public	com.thoughtworks.xstream.converters.ConverterLookup::lookupConverterForType(Ljava/lang/Class;)Lcom/thoughtworks/xstream/converters/Converter;	com.thoughtworks.xstream:xstream:1.4.7	com.thoughtworks.xstream.XStream$1::lookupConverterForType(Ljava/lang/Class;)Lcom/thoughtworks/xstream/converters/Converter;	com.thoughtworks.xstream:xstream:1.4.7	22	false	false	
br.com.caelum.vraptor.interceptor.WithAnnotationAcceptor::containsAllowedTypes([Ljava/lang/annotation/Annotation;)Z	br.com.caelum:vraptor:4.2.2	public	com.google.common.collect.FluentIterable::from(Ljava/lang/Iterable;)Lcom/google/common/collect/FluentIterable;	com.google.guava:guava:15.0	com.google.common.collect.FluentIterable::from(Ljava/lang/Iterable;)Lcom/google/common/collect/FluentIterable;	com.google.guava:guava:15.0	7	false	false	
org.hibernate.validator.internal.cdi.ValidationExtension::ValidationExtension()V	org.hibernate:hibernate-validator-cdi:5.1.0.Final	public	javax.validation.BootstrapConfiguration::getDefaultValidatedExecutableTypes()Ljava/util/Set;	javax.validation:validation-api:1.1.0.Final	org.hibernate.validator.internal.xml.BootstrapConfigurationImpl::getDefaultValidatedExecutableTypes()Ljava/util/Set;	org.hibernate:hibernate-validator:5.1.0.Final	8	false	false	
br.com.caelum.vraptor.validator.MessageList$MessageListItem::join(Ljava/lang/String;)Ljava/lang/String;	br.com.caelum:vraptor:4.2.2	public	com.google.common.base.Joiner::join(Ljava/lang/Iterable;)Ljava/lang/String;	com.google.guava:guava:15.0	com.google.common.base.Joiner::join(Ljava/lang/Iterable;)Ljava/lang/String;	com.google.guava:guava:15.0	5	false	false	
br.com.caelum.vraptor.http.iogi.VRaptorInstantiator$VRaptorTypeConverter::isSupportedCollection(Lbr/com/caelum/iogi/reflection/Target;)Z	br.com.caelum:vraptor:4.2.2	public	br.com.caelum.iogi.reflection.Target::getClassType()Ljava/lang/Class;	br.com.caelum:iogi:1.0.1	br.com.caelum.iogi.reflection.Target::getClassType()Ljava/lang/Class;	br.com.caelum:iogi:1.0.1	126	false	false	
br.com.caelum.vraptor.serialization.DefaultRepresentationResult::from(Ljava/lang/Object;Ljava/lang/String;)Lbr/com/caelum/vraptor/serialization/Serializer;	br.com.caelum:vraptor:4.2.2	public	com.google.common.collect.Lists::newArrayList(Ljava/lang/Iterable;)Ljava/util/ArrayList;	com.google.guava:guava:15.0	com.google.common.collect.Lists::newArrayList(Ljava/lang/Iterable;)Ljava/util/ArrayList;	com.google.guava:guava:15.0	7	false	false	
