Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.view.Status::notFound()V		br.com.caelum:vraptor:4.2.2
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.view.Status::methodNotAllowed(Ljava/util/EnumSet;)V		br.com.caelum:vraptor:4.2.2
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	java.util.AbstractCollection::MAX_ARRAY_SIZE	int	unknownLib
org.hibernate.validator.internal.util.privilegedactions.SetAccessibility::run()Ljava/lang/Object;	org.hibernate:hibernate-validator:5.1.0.Final	java.lang.reflect.Field	public	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer::name	java.lang.String	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.view.LinkToHandlerTest$TestController$linkTo$another_$$_jvst16b_1c::_filter_signature	byte[]	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	com.sun.proxy.$Proxy56::value()[Ljava/lang/String;		unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.view.LinkToHandlerTest$TestController$linkTo$another_$$_jvst16b_1c::_filter_signature	byte[]	unknownLib
org.hibernate.validator.internal.util.privilegedactions.GetAnnotationParameter::run()Ljava/lang/Object;	org.hibernate:hibernate-validator:5.1.0.Final	java.lang.reflect.Method	public	com.sun.proxy.$Proxy39::message()Ljava/lang/String;		unknownLib
net.vidageek.mirror.provider.java.PureJavaConstructorReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Constructor	public	br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest$House::br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest$House()V		unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.proxy.JavassistProxifierTest$B_$$_jvst16b_6::_filter_signature	byte[]	unknownLib
