SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
br.com.caelum.vraptor.serialization.gson.CalendarGsonConverter	br.com.caelum:vraptor:4.2.2	com.google.gson.JsonDeserializer	public	com.google.code.gson:gson:2.2.4	1
org.hibernate.validator.internal.engine.resolver.DefaultTraversableResolver	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.TraversableResolver	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.validator.beanvalidation.BeanValidatorContext	br.com.caelum:vraptor:4.2.2	javax.validation.MessageInterpolator$Context	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.environment.DefaultEnvironment$1	br.com.caelum:vraptor:4.2.2	java.security.PrivilegedAction	public	java.security	1
br.com.caelum.vraptor.view.DefaultAcceptHeaderToFormat$2	br.com.caelum:vraptor:4.2.2	com.google.common.base.Function	public	com.google.guava:guava:15.0	1
br.com.caelum.vraptor.proxy.JavassistProxifier$MethodInvocationAdapter	br.com.caelum:vraptor:4.2.2	javassist.util.proxy.MethodHandler	public	org.javassist:javassist:3.18.1-GA	1
org.hibernate.validator.internal.constraintvalidators.EANValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.util.privilegedactions.NewInstance	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
br.com.caelum.vraptor.http.MutableResponse	br.com.caelum:vraptor:4.2.2	javax.servlet.http.HttpServletResponse	public	javax.servlet:javax.servlet-api:3.1.0	1
br.com.caelum.vraptor.http.iogi.VRaptorInstantiator	br.com.caelum:vraptor:4.2.2	br.com.caelum.iogi.Instantiator	public	br.com.caelum:iogi:1.0.1	1
javax.validation.Validation$GetValidationProviderListAction	javax.validation:validation-api:1.1.0.Final	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.xml.BootstrapConfigurationImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.BootstrapConfiguration	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.util.privilegedactions.GetAnnotationParameter	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.messageinterpolation.HibernateMessageInterpolatorContext	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.MessageInterpolator$Context	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.engine.path.NodeImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.Path$ReturnValueNode	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.util.privilegedactions.SetAccessibility	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.util.privilegedactions.GetDeclaredMethods	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.engine.ConfigurationImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.spi.ConfigurationState	public	javax.validation:validation-api:1.1.0.Final	1
org.jboss.weld.manager.BeanManagerImpl	org.jboss.weld:weld-core-impl:2.1.2.Final	org.jboss.weld.manager.api.WeldManager	public	org.jboss.weld:weld-spi:2.1.Final	1
org.hibernate.validator.internal.constraintvalidators.LengthValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.engine.path.PathImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.Path	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.http.route.DefaultRouter$5	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
org.hibernate.validator.internal.metadata.descriptor.BeanDescriptorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.metadata.BeanDescriptor	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.AssertTrueValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.SafeHtmlValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.resourceloading.PlatformResourceBundleLocator$GetClassLoader	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
br.com.caelum.iogi.util.IogiCollections$1$1	br.com.caelum:iogi:1.0.1	com.google.common.collect.AbstractIterator	public	com.google.guava:guava:15.0	1
org.hibernate.validator.internal.util.privilegedactions.GetDeclaredConstructor	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
br.com.caelum.vraptor.http.route.DefaultRouter$3	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
br.com.caelum.vraptor.http.route.DefaultRouter$4	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
br.com.caelum.vraptor.http.iogi.VRaptorInstantiator$DependencyInstantiator	br.com.caelum:vraptor:4.2.2	br.com.caelum.iogi.Instantiator	public	br.com.caelum:iogi:1.0.1	1
org.hibernate.validator.internal.engine.path.NodeImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.Path$ConstructorNode	public	javax.validation:validation-api:1.1.0.Final	1
org.jboss.logging.Messages$1	org.jboss.logging:jboss-logging:3.1.3.GA	java.security.PrivilegedAction	public	java.security	1
br.com.caelum.vraptor.http.iogi.RequestAttributeInstantiator	br.com.caelum:vraptor:4.2.2	br.com.caelum.iogi.Instantiator	public	br.com.caelum:iogi:1.0.1	1
org.hibernate.validator.internal.metadata.descriptor.PropertyDescriptorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.metadata.PropertyDescriptor	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.interceptor.CustomAcceptsVerifier$1	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
org.hibernate.validator.internal.engine.ValidatorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.executable.ExecutableValidator	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.core.DefaultInterceptorHandlerFactory$1	br.com.caelum:vraptor:4.2.2	com.google.common.base.Supplier	public	com.google.guava:guava:15.0	1
org.hibernate.validator.internal.engine.messageinterpolation.parser.MessageDescriptorFormatException	org.hibernate:hibernate-validator:5.1.0.Final	javax.xml.bind.ValidationException	public	javax.xml.bind	1
org.hibernate.validator.internal.metadata.descriptor.ParameterDescriptorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.metadata.ParameterDescriptor	public	javax.validation:validation-api:1.1.0.Final	1
org.jboss.weld.logging.VersionLogger_$logger	org.jboss.weld:weld-core-impl:2.1.2.Final	org.jboss.logging.DelegatingBasicLogger	public	org.jboss.logging:jboss-logging:3.1.3.GA	1
org.hibernate.validator.internal.engine.path.NodeImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.Path$BeanNode	public	javax.validation:validation-api:1.1.0.Final	1
javax.xml.bind.JAXBPermission	javax.xml.bind	java.security.BasicPermission	public	java.security	1
org.hibernate.validator.internal.constraintvalidators.SizeValidatorForArraysOfChar	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.metadata.descriptor.ExecutableDescriptorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.metadata.MethodDescriptor	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.NotNullValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.interceptor.StepInvoker$1	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
br.com.caelum.vraptor.interceptor.StepInvoker$2	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
br.com.caelum.vraptor.serialization.xstream.VRaptorXStream$2	br.com.caelum:vraptor:4.2.2	com.google.common.base.Supplier	public	com.google.guava:guava:15.0	1
org.jboss.weld.bean.RIBean	org.jboss.weld:weld-core-impl:2.1.2.Final	javax.enterprise.inject.spi.PassivationCapable	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.serialization.xstream.VRaptorXStream$1	br.com.caelum:vraptor:4.2.2	com.google.common.base.Supplier	public	com.google.guava:guava:15.0	1
org.hibernate.validator.internal.metadata.descriptor.ElementDescriptorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.metadata.ElementDescriptor	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.serialization.gson.DateGsonConverter	br.com.caelum:vraptor:4.2.2	com.google.gson.JsonSerializer	public	com.google.code.gson:gson:2.2.4	1
br.com.caelum.vraptor.util.test.MockInstanceImpl	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Instance	public	javax.enterprise:cdi-api:1.1	1
org.hibernate.validator.internal.engine.path.NodeImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.Path$MethodNode	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.MinValidatorForCharSequence	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.jboss.weld.environment.se.WeldSEBeanRegistrant	org.jboss.weld.se:weld-se-core:2.1.2.Final	javax.enterprise.inject.spi.Extension	public	javax.enterprise:cdi-api:1.1	1
org.hibernate.validator.internal.constraintvalidators.DecimalMaxValidatorForNumber	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.serialization.gson.Exclusions	br.com.caelum:vraptor:4.2.2	com.google.gson.ExclusionStrategy	public	com.google.code.gson:gson:2.2.4	1
br.com.caelum.vraptor.serialization.xstream.VRaptorXStream$3	br.com.caelum:vraptor:4.2.2	com.google.common.base.Supplier	public	com.google.guava:guava:15.0	1
org.hibernate.validator.internal.constraintvalidators.MaxValidatorForCharSequence	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.serialization.xstream.VRaptorClassMapper	br.com.caelum:vraptor:4.2.2	com.thoughtworks.xstream.mapper.MapperWrapper	public	com.thoughtworks.xstream:xstream:1.4.7	1
br.com.caelum.vraptor.serialization.xstream.CalendarConverter	br.com.caelum:vraptor:4.2.2	com.thoughtworks.xstream.converters.Converter	public	com.thoughtworks.xstream:xstream:1.4.7	1
br.com.caelum.vraptor.validator.MessageList$MessageListItem	br.com.caelum:vraptor:4.2.2	com.google.common.collect.ForwardingList	public	com.google.guava:guava:15.0	1
org.jboss.weld.environment.se.Weld$1	org.jboss.weld.se:weld-se-core:2.1.2.Final	org.jboss.weld.bootstrap.api.helpers.ForwardingBootstrap	public	org.jboss.weld:weld-spi:2.1.Final	1
org.hibernate.validator.HibernateValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.spi.ValidationProvider	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.DecimalMinValidatorForNumber	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.cdi.ValidationExtension	org.hibernate:hibernate-validator-cdi:5.1.0.Final	javax.enterprise.inject.spi.Extension	public	javax.enterprise:cdi-api:1.1	1
org.hibernate.validator.internal.constraintvalidators.ParameterScriptAssertValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.util.privilegedactions.ConstructorInstance	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.constraintvalidators.MaxValidatorForNumber	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.engine.path.NodeImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.Path$CrossParameterNode	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.view.LinkToHandler	br.com.caelum:vraptor:4.2.2	com.google.common.collect.ForwardingMap	public	com.google.guava:guava:15.0	1
org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.MessageInterpolator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.NotBlankValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.util.logging.Log_$logger	org.hibernate:hibernate-validator:5.1.0.Final	org.jboss.logging.BasicLogger	public	org.jboss.logging:jboss-logging:3.1.3.GA	1
org.hibernate.validator.internal.util.privilegedactions.GetMethod	org.hibernate:hibernate-validator:5.1.0.Final	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.constraintvalidators.LuhnCheckValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.SizeValidatorForCharSequence	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.EmailValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.interceptor.PackagesAcceptor$1	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
org.hibernate.validator.internal.constraintvalidators.DigitsValidatorForNumber	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
javax.xml.stream.SecuritySupport$1	javax.xml.stream	java.security.PrivilegedAction	public	java.security	1
javax.xml.stream.SecuritySupport$2	javax.xml.stream	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.constraintvalidators.AssertFalseValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.constraintvalidators.SizeValidatorForArraysOfInt	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.http.iogi.VRaptorDependencyProvider	br.com.caelum:vraptor:4.2.2	br.com.caelum.iogi.spi.DependencyProvider	public	br.com.caelum:iogi:1.0.1	1
javax.xml.datatype.SecuritySupport$5	javax.xml.datatype	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.metadata.descriptor.ReturnValueDescriptorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.metadata.ReturnValueDescriptor	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.http.MutableRequest	br.com.caelum:vraptor:4.2.2	javax.servlet.http.HttpServletRequest	public	javax.servlet:javax.servlet-api:3.1.0	1
br.com.caelum.vraptor.interceptor.NoStackParamValidationRule$1	br.com.caelum:vraptor:4.2.2	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
javax.xml.stream.SecuritySupport$5	javax.xml.stream	java.security.PrivilegedAction	public	java.security	1
javax.xml.datatype.SecuritySupport$2	javax.xml.datatype	java.security.PrivilegedAction	public	java.security	1
javax.xml.datatype.SecuritySupport$1	javax.xml.datatype	java.security.PrivilegedAction	public	java.security	1
org.hibernate.validator.internal.constraintvalidators.ScriptAssertValidator	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ConstraintValidator	public	javax.validation:validation-api:1.1.0.Final	1
org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.metadata.ConstraintDescriptor	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.VRaptor	br.com.caelum:vraptor:4.2.2	javax.servlet.Filter	public	javax.servlet:javax.servlet-api:3.1.0	1
