Class Name,Class Visibility,Class Library,Usage,Used In Library
packageB.baz.External,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.SQLException,public,java.sql,cast,org.postgresql:postgresql:42.2.19
packageB.baz.External,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.SQLWarning,public,java.sql,subtyping,org.postgresql:postgresql:42.2.19
java.sql.DriverManager,public,java.sql,method call,org.postgresql:postgresql:42.2.19
org.postgresql.Driver,public,org.postgresql:postgresql:42.2.19,method call,java.sql
org.postgresql.jdbc.PgResultSet,public,org.postgresql:postgresql:42.2.19,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageA.GenericClass,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.SQLException,public,java.sql,subtyping,org.postgresql:postgresql:42.2.19
packageA.RandomTypes,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.ResultSet,public,java.sql,subtyping,org.postgresql:postgresql:42.2.19
java.sql.SQLClientInfoException,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
java.sql.DriverPropertyInfo,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
java.sql.Connection,public,java.sql,subtyping,org.postgresql:postgresql:42.2.19
packageA.foo.CallbackCaller,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
callback.CallbackClient$1,default,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,method call,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
java.sql.Date,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
org.postgresql.Driver,public,org.postgresql:postgresql:42.2.19,Class.forName,java.sql
packageB.baz.External,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,cast,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageA.CustomAnnotation,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,annotation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageB.bar.Middle,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.Timestamp,public,java.sql,cast,org.postgresql:postgresql:42.2.19
java.sql.Time,public,java.sql,cast,org.postgresql:postgresql:42.2.19
org.postgresql.jdbc.PgStatement,public,org.postgresql:postgresql:42.2.19,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageA.SuperClass,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageA.SuperClass,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageB.baz.External,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,Class.forName,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageA.SubClass,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,cast,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.SQLFeatureNotSupportedException,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
class packageB.baz.External,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.DriverManager,public,java.sql,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageB.bar.Middle,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
org.postgresql.jdbc.PgConnection,public,org.postgresql:postgresql:42.2.19,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageA.SubClass,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.Date,public,java.sql,cast,org.postgresql:postgresql:42.2.19
java.sql.SQLWarning,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
packageA.foo.CallbackInterface,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,subtyping,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageB.baz.CommonInterface,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,cast,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
packageA.foo.CallbackCaller,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.Statement,public,java.sql,subtyping,org.postgresql:postgresql:42.2.19
pkgDynamicProxy.DynamicInvocationHandler,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,instantiation,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.SQLException,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
java.sql.SQLWarning,public,java.sql,cast,org.postgresql:postgresql:42.2.19
java.sql.Driver,public,java.sql,subtyping,org.postgresql:postgresql:42.2.19
packageA.SubClass,public,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,method call,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT
java.sql.Time,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
java.sql.BatchUpdateException,public,java.sql,instantiation,org.postgresql:postgresql:42.2.19
