Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
misc.Client::miscClientMethod()V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,public,packageB.baz.External::getText()Ljava/lang/String;,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,packageB.baz.External::getText()Ljava/lang/String;,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,1,true,false,reflection
packageA.foo.CallbackCaller::callbackCallerMethod(LpackageA/foo/CallbackInterface;)V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,public,packageA.foo.CallbackInterface::callbackMethod()V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,callback.CallbackClient$1::callbackMethod()V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,1,false,false,
misc.Client::miscClientMethod()V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,public,packageA.SubClass::method2()V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,packageA.SubClass::method2()V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,1,false,false,
misc.Client::clientMethod1(LpackageA/RandomTypes;)V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,public,java.sql.Connection::createStatement()Ljava/sql/Statement;,java.sql,org.postgresql.jdbc.PgConnection::createStatement()Ljava/sql/Statement;,org.postgresql:postgresql:42.2.19,2,false,false,
misc.Client::miscClientMethod()V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,private,packageA.SuperClass::checkSetAccessibility()V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,packageA.SuperClass::checkSetAccessibility()V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,1,true,false,
misc.Client::miscClientMethod()V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,public,packageB.bar.Middle::getValue1()I,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,packageB.bar.Middle::getValue1()I,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,1,false,false,
java.sql.DriverManager::getConnection(Ljava/lang/String;Ljava/util/Properties;Ljava/lang/Class;)Ljava/sql/Connection;,java.sql,public,java.sql.Driver::connect(Ljava/lang/String;Ljava/util/Properties;)Ljava/sql/Connection;,java.sql,org.postgresql.Driver::connect(Ljava/lang/String;Ljava/util/Properties;)Ljava/sql/Connection;,org.postgresql:postgresql:42.2.19,2,false,false,
misc.Client::lambda$miscClientMethod$0(LpackageB/baz/External;Ljava/lang/Integer;)V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,public,packageB.baz.External::getHi()Ljava/lang/String;,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,packageB.baz.External::getHi()Ljava/lang/String;,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,4,false,false,instantiation
types.TypesClient::clientMethod(LpackageA/RandomTypes;)V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,public,packageA.RandomTypes::getLongArray()[J,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,packageA.RandomTypes::getLongArray()[J,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,1,false,false,
misc.Client::miscClientMethod()V,ca.waterloo.pl:microbenchmark1-client:1.0-SNAPSHOT,public,packageA.SuperClass::method1()V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,packageA.SubClass::method1()V,ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT,1,false,false,
