Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.slf4j.MDC::bwCompatibleGetMDCAdapterFromBinder()Lorg/slf4j/spi/MDCAdapter;	org.slf4j:slf4j-api:1.7.31	public	org.slf4j.impl.StaticMDCBinder::getMDCA()Lorg/slf4j/spi/MDCAdapter;	ch.qos.logback:logback-classic:1.2.5	org.slf4j.impl.StaticMDCBinder::getMDCA()Lorg/slf4j/spi/MDCAdapter;	ch.qos.logback:logback-classic:1.2.5	1	false	false	
org.slf4j.MDC::put(Ljava/lang/String;Ljava/lang/String;)V	org.slf4j:slf4j-api:1.7.31	public	org.slf4j.spi.MDCAdapter::put(Ljava/lang/String;Ljava/lang/String;)V	org.slf4j:slf4j-api:1.7.31	ch.qos.logback.classic.util.LogbackMDCAdapter::put(Ljava/lang/String;Ljava/lang/String;)V	ch.qos.logback:logback-classic:1.2.5	1	false	false	
ch.qos.logback.classic.spi.LoggingEvent::getMDCPropertyMap()Ljava/util/Map;	ch.qos.logback:logback-classic:1.2.5	public	org.slf4j.MDC::getMDCAdapter()Lorg/slf4j/spi/MDCAdapter;	org.slf4j:slf4j-api:1.7.31	org.slf4j.MDC::getMDCAdapter()Lorg/slf4j/spi/MDCAdapter;	org.slf4j:slf4j-api:1.7.31	2	false	false	
ch.qos.logback.core.ContextBase::ContextBase()V	ch.qos.logback:logback-core:1.2.5	protected	ch.qos.logback.core.ContextBase::initCollisionMaps()V	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.classic.LoggerContext::initCollisionMaps()V	ch.qos.logback:logback-classic:1.2.5	2	false	false	
ch.qos.logback.core.ContextBase::initCollisionMaps()V	ch.qos.logback:logback-core:1.2.5	public	ch.qos.logback.core.ContextBase::putObject(Ljava/lang/String;Ljava/lang/Object;)V	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.classic.LoggerContext::putObject(Ljava/lang/String;Ljava/lang/Object;)V	ch.qos.logback:logback-classic:1.2.5	4	false	false	
org.slf4j.MDC::clear()V	org.slf4j:slf4j-api:1.7.31	public	org.slf4j.spi.MDCAdapter::clear()V	org.slf4j:slf4j-api:1.7.31	ch.qos.logback.classic.util.LogbackMDCAdapter::clear()V	ch.qos.logback:logback-classic:1.2.5	4	false	false	
ch.qos.logback.classic.sift.MDCBasedDiscriminator::start()V	ch.qos.logback:logback-classic:1.2.5	public	ch.qos.logback.core.util.OptionHelper::isEmpty(Ljava/lang/String;)Z	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.util.OptionHelper::isEmpty(Ljava/lang/String;)Z	ch.qos.logback:logback-core:1.2.5	4	false	false	
ch.qos.logback.classic.util.ContextInitializer::findConfigFileURLFromSystemProperties(Ljava/lang/ClassLoader;Z)Ljava/net/URL;	ch.qos.logback:logback-classic:1.2.5	public	ch.qos.logback.core.util.OptionHelper::getSystemProperty(Ljava/lang/String;)Ljava/lang/String;	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.util.OptionHelper::getSystemProperty(Ljava/lang/String;)Ljava/lang/String;	ch.qos.logback:logback-core:1.2.5	8	false	false	
org.slf4j.LoggerFactory::bind()V	org.slf4j:slf4j-api:1.7.31	public	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	ch.qos.logback:logback-classic:1.2.5	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	ch.qos.logback:logback-classic:1.2.5	1	false	false	
ch.qos.logback.classic.BasicConfigurator::configure(Lch/qos/logback/classic/LoggerContext;)V	ch.qos.logback:logback-classic:1.2.5	public	ch.qos.logback.core.encoder.LayoutWrappingEncoder::setContext(Lch/qos/logback/core/Context;)V	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.encoder.LayoutWrappingEncoder::setContext(Lch/qos/logback/core/Context;)V	ch.qos.logback:logback-core:1.2.5	8	false	false	
ch.qos.logback.classic.util.EnvUtil::getServiceLoaderClassLoader()Ljava/lang/ClassLoader;	ch.qos.logback:logback-classic:1.2.5	public	ch.qos.logback.core.util.Loader::getClassLoaderOfClass(Ljava/lang/Class;)Ljava/lang/ClassLoader;	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.util.Loader::getClassLoaderOfClass(Ljava/lang/Class;)Ljava/lang/ClassLoader;	ch.qos.logback:logback-core:1.2.5	8	false	false	
ch.qos.logback.core.ContextBase::ContextBase()V	ch.qos.logback:logback-core:1.2.5	protected	ch.qos.logback.core.ContextBase::initCollisionMaps()V	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.classic.LoggerContext::initCollisionMaps()V	ch.qos.logback:logback-classic:1.2.5	8	false	false	
ch.qos.logback.classic.selector.ContextJNDISelector::getLoggerContext()Lch/qos/logback/classic/LoggerContext;	ch.qos.logback:logback-classic:1.2.5	public	ch.qos.logback.core.status.StatusUtil::contextHasStatusListener(Lch/qos/logback/core/Context;)Z	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.status.StatusUtil::contextHasStatusListener(Lch/qos/logback/core/Context;)Z	ch.qos.logback:logback-core:1.2.5	4	false	false	
ch.qos.logback.core.ContextBase::initCollisionMaps()V	ch.qos.logback:logback-core:1.2.5	public	ch.qos.logback.core.ContextBase::putObject(Ljava/lang/String;Ljava/lang/Object;)V	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.classic.LoggerContext::putObject(Ljava/lang/String;Ljava/lang/Object;)V	ch.qos.logback:logback-classic:1.2.5	16	false	false	
org.slf4j.impl.StaticLoggerBinder::init()V	ch.qos.logback:logback-classic:1.2.5	public	ch.qos.logback.core.util.StatusPrinter::printInCaseOfErrorsOrWarnings(Lch/qos/logback/core/Context;)V	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.util.StatusPrinter::printInCaseOfErrorsOrWarnings(Lch/qos/logback/core/Context;)V	ch.qos.logback:logback-core:1.2.5	4	false	false	
ch.qos.logback.classic.util.ContextSelectorStaticBinder::init(Lch/qos/logback/classic/LoggerContext;Ljava/lang/Object;)V	ch.qos.logback:logback-classic:1.2.5	public	ch.qos.logback.core.util.OptionHelper::getSystemProperty(Ljava/lang/String;)Ljava/lang/String;	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.util.OptionHelper::getSystemProperty(Ljava/lang/String;)Ljava/lang/String;	ch.qos.logback:logback-core:1.2.5	4	false	false	
