Class Name	Class Visibility	Class Library	Usage	Used In Library
org.springframework.beans.factory.config.EmbeddedValueResolver	public	org.springframework:spring-beans:4.3.20.RELEASE	instantiation	org.springframework:spring:2.5.6.SEC03
org.apache.logging.log4j.core.appender.rolling.action.IfFileName	public	org.apache.logging.log4j:log4j-core:2.13.2	Class.forName	org.apache.logging.log4j:log4j-core:2.13.2
java.security.CodeSource	public	java.security	instantiation	xml-apis:xml-apis:1.0.b2
java.sql.ResultSet	public	java.sql	subtyping	com.alibaba:druid:1.2.5
org.apache.logging.log4j.message.ParameterizedMessageFactory	public	org.apache.logging.log4j:log4j-api:2.13.2	Class.forName	org.apache.logging.log4j:log4j-api:2.13.2
org.springframework.beans.BeanWrapperImpl$BeanPropertyHandler	public	org.springframework:spring-beans:4.3.20.RELEASE	instantiation	org.springframework:spring:2.5.6.SEC03
java.sql.DriverManager	public	java.sql	method call	net.sourceforge.jtds:jtds:1.3.0
org.springframework.transaction.annotation.JtaTransactionAnnotationParser	public	org.springframework:spring-tx:4.3.20.RELEASE	instantiation	org.springframework:spring:2.5.6.SEC03
org.apache.commons.logging.LogFactory$1	public	commons-logging:commons-logging:1.2	instantiation	org.slf4j:jcl-over-slf4j:1.7.21
org.apache.logging.log4j.core.appender.SocketAppender	public	org.apache.logging.log4j:log4j-core:2.13.2	Class.forName	org.apache.logging.log4j:log4j-core:2.13.2
org.apache.commons.logging.LogFactory$3	public	commons-logging:commons-logging:1.2	instantiation	org.slf4j:jcl-over-slf4j:1.7.21
org.apache.commons.logging.LogFactory$2	public	commons-logging:commons-logging:1.2	instantiation	org.slf4j:jcl-over-slf4j:1.7.21
org.springframework.beans.factory.support.RootBeanDefinition	public	org.springframework:spring:2.5.6.SEC03	method call	org.springframework:spring-context:4.3.20.RELEASE
org.apache.commons.logging.LogFactory$5	public	commons-logging:commons-logging:1.2	instantiation	org.slf4j:jcl-over-slf4j:1.7.21
org.apache.commons.logging.LogFactory$4	public	commons-logging:commons-logging:1.2	instantiation	org.slf4j:jcl-over-slf4j:1.7.21
org.apache.commons.logging.LogFactory$6	public	commons-logging:commons-logging:1.2	instantiation	org.slf4j:jcl-over-slf4j:1.7.21
org.springframework.beans.BeanWrapperImpl	private	org.springframework:spring:2.5.6.SEC03	method call	org.springframework:spring-beans:4.3.20.RELEASE
org.springframework.util.Assert	public	org.springframework:spring-core:4.3.20.RELEASE	method call	org.springframework:spring-context:4.3.20.RELEASE
org.springframework.core.MethodParameter	public	org.springframework:spring:2.5.6.SEC03	instantiation	org.springframework:spring-core:4.3.20.RELEASE
org.apache.logging.log4j.core.config.yaml.YamlConfigurationFactory	public	org.apache.logging.log4j:log4j-core:2.13.2	Class.forName	org.apache.logging.log4j:log4j-core:2.13.2
org.springframework.orm.hibernate4.LocalSessionFactoryBuilder	public	org.springframework:spring-orm:4.3.20.RELEASE	method call	org.hibernate:hibernate-core:5.1.0.Final
org.hibernate.engine.jdbc.connections.spi.ConnectionProvider	public	org.hibernate:hibernate-core:5.1.0.Final	subtyping	org.hibernate:hibernate-c3p0:5.1.0.Final
org.slf4j.helpers.BasicMarkerFactory	public	org.apache.kylin:kylin-jdbc:2.0.0	instantiation	org.apache.logging.log4j:log4j-slf4j-impl:2.10.0
org.apache.logging.log4j.core.lookup.MainMapLookup	public	org.apache.logging.log4j:log4j-core:2.13.2	Class.forName	org.apache.logging.log4j:log4j-core:2.13.2
org.springframework.jdbc.datasource.TransactionAwareDataSourceProxy	public	org.springframework:spring-jdbc:4.3.20.RELEASE	cast	org.mybatis:mybatis-spring:1.3.0
org.apache.logging.log4j.core.appender.db.jdbc.DriverManagerConnectionSource	public	org.apache.logging.log4j:log4j-core:2.13.2	Class.forName	org.apache.logging.log4j:log4j-core:2.13.2
java.sql.Driver	public	java.sql	cast	com.alibaba:druid:1.2.5
org.springframework.aop.SpringProxy	public	org.springframework:spring-aop:4.3.20.RELEASE	subtyping	org.springframework:spring-tx:4.3.20.RELEASE
org.springframework.util.ConcurrentReferenceHashMap	public	org.springframework:spring-core:4.3.20.RELEASE	method call	org.springframework:spring:2.5.6.SEC03
org.springframework.beans.MutablePropertyValues	public	org.springframework:spring:2.5.6.SEC03	method call	org.springframework:spring-aop:4.3.20.RELEASE
org.springframework.util.StringValueResolver	public	org.springframework:spring:2.5.6.SEC03	subtyping	org.springframework:spring-beans:4.3.20.RELEASE
org.hibernate.service.spi.ServiceRegistryAwareService	public	org.hibernate:hibernate-core:5.1.0.Final	subtyping	org.hibernate:hibernate-c3p0:5.1.0.Final
