Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.springframework.beans.factory.support.DisposableBeanAdapter::filterPostProcessors(Ljava/util/List;Ljava/lang/Object;)Ljava/util/List;	org.springframework:spring:2.5.6.SEC03	public	org.springframework.beans.factory.config.DestructionAwareBeanPostProcessor::requiresDestruction(Ljava/lang/Object;)Z	org.springframework:spring:2.5.6.SEC03	org.springframework.context.support.ApplicationListenerDetector::requiresDestruction(Ljava/lang/Object;)Z	org.springframework:spring-context:4.3.20.RELEASE	1	false	false	
org.springframework.context.support.MessageSourceSupport::MessageSourceSupport()V	org.springframework:spring:2.5.6.SEC03	public	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	org.slf4j:jcl-over-slf4j:1.7.21	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	org.slf4j:jcl-over-slf4j:1.7.21	7	false	false	
org.apache.commons.logging.impl.SLF4JLogFactory::getInstance(Ljava/lang/String;)Lorg/apache/commons/logging/Log;	org.slf4j:jcl-over-slf4j:1.7.21	public	org.slf4j.LoggerFactory::getLogger(Ljava/lang/String;)Lorg/slf4j/Logger;	org.apache.kylin:kylin-jdbc:2.0.0	org.slf4j.LoggerFactory::getLogger(Ljava/lang/String;)Lorg/slf4j/Logger;	org.apache.kylin:kylin-jdbc:2.0.0	65	false	false	
org.springframework.beans.AbstractNestablePropertyAccessor::setPropertyValue(Lorg/springframework/beans/PropertyValue;)V	org.springframework:spring-beans:4.3.20.RELEASE	protected	org.springframework.beans.AbstractNestablePropertyAccessor::setPropertyValue(Lorg/springframework/beans/AbstractNestablePropertyAccessor$PropertyTokenHolder;Lorg/springframework/beans/PropertyValue;)V	org.springframework:spring-beans:4.3.20.RELEASE	org.springframework.beans.BeanWrapperImpl::setPropertyValue(Lorg/springframework/beans/AbstractNestablePropertyAccessor$PropertyTokenHolder;Lorg/springframework/beans/PropertyValue;)V	org.springframework:spring:2.5.6.SEC03	39	false	false	
org.springframework.jdbc.support.lob.AbstractLobHandler::getBlobAsBytes(Ljava/sql/ResultSet;Ljava/lang/String;)[B	org.springframework:spring-jdbc:4.3.20.RELEASE	public	java.sql.ResultSet::findColumn(Ljava/lang/String;)I	java.sql	com.alibaba.druid.mock.MockResultSet::findColumn(Ljava/lang/String;)I	com.alibaba:druid:1.2.5	2	false	false	
org.springframework.beans.AbstractNestablePropertyAccessor::processLocalProperty(Lorg/springframework/beans/AbstractNestablePropertyAccessor$PropertyTokenHolder;Lorg/springframework/beans/PropertyValue;)V	org.springframework:spring-beans:4.3.20.RELEASE	public	org.springframework.beans.PropertyValue::getOriginalPropertyValue()Lorg/springframework/beans/PropertyValue;	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.PropertyValue::getOriginalPropertyValue()Lorg/springframework/beans/PropertyValue;	org.springframework:spring:2.5.6.SEC03	39	false	false	
org.springframework.context.support.PostProcessorRegistrationDelegate::registerBeanPostProcessors(Lorg/springframework/beans/factory/config/ConfigurableListableBeanFactory;Ljava/util/List;)V	org.springframework:spring-context:4.3.20.RELEASE	public	org.springframework.beans.factory.config.ConfigurableListableBeanFactory::addBeanPostProcessor(Lorg/springframework/beans/factory/config/BeanPostProcessor;)V	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.factory.support.DefaultListableBeanFactory::addBeanPostProcessor(Lorg/springframework/beans/factory/config/BeanPostProcessor;)V	org.springframework:spring:2.5.6.SEC03	11	false	false	
org.springframework.context.support.AbstractApplicationContext::finishRefresh()V	org.springframework:spring:2.5.6.SEC03	default	org.springframework.context.support.LiveBeansView::registerApplicationContext(Lorg/springframework/context/ConfigurableApplicationContext;)V	org.springframework:spring-context:4.3.20.RELEASE	org.springframework.context.support.LiveBeansView::registerApplicationContext(Lorg/springframework/context/ConfigurableApplicationContext;)V	org.springframework:spring-context:4.3.20.RELEASE	1	false	false	
org.apache.logging.log4j.core.appender.AbstractManager::stop(JLjava/util/concurrent/TimeUnit;)Z	org.apache.logging.log4j:log4j-core:2.13.2	public	org.apache.logging.log4j.Logger::debug(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V	org.apache.logging.log4j:log4j-api:2.13.2	org.apache.logging.log4j.status.StatusLogger::debug(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V	org.apache.logging.log4j:log4j-api:2.13.2	1	false	false	
org.springframework.beans.AbstractNestablePropertyAccessor::getPropertyAccessorForPropertyPath(Ljava/lang/String;)Lorg/springframework/beans/AbstractNestablePropertyAccessor;	org.springframework:spring-beans:4.3.20.RELEASE	public	org.springframework.beans.PropertyAccessorUtils::getFirstNestedPropertySeparatorIndex(Ljava/lang/String;)I	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.PropertyAccessorUtils::getFirstNestedPropertySeparatorIndex(Ljava/lang/String;)I	org.springframework:spring:2.5.6.SEC03	107	false	false	
