SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
com.alibaba.druid.pool.WrapperAdapter	com.alibaba:druid:1.2.5	java.sql.Wrapper	public	java.sql	1
org.springframework.beans.factory.support.DefaultListableBeanFactory	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.factory.support.BeanDefinitionRegistry	public	org.springframework:spring-beans:4.3.20.RELEASE	1
org.hibernate.cfg.annotations.reflection.JPAMetadataProvider	org.hibernate:hibernate-core:5.1.0.Final	org.hibernate.annotations.common.reflection.MetadataProvider	public	org.hibernate.common:hibernate-commons-annotations:5.0.1.Final	1
org.springframework.orm.ibatis.SqlMapClientFactoryBean	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.factory.InitializingBean	public	org.springframework:spring-beans:4.3.20.RELEASE	1
org.springframework.core.annotation.AnnotationAwareOrderComparator	org.springframework:spring-core:4.3.20.RELEASE	org.springframework.core.OrderComparator	public	org.springframework:spring:2.5.6.SEC03	1
org.springframework.jdbc.datasource.DataSourceTransactionManager	org.springframework:spring:2.5.6.SEC03	org.springframework.transaction.support.ResourceTransactionManager	public	org.springframework:spring-tx:4.3.20.RELEASE	1
org.apache.commons.logging.impl.Log4JLogger	commons-logging:commons-logging:1.2	org.apache.commons.logging.Log	public	org.slf4j:jcl-over-slf4j:1.7.21	1
org.springframework.jmx.export.MBeanExporter$NotificationPublisherAwareLazyTargetSource	org.springframework:spring:2.5.6.SEC03	org.springframework.aop.target.LazyInitTargetSource	public	org.springframework:spring-aop:4.3.20.RELEASE	1
com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.10.0	com.fasterxml.jackson.core.ObjectCodec	public	com.fasterxml.jackson.core:jackson-core:2.10.0	1
org.springframework.aop.framework.ProxyProcessorSupport	org.springframework:spring-aop:4.3.20.RELEASE	org.springframework.core.Ordered	public	org.springframework:spring-core:4.3.20.RELEASE	1
javax.servlet.http.HttpServletResponseWrapper	org.eclipse.jetty:jetty-runner:9.3.20.v20170531	javax.servlet.http.HttpServletResponse	public	javax.servlet:servlet-api:2.5	1
org.springframework.beans.factory.config.ConfigurableListableBeanFactory	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.factory.config.ConfigurableBeanFactory	public	org.springframework:spring-beans:4.3.20.RELEASE	1
org.springframework.context.LifecycleProcessor	org.springframework:spring-context:4.3.20.RELEASE	org.springframework.context.Lifecycle	public	org.springframework:spring:2.5.6.SEC03	1
com.alibaba.druid.proxy.DruidDriver$1	com.alibaba:druid:1.2.5	java.security.PrivilegedAction	public	java.security	1
org.springframework.transaction.interceptor.TransactionAspectSupport	org.springframework:spring-tx:4.3.20.RELEASE	org.springframework.beans.factory.BeanFactoryAware	public	org.springframework:spring:2.5.6.SEC03	1
org.mybatis.spring.support.SqlSessionDaoSupport	org.mybatis:mybatis-spring:1.3.0	org.springframework.dao.support.DaoSupport	public	org.springframework:spring-tx:4.3.20.RELEASE	1
org.springframework.beans.factory.support.AbstractBeanFactory$1	org.springframework:spring-beans:4.3.20.RELEASE	org.springframework.beans.factory.ObjectFactory	public	org.springframework:spring:2.5.6.SEC03	1
com.alibaba.druid.support.hibernate.DruidConnectionProvider	com.alibaba:druid:1.2.5	org.hibernate.service.spi.Configurable	public	org.hibernate:hibernate-core:5.1.0.Final	1
org.springframework.transaction.interceptor.TransactionalProxy	org.springframework:spring-tx:4.3.20.RELEASE	org.springframework.aop.SpringProxy	public	org.springframework:spring-aop:4.3.20.RELEASE	1
com.alibaba.druid.support.http.WebStatFilter	com.alibaba:druid:1.2.5	javax.servlet.Filter	public	javax.servlet:servlet-api:2.5	1
org.springframework.aop.support.AbstractPointcutAdvisor	org.springframework:spring-aop:4.3.20.RELEASE	org.springframework.core.Ordered	public	org.springframework:spring-core:4.3.20.RELEASE	1
org.springframework.orm.hibernate4.SpringSessionContext	org.springframework:spring-orm:4.3.20.RELEASE	org.hibernate.context.spi.CurrentSessionContext	public	org.hibernate:hibernate-core:5.1.0.Final	1
com.mysql.cj.jdbc.exceptions.CommunicationsException	mysql:mysql-connector-java:8.0.21	java.sql.SQLRecoverableException	public	java.sql	1
org.springframework.orm.hibernate4.LocalSessionFactoryBean	org.springframework:spring-orm:4.3.20.RELEASE	org.springframework.beans.factory.DisposableBean	public	org.springframework:spring:2.5.6.SEC03	1
org.springframework.beans.factory.xml.DelegatingEntityResolver	org.springframework:spring:2.5.6.SEC03	org.xml.sax.EntityResolver	public	xml-apis:xml-apis:1.0.b2	1
org.springframework.beans.SimpleTypeConverter	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.TypeConverterSupport	public	org.springframework:spring-beans:4.3.20.RELEASE	1
java.sql.DriverManager$2	java.sql	java.security.PrivilegedAction	public	java.security	1
org.springframework.beans.ExtendedBeanInfoFactory	org.springframework:spring-beans:4.3.20.RELEASE	org.springframework.core.Ordered	public	org.springframework:spring-core:4.3.20.RELEASE	1
org.springframework.transaction.event.TransactionalEventListenerFactory	org.springframework:spring-tx:4.3.20.RELEASE	org.springframework.context.event.EventListenerFactory	public	org.springframework:spring-context:4.3.20.RELEASE	1
java.sql.DriverManager$1	java.sql	java.security.PrivilegedAction	public	java.security	1
org.apache.logging.log4j.web.WebLookup	org.apache.logging.log4j:log4j-web:2.10.0	org.apache.logging.log4j.core.lookup.AbstractLookup	public	org.apache.logging.log4j:log4j-core:2.13.2	1
com.alibaba.druid.pool.DruidPooledStatement	com.alibaba:druid:1.2.5	java.sql.Statement	public	java.sql	1
