SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
org.glassfish.hk2.utilities.NamedImpl,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Named,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.apache.xerces.jaxp.SAXParserImpl,xerces:xercesImpl:2.8.1,javax.xml.parsers.SAXParser,public,xml-apis:xml-apis:1.0.b2,1
org.apache.cxf.jaxrs.impl.CacheControlHeaderProvider,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate$HeaderDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.springframework.context.ApplicationContext,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.core.io.support.ResourcePatternResolver,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.web.context.WebApplicationContext,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.context.ApplicationContext,public,org.springframework:spring-context:4.3.7.RELEASE,1
org.springframework.http.MediaType$2,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.util.MimeType$SpecificityComparator,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.xerces.parsers.AbstractSAXParser$1,xerces:xercesImpl:2.8.1,org.xml.sax.helpers.LocatorImpl,public,xml-apis:xml-apis:1.0.b2,1
javax.xml.validation.ValidatorHandler,javax.xml.validation,org.xml.sax.ContentHandler,public,xml-apis:xml-apis:1.0.b2,1
com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,com.alibaba:fastjson:1.2.76,org.springframework.http.converter.AbstractHttpMessageConverter,public,org.springframework:spring-web:4.3.7.RELEASE,1
org.apache.xerces.parsers.AbstractSAXParser$2,xerces:xercesImpl:2.8.1,org.xml.sax.helpers.LocatorImpl,public,xml-apis:xml-apis:1.0.b2,1
org.apache.xerces.parsers.AbstractSAXParser$AttributesProxy,xerces:xercesImpl:2.8.1,org.xml.sax.AttributeList,public,xml-apis:xml-apis:1.0.b2,1
org.glassfish.jersey.model.internal.CommonConfig,org.glassfish.jersey.core:jersey-common:2.23.2,javax.ws.rs.core.FeatureContext,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,xerces:xercesImpl:2.8.1,javax.xml.parsers.DocumentBuilderFactory,public,xml-apis:xml-apis:1.0.b2,1
org.apache.xerces.dom.TextImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.Text,public,xml-apis:xml-apis:1.0.b2,1
org.jvnet.hk2.internal.PerLookupContext,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.api.Context,public,org.glassfish.hk2:hk2-api:2.5.0-b05,1
