Class Name,Class Visibility,Class Library,Usage,Used In Library
org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter,private,org.springframework:spring-context:4.3.7.RELEASE,method call,org.springframework:spring-core:4.3.7.RELEASE
org.xml.sax.SAXException,public,xml-apis:xml-apis:1.0.b2,cast,xerces:xercesImpl:2.8.1
com.alibaba.json.bvt.serializer.JSONFieldTest_unwrapped_0$Localtion,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.springframework.beans.factory.config.BeanPostProcessor,public,org.springframework:spring-beans:4.3.7.RELEASE,subtyping,org.springframework:spring-web:4.3.7.RELEASE
org.glassfish.hk2.utilities.ContextualInput,public,org.glassfish.hk2:hk2-api:2.5.0-b05,instantiation,org.glassfish.hk2:hk2-locator:2.5.0-b05
java.lang.annotation.Documented,public,unknownLib,Class.forName,org.springframework:spring-context:4.3.7.RELEASE
com.alibaba.json.bvt.issue_1200.Issue1265$T2,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.springframework.context.annotation.ConfigurationClassEnhancer$BeanFactoryAwareGeneratorStrategy,private,org.springframework:spring-context:4.3.7.RELEASE,method call,org.springframework:spring-core:4.3.7.RELEASE
org.springframework.expression.ParserContext,public,org.springframework:spring-expression:4.3.7.RELEASE,subtyping,org.springframework:spring-context:4.3.7.RELEASE
org.springframework.beans.factory.config.ConstructorArgumentValues,public,org.springframework:spring-beans:4.3.7.RELEASE,method call,org.springframework:spring-webmvc:4.3.7.RELEASE
com.alibaba.json.bvt.serializer.filters.ValueClassLevelTest$ModelB,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.issue_3100.Issue3109$Dog,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.bug.Issue274$Customer,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.serializer.filters.ValueClassLevelTest$ModelA,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.serializer.date.DateTest3$VO,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.springframework.beans.factory.annotation.RequiredAnnotationBeanPostProcessor,public,org.springframework:spring-beans:4.3.7.RELEASE,method call,org.springframework:spring-core:4.3.7.RELEASE
com.alibaba.json.bvt.issue_1300.Issue1330_decimal$Model,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.bug.Issue804$Node,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.issue_1300.Issue1357$Test2Bean,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.ArrayListFieldTest_1$B,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.ArrayListFieldTest_1$A,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.issue_1200.Issue1265$T1,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.bug.Bug_for_primitive_byte$VO,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.springframework.aop.framework.Advised,public,org.springframework:spring-aop:4.3.7.RELEASE,Class.forName,org.apache.cxf:cxf-core:3.1.2
org.springframework.beans.factory.BeanFactoryUtils,public,org.springframework:spring-beans:4.3.7.RELEASE,method call,org.springframework:spring-context:4.3.7.RELEASE
org.springframework.beans.factory.support.DefaultListableBeanFactory,public,org.springframework:spring-beans:4.3.7.RELEASE,method call,org.springframework:spring-webmvc:4.3.7.RELEASE
org.springframework.core.type.StandardAnnotationMetadata,public,org.springframework:spring-core:4.3.7.RELEASE,cast,org.springframework:spring-context:4.3.7.RELEASE
com.alibaba.json.bvt.LongFieldTest_2$V0,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.parser.deser.AbstractSerializeTest2$B,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.parser.deser.AbstractSerializeTest2$A,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.springframework.web.method.support.HandlerMethodArgumentResolverComposite,public,org.springframework:spring-web:4.3.7.RELEASE,method call,org.springframework:spring-webmvc:4.3.7.RELEASE
org.apache.cxf.bus.spring.BusExtensionPostProcessor,public,org.apache.cxf:cxf-core:3.1.2,Class.forName,org.springframework:spring-core:4.3.7.RELEASE
org.springframework.beans.MutablePropertyValues,public,org.springframework:spring-beans:4.3.7.RELEASE,instantiation,org.springframework:spring-web:4.3.7.RELEASE
org.springframework.web.servlet.mvc.method.annotation.ResponseBodyAdvice,public,org.springframework:spring-webmvc:4.3.7.RELEASE,subtyping,com.alibaba:fastjson:1.2.76
org.apache.xerces.dom.DeferredAttrNSImpl,public,xerces:xercesImpl:2.8.1,method call,org.springframework:spring-beans:4.3.7.RELEASE
javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,annotation,org.glassfish.jersey.core:jersey-common:2.23.2
com.alibaba.json.bvt.serializer.filters.PropertyFilterClassLevelTest$ModelB,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.json.bvt.serializer.IgnoreNonFieldGetterTest$VO,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.w3c.dom.Element,public,xml-apis:xml-apis:1.0.b2,cast,org.springframework:spring-beans:4.3.7.RELEASE
com.alibaba.json.bvt.serializer.filters.PropertyFilterClassLevelTest$ModelA,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
