Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
org.springframework.web.servlet.view.ContentNegotiatingViewResolver::getMediaTypes(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.springframework:spring-webmvc:4.3.7.RELEASE,public,org.springframework.http.MediaType::sortBySpecificityAndQuality(Ljava/util/List;)V,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.http.MediaType::sortBySpecificityAndQuality(Ljava/util/List;)V,org.springframework:spring-web:4.3.7.RELEASE,1,false,false,
org.glassfish.hk2.utilities.AbstractActiveDescriptor::AbstractActiveDescriptor(Ljava/util/Set;Ljava/lang/Class;Ljava/lang/String;Ljava/util/Set;Lorg/glassfish/hk2/api/DescriptorType;Lorg/glassfish/hk2/api/DescriptorVisibility;ILjava/lang/Boolean;Ljava/lang/Boolean;Ljava/lang/String;Ljava/util/Map;)V,org.glassfish.hk2:hk2-api:2.5.0-b05,public,org.glassfish.hk2.utilities.reflection.ReflectionHelper::getRawClass(Ljava/lang/reflect/Type;)Ljava/lang/Class;,org.glassfish.hk2:hk2-utils:2.5.0-b05,org.glassfish.hk2.utilities.reflection.ReflectionHelper::getRawClass(Ljava/lang/reflect/Type;)Ljava/lang/Class;,org.glassfish.hk2:hk2-utils:2.5.0-b05,721,false,false,
org.springframework.beans.factory.support.DisposableBeanAdapter::hasDestroyMethod(Ljava/lang/Object;Lorg/springframework/beans/factory/support/RootBeanDefinition;)Z,org.springframework:spring-beans:4.3.7.RELEASE,public,org.springframework.beans.factory.support.RootBeanDefinition::getDestroyMethodName()Ljava/lang/String;,org.springframework:spring-beans:4.3.7.RELEASE,org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition::getDestroyMethodName()Ljava/lang/String;,org.springframework:spring-context:4.3.7.RELEASE,118,false,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.springframework.validation.DataBinder::getRequiredFields()[Ljava/lang/String;,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.validation.DataBinder::getRequiredFields()[Ljava/lang/String;,org.springframework:spring-context:4.3.7.RELEASE,1,true,false,
org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter::handleInternal(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Lorg/springframework/web/method/HandlerMethod;)Lorg/springframework/web/servlet/ModelAndView;,org.springframework:spring-webmvc:4.3.7.RELEASE,public,org.springframework.web.method.annotation.SessionAttributesHandler::hasSessionAttributes()Z,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.web.method.annotation.SessionAttributesHandler::hasSessionAttributes()Z,org.springframework:spring-web:4.3.7.RELEASE,71,false,false,
org.springframework.web.servlet.mvc.method.annotation.RequestPartMethodArgumentResolver::supportsParameter(Lorg/springframework/core/MethodParameter;)Z,org.springframework:spring-webmvc:4.3.7.RELEASE,public,org.springframework.web.multipart.support.MultipartResolutionDelegate::isMultipartArgument(Lorg/springframework/core/MethodParameter;)Z,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.web.multipart.support.MultipartResolutionDelegate::isMultipartArgument(Lorg/springframework/core/MethodParameter;)Z,org.springframework:spring-web:4.3.7.RELEASE,10,false,false,
org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod::initResponseStatus()V,org.springframework:spring-webmvc:4.3.7.RELEASE,public,org.springframework.core.annotation.AnnotatedElementUtils::findMergedAnnotation(Ljava/lang/reflect/AnnotatedElement;Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,org.springframework:spring-core:4.3.7.RELEASE,org.springframework.core.annotation.AnnotatedElementUtils::findMergedAnnotation(Ljava/lang/reflect/AnnotatedElement;Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,org.springframework:spring-core:4.3.7.RELEASE,72,false,false,
org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor::handleReturnValue(Ljava/lang/Object;Lorg/springframework/core/MethodParameter;Lorg/springframework/web/method/support/ModelAndViewContainer;Lorg/springframework/web/context/request/NativeWebRequest;)V,org.springframework:spring-webmvc:4.3.7.RELEASE,public,org.springframework.http.HttpHeaders::isEmpty()Z,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.http.HttpHeaders::isEmpty()Z,org.springframework:spring-web:4.3.7.RELEASE,1,false,false,
org.apache.cxf.jaxrs.interceptor.JAXRSOutInterceptor::isResponseHeadersCopied(Lorg/apache/cxf/message/Message;)Z,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,public,org.apache.cxf.message.Message::get(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.cxf:cxf-core:3.1.2,org.apache.cxf.message.MessageImpl::get(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.cxf:cxf-core:3.1.2,3,false,false,
org.jvnet.hk2.internal.ServiceLocatorImpl::internalGetInjecteeDescriptor(Lorg/glassfish/hk2/api/Injectee;Z)Lorg/glassfish/hk2/api/ActiveDescriptor;,org.glassfish.hk2:hk2-locator:2.5.0-b05,public,org.glassfish.hk2.api.Injectee::getParent()Ljava/lang/reflect/AnnotatedElement;,org.glassfish.hk2:hk2-api:2.5.0-b05,org.glassfish.hk2.utilities.InjecteeImpl::getParent()Ljava/lang/reflect/AnnotatedElement;,org.glassfish.hk2:hk2-api:2.5.0-b05,115,false,false,
org.springframework.context.annotation.ComponentScanBeanDefinitionParser::registerComponents(Lorg/springframework/beans/factory/xml/XmlReaderContext;Ljava/util/Set;Lorg/w3c/dom/Element;)V,org.springframework:spring-context:4.3.7.RELEASE,public,org.springframework.beans.factory.parsing.CompositeComponentDefinition::addNestedComponent(Lorg/springframework/beans/factory/parsing/ComponentDefinition;)V,org.springframework:spring-beans:4.3.7.RELEASE,org.springframework.beans.factory.parsing.CompositeComponentDefinition::addNestedComponent(Lorg/springframework/beans/factory/parsing/ComponentDefinition;)V,org.springframework:spring-beans:4.3.7.RELEASE,52,false,false,
org.springframework.core.MethodParameter::getParameterAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,org.springframework:spring-core:4.3.7.RELEASE,public,org.springframework.core.MethodParameter::getParameterAnnotations()[Ljava/lang/annotation/Annotation;,org.springframework:spring-core:4.3.7.RELEASE,org.springframework.web.method.HandlerMethod$HandlerMethodParameter::getParameterAnnotations()[Ljava/lang/annotation/Annotation;,org.springframework:spring-web:4.3.7.RELEASE,469,false,false,
org.springframework.context.annotation.AnnotationConfigUtils::registerAnnotationConfigProcessors(Lorg/springframework/beans/factory/support/BeanDefinitionRegistry;Ljava/lang/Object;)Ljava/util/Set;,org.springframework:spring-context:4.3.7.RELEASE,public,org.springframework.beans.factory.support.DefaultListableBeanFactory::setDependencyComparator(Ljava/util/Comparator;)V,org.springframework:spring-beans:4.3.7.RELEASE,org.springframework.beans.factory.support.DefaultListableBeanFactory::setDependencyComparator(Ljava/util/Comparator;)V,org.springframework:spring-beans:4.3.7.RELEASE,14,false,false,
