Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
com.alipay.api.internal.util.AntCertificationUtil::getCertSN(Ljava/security/cert/X509Certificate;)Ljava/lang/String;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	42	false	false	
com.alipay.api.internal.util.asymmetric.SM2Encryptor::sm2Sign([BLjava/security/PrivateKey;Ljava/lang/String;)[B	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.Signature::setParameter(Ljava/security/spec/AlgorithmParameterSpec;)V	java.security	java.security.Signature$Delegate::setParameter(Ljava/security/spec/AlgorithmParameterSpec;)V	java.security	1	false	false	
com.alipay.api.internal.util.asymmetric.RSAEncryptor::doVerify(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Z	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.Signature::getInstance(Ljava/lang/String;)Ljava/security/Signature;	java.security	java.security.Signature::getInstance(Ljava/lang/String;)Ljava/security/Signature;	java.security	16	false	false	
com.alipay.api.internal.util.AntCertificationUtil::isSelfSigned(Ljava/security/cert/X509Certificate;)Z	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.Principal::equals(Ljava/lang/Object;)Z	java.security	org.bouncycastle.jce.X509Principal::equals(Ljava/lang/Object;)Z	org.bouncycastle:bcprov-jdk15on:1.62	4	false	false	
org.bouncycastle.util.BigIntegers::createRandom(ILjava/security/SecureRandom;)[B	org.bouncycastle:bcprov-jdk15on:1.62	public	java.security.SecureRandom::nextBytes([B)V	java.security	java.security.SecureRandom::nextBytes([B)V	java.security	2	false	false	
com.alipay.api.internal.util.AntCertificationUtil::getCertSN(Ljava/security/cert/X509Certificate;)Ljava/lang/String;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.MessageDigest::digest()[B	java.security	java.security.MessageDigest$Delegate::digest()[B	java.security	42	false	false	
com.alipay.api.internal.util.asymmetric.RSAEncryptor::doVerify(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Z	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.Signature::update([B)V	java.security	java.security.Signature$Delegate::update([B)V	java.security	16	false	false	
com.alipay.api.internal.util.AntCertificationUtil::getAlipayPublicKey(Ljava/lang/String;)Ljava/lang/String;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.PublicKey::getEncoded()[B	java.security	org.bouncycastle.jcajce.provider.asymmetric.rsa.BCRSAPublicKey::getEncoded()[B	org.bouncycastle:bcprov-jdk15on:1.62	6	false	false	
com.alipay.api.internal.util.asymmetric.RSAEncryptor::getPrivateKeyFromPKCS8(Ljava/lang/String;Ljava/io/InputStream;)Ljava/security/PrivateKey;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.KeyFactory::generatePrivate(Ljava/security/spec/KeySpec;)Ljava/security/PrivateKey;	java.security	java.security.KeyFactory::generatePrivate(Ljava/security/spec/KeySpec;)Ljava/security/PrivateKey;	java.security	48	false	false	
com.alipay.api.internal.util.asymmetric.SM2Encryptor::parsePKCS8PrivateKey([B)Ljava/security/PrivateKey;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.KeyFactory::generatePrivate(Ljava/security/spec/KeySpec;)Ljava/security/PrivateKey;	java.security	java.security.KeyFactory::generatePrivate(Ljava/security/spec/KeySpec;)Ljava/security/PrivateKey;	java.security	2	false	false	
com.alipay.api.internal.util.AlipayLogger::isBizDebugEnabled()Ljava/lang/Boolean;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	org.apache.commons.logging.Log::isDebugEnabled()Z	commons-logging:commons-logging:1.1.1	org.apache.commons.logging.impl.Jdk14Logger::isDebugEnabled()Z	commons-logging:commons-logging:1.1.1	43	false	false	
com.alipay.api.internal.util.asymmetric.SM2Encryptor::sm2Sign([BLjava/security/PrivateKey;Ljava/lang/String;)[B	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.Signature::getInstance(Ljava/lang/String;)Ljava/security/Signature;	java.security	java.security.Signature::getInstance(Ljava/lang/String;)Ljava/security/Signature;	java.security	1	false	false	
com.alipay.api.internal.util.asymmetric.SM2Encryptor::sm2Verify([B[BLjava/security/PublicKey;Ljava/lang/String;)Z	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.Signature::getInstance(Ljava/lang/String;)Ljava/security/Signature;	java.security	java.security.Signature::getInstance(Ljava/lang/String;)Ljava/security/Signature;	java.security	1	false	false	
com.alipay.api.internal.util.AlipayLogger::logBizSummary(Ljava/util/Map;Lcom/alipay/api/AlipayResponse;Ljava/util/Map;)V	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	org.apache.commons.logging.Log::info(Ljava/lang/Object;)V	commons-logging:commons-logging:1.1.1	org.apache.commons.logging.impl.Jdk14Logger::info(Ljava/lang/Object;)V	commons-logging:commons-logging:1.1.1	6	false	false	
com.alipay.api.internal.util.encrypt.impl.AesEncryptV2::encrypt(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.SecureRandom::nextBytes([B)V	java.security	java.security.SecureRandom::nextBytes([B)V	java.security	1	false	false	
com.alipay.api.internal.util.asymmetric.RSAEncryptor::doVerify(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Z	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.Signature::initVerify(Ljava/security/PublicKey;)V	java.security	java.security.Signature$Delegate::initVerify(Ljava/security/PublicKey;)V	java.security	16	false	false	
com.alipay.api.internal.util.AntCertificationUtil::getRootCertSN(Ljava/lang/String;)Ljava/lang/String;	com.alipay.sdk:alipay-sdk-java:4.16.57.ALL	public	java.security.MessageDigest::update([B)V	java.security	java.security.MessageDigest$Delegate::update([B)V	java.security	42	false	false	
