Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.springframework.data.mongodb.core.convert.MongoConverters$DBObjectToStringConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.ReadingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.capitalone.dashboard.collector.RestOperationsSupplier	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
com.mysema.query.types.PredicateOperation	-	-	com.mysema.querydsl:querydsl-core:3.6.0	javax.annotation.concurrent.Immutable	public	com.google.code.findbugs:jsr305:1.3.9	1
org.hibernate.validator.constraints.NotBlank	-	-	org.hibernate:hibernate-validator:5.2.2.Final	javax.validation.constraints.NotNull	public	javax.validation:validation-api:1.1.0.Final	1
com.capitalone.dashboard.collector.CollectorTask	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
org.springframework.data.mongodb.core.mapping.TextScore	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.annotation.ReadOnlyProperty	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.mysema.query.types.ConstantImpl	-	-	com.mysema.querydsl:querydsl-core:3.6.0	javax.annotation.concurrent.Immutable	public	com.google.code.findbugs:jsr305:1.3.9	1
com.capitalone.dashboard.collector.CollectorTaskWithGenericItem	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
com.capitalone.dashboard.event.TestResultEventListener	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
org.springframework.data.mongodb.core.convert.GeoConverters$DbObjectToPointConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.ReadingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.fasterxml.jackson.databind.annotation.JsonNaming	-	-	com.fasterxml.jackson.core:jackson-databind:2.10.3	com.fasterxml.jackson.annotation.JacksonAnnotation	public	com.fasterxml.jackson.core:jackson-annotations:2.10.3	1
com.capitalone.dashboard.repository.Monitor2Repository	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
com.mysema.query.types.OrderSpecifier	-	-	com.mysema.querydsl:querydsl-core:3.6.0	javax.annotation.concurrent.Immutable	public	com.google.code.findbugs:jsr305:1.3.9	1
com.google.common.base.Optional	-	-	com.google.guava:guava:19.0	javax.annotation.CheckReturnValue	public	com.google.code.findbugs:jsr305:1.3.9	1
org.springframework.data.mongodb.core.mapping.DBRef	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.annotation.Reference	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.fasterxml.jackson.databind.annotation.JsonValueInstantiator	-	-	com.fasterxml.jackson.core:jackson-databind:2.10.3	com.fasterxml.jackson.annotation.JacksonAnnotation	public	com.fasterxml.jackson.core:jackson-annotations:2.10.3	1
org.hibernate.validator.constraints.NotEmpty	-	-	org.hibernate:hibernate-validator:5.2.2.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:1.1.0.Final	1
org.springframework.data.mongodb.core.convert.GeoConverters$BoxToDbObjectConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.WritingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.data.mongodb.repository.Query	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.annotation.QueryAnnotation	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.data.mongodb.repository.Meta	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.annotation.QueryAnnotation	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.capitalone.dashboard.repository.AutoDiscoveryRepositoryImpl	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
com.fasterxml.jackson.databind.annotation.JsonDeserialize	-	-	com.fasterxml.jackson.core:jackson-databind:2.10.3	com.fasterxml.jackson.annotation.JacksonAnnotation	public	com.fasterxml.jackson.core:jackson-annotations:2.10.3	1
org.springframework.data.mongodb.core.convert.MongoConverters$TermToStringConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.WritingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.data.mongodb.core.convert.GeoConverters$DbObjectToSphereConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.ReadingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.google.common.base.Predicates	-	-	com.google.guava:guava:19.0	javax.annotation.CheckReturnValue	public	com.google.code.findbugs:jsr305:1.3.9	1
com.google.common.primitives.Ints	-	-	com.google.guava:guava:19.0	javax.annotation.CheckReturnValue	public	com.google.code.findbugs:jsr305:1.3.9	1
com.capitalone.dashboard.event.EnvironmentComponentEventListener	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
org.springframework.data.mongodb.core.convert.GeoConverters$DbObjectToCircleConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.ReadingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.mysema.query.types.OperationImpl	-	-	com.mysema.querydsl:querydsl-core:3.6.0	javax.annotation.concurrent.Immutable	public	com.google.code.findbugs:jsr305:1.3.9	1
com.capitalone.dashboard.event.CommitEventListener	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
com.capitalone.dashboard.event.sync.SyncDashboard	-	-	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.stereotype.Component	public	org.springframework:spring-context:4.2.5.RELEASE	1
org.springframework.data.mongodb.core.convert.GeoConverters$DbObjectToPolygonConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.ReadingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.data.mongodb.core.convert.GeoConverters$DbObjectToBoxConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.ReadingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.data.mongodb.core.convert.CustomConversions$CustomToStringConverter	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.WritingConverter	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.hibernate.validator.constraints.NotEmpty	-	-	org.hibernate:hibernate-validator:5.2.2.Final	javax.validation.constraints.NotNull	public	javax.validation:validation-api:1.1.0.Final	1
com.fasterxml.jackson.databind.annotation.JsonSerialize	-	-	com.fasterxml.jackson.core:jackson-databind:2.10.3	com.fasterxml.jackson.annotation.JacksonAnnotation	public	com.fasterxml.jackson.core:jackson-annotations:2.10.3	1
org.springframework.data.mongodb.config.AbstractMongoConfiguration	-	-	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:4.2.5.RELEASE	1
com.mysema.query.types.PathImpl	-	-	com.mysema.querydsl:querydsl-core:3.6.0	javax.annotation.concurrent.Immutable	public	com.google.code.findbugs:jsr305:1.3.9	1
org.hibernate.validator.constraints.NotBlank	-	-	org.hibernate:hibernate-validator:5.2.2.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:1.1.0.Final	1
org.springframework.context.support.ContextTypeMatchClassLoader	-	-	org.springframework:spring-context:4.2.5.RELEASE	org.springframework.lang.UsesJava7	public	org.springframework:spring-core:4.2.5.RELEASE	1
com.google.common.hash.Hashing	-	-	com.google.guava:guava:19.0	javax.annotation.CheckReturnValue	public	com.google.code.findbugs:jsr305:1.3.9	1
