Class Name	Class Visibility	Class Library	Usage	Used In Library
org.junit.Before	public	unknownLib	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
org.springframework.util.CollectionUtils	default	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework:spring-beans:4.2.5.RELEASE
com.capitalone.dashboard.model.QCloudInstance	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	method call	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.context.annotation.ScannedGenericBeanDefinition	public	org.springframework:spring-context:4.2.5.RELEASE	method call	org.springframework.data:spring-data-commons:1.11.0.RELEASE
org.springframework.beans.factory.support.DefaultListableBeanFactory	public	org.springframework:spring-beans:4.2.5.RELEASE	method call	org.springframework:spring-test:4.2.5.RELEASE
org.springframework.util.Assert	default	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework:spring-context:4.2.5.RELEASE
com.mongodb.MongoClient	public	org.mongodb:mongo-java-driver:3.0.2	instantiation	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.beans.factory.annotation.InjectionMetadata	public	org.springframework:spring-beans:4.2.5.RELEASE	method call	org.springframework:spring-context:4.2.5.RELEASE
org.springframework.expression.spel.standard.SpelExpressionParser	public	org.springframework:spring-expression:4.2.5.RELEASE	instantiation	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
javax.xml.bind.annotation.XmlValue	public	javax.xml.bind:jaxb-api:2.2.11	cast	com.sun.xml.bind:jaxb-impl:2.2.11
org.springframework.core.convert.TypeDescriptor	public	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework:spring-beans:4.2.5.RELEASE
com.mongodb.FongoDBCollection	public	com.github.fakemongo:fongo:2.0.3	method call	com.mysema.querydsl:querydsl-mongodb:3.6.0
org.springframework.core.io.support.ResourcePatternResolver	public	org.springframework:spring-core:4.2.5.RELEASE	subtyping	org.springframework:spring-context:4.2.5.RELEASE
com.capitalone.dashboard.repository.LibraryPolicyResultsRepository	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
org.springframework.context.expression.BeanFactoryResolver	public	org.springframework:spring-context:4.2.5.RELEASE	instantiation	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.core.convert.ConversionService	public	org.springframework:spring-core:4.2.5.RELEASE	cast	org.springframework:spring-context:4.2.5.RELEASE
java.sql.Date	public	java.sql	cast	com.google.code.gson:gson:2.7
org.springframework.data.convert.ThreeTenBackPortConverters	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	method call	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.core.GenericTypeResolver	public	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
com.capitalone.dashboard.model.relation.RelatedCollectorItem	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
com.google.common.annotations.GwtCompatible	public	com.google.guava:guava:19.0	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
com.capitalone.dashboard.model.score.settings.QDeployScoreSettings	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	method call	com.mysema.querydsl:querydsl-core:3.6.0
com.mongodb.ReplaceRequest	default	org.mongodb:mongo-java-driver:3.0.2	cast	com.github.fakemongo:fongo:2.0.3
com.capitalone.dashboard.model.QTeamInventory	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
org.springframework.beans.factory.support.RootBeanDefinition	public	org.springframework:spring-beans:4.2.5.RELEASE	subtyping	org.springframework:spring-context:4.2.5.RELEASE
com.mongodb.WriteResult	public	org.mongodb:mongo-java-driver:3.0.2	method call	com.github.fakemongo:fongo:2.0.3
org.springframework.util.ReflectionUtils$FieldCallback	public	org.springframework:spring-core:4.2.5.RELEASE	subtyping	org.springframework.data:spring-data-commons:1.11.0.RELEASE
org.springframework.data.mapping.model.CamelCaseAbbreviatingFieldNamingStrategy	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	instantiation	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.core.style.ToStringCreator	public	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework:spring-test:4.2.5.RELEASE
com.capitalone.dashboard.model.score.settings.QScoreCriteriaSettings	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
org.bson.types.Code	public	org.mongodb:mongo-java-driver:3.0.2	instantiation	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
com.capitalone.dashboard.model.QPerformance	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	method call	com.mysema.querydsl:querydsl-core:3.6.0
org.springframework.beans.factory.annotation.AnnotatedBeanDefinition	public	org.springframework:spring-beans:4.2.5.RELEASE	cast	org.springframework.data:spring-data-commons:1.11.0.RELEASE
com.mongodb.FongoDB	public	com.github.fakemongo:fongo:2.0.3	method call	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
sun.security.provider.NativePRNG	public	unknownLib	Class.forName	java.security
com.capitalone.dashboard.model.QComponent	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	method call	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.beans.PropertyMatches	public	org.springframework:spring-beans:4.2.5.RELEASE	method call	org.springframework.data:spring-data-commons:1.11.0.RELEASE
com.mongodb.BasicDBList	public	org.mongodb:mongo-java-driver:3.0.2	cast	com.github.fakemongo:fongo:2.0.3
org.xml.sax.SAXParseException	public	org.xml.sax	subtyping	com.sun.xml.bind:jaxb-core:2.2.11
org.springframework.data.repository.core.support.RepositoryFactorySupport$QueryExecutorMethodInterceptor	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	method call	org.springframework:spring-aop:4.2.5.RELEASE
org.springframework.core.InfrastructureProxy	public	org.springframework:spring-core:4.2.5.RELEASE	cast	org.springframework:spring-tx:4.2.5.RELEASE
com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.10.3	subtyping	com.fasterxml.jackson.core:jackson-databind:2.10.3
javax.xml.bind.annotation.XmlSchema	public	javax.xml.bind:jaxb-api:2.2.11	subtyping	com.sun.xml.bind:jaxb-impl:2.2.11
com.capitalone.dashboard.model.GenericCollectorItem	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
com.capitalone.dashboard.model.QCloudSubNetwork	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
org.springframework.transaction.PlatformTransactionManager	public	org.springframework:spring-tx:4.2.5.RELEASE	cast	org.springframework:spring-test:4.2.5.RELEASE
org.springframework.transaction.annotation.AnnotationTransactionAttributeSource	public	org.springframework:spring-tx:4.2.5.RELEASE	method call	org.springframework:spring-test:4.2.5.RELEASE
org.springframework.data.mongodb.repository.support.QueryDslMongoRepository	public	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	method call	org.springframework.data:spring-data-commons:1.11.0.RELEASE
com.mongodb.internal.validator.CollectibleDocumentFieldNameValidator	public	org.mongodb:mongo-java-driver:3.0.2	instantiation	com.github.fakemongo:fongo:2.0.3
com.capitalone.dashboard.model.CodeQuality	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
com.mongodb.bulk.BulkWriteResult	public	org.mongodb:mongo-java-driver:3.0.2	method call	com.github.fakemongo:fongo:2.0.3
org.springframework.core.io.DefaultResourceLoader	public	org.springframework:spring-core:4.2.5.RELEASE	instantiation	org.springframework:spring-context:4.2.5.RELEASE
com.capitalone.dashboard.model.QConfiguration	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	method call	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
com.mongodb.MongoClient	public	org.mongodb:mongo-java-driver:3.0.2	instantiation	com.capitalone.dashboard:core:3.6.9-SNAPSHOT
org.springframework.lang.UsesJava8	public	org.springframework:spring-core:4.2.5.RELEASE	annotation	org.springframework:spring-beans:4.2.5.RELEASE
javax.xml.bind.JAXBContext	public	javax.xml.bind:jaxb-api:2.2.11	subtyping	com.sun.xml.bind:jaxb-impl:2.2.11
org.springframework.aop.framework.ReflectiveMethodInvocation	public	org.springframework:spring-aop:4.2.5.RELEASE	method call	org.springframework.data:spring-data-commons:1.11.0.RELEASE
org.bson.BsonDouble	public	org.mongodb:mongo-java-driver:3.0.2	instantiation	com.github.fakemongo:fongo:2.0.3
org.springframework.util.Assert	default	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework.data:spring-data-commons:1.11.0.RELEASE
org.springframework.core.annotation.AnnotationUtils	public	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework:spring-test:4.2.5.RELEASE
com.capitalone.dashboard.model.ChangeOrder	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
com.mysema.query.NonUniqueResultException	public	com.mysema.querydsl:querydsl-core:3.6.0	instantiation	com.mysema.querydsl:querydsl-mongodb:3.6.0
org.springframework.data.mapping.PersistentEntity	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	subtyping	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.util.ReflectionUtils	public	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework:spring-expression:4.2.5.RELEASE
org.springframework.objenesis.ObjenesisStd	public	org.springframework:spring-core:4.2.5.RELEASE	instantiation	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
com.capitalone.dashboard.model.RallyFeature	public	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	Class.forName	org.springframework:spring-core:4.2.5.RELEASE
com.mysema.query.mongodb.MongodbQuery	public	com.mysema.querydsl:querydsl-mongodb:3.6.0	subtyping	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.core.convert.support.DefaultConversionService	public	org.springframework:spring-core:4.2.5.RELEASE	method call	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.springframework.data.mongodb.repository.support.SpringDataMongodbQuery$1	default	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	method call	com.mysema.querydsl:querydsl-mongodb:3.6.0
com.mysema.query.DefaultQueryMetadata	public	com.mysema.querydsl:querydsl-core:3.6.0	method call	com.mysema.querydsl:querydsl-mongodb:3.6.0
org.springframework.context.annotation.CommonAnnotationBeanPostProcessor	public	org.springframework:spring-context:4.2.5.RELEASE	method call	org.springframework:spring-core:4.2.5.RELEASE
org.springframework.core.type.classreading.MetadataReader	public	org.springframework:spring-core:4.2.5.RELEASE	cast	org.springframework:spring-context:4.2.5.RELEASE
