Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
org.springframework.core.env.PropertySource::PropertySource(Ljava/lang/String;Ljava/lang/Object;)V,org.springframework:spring-core:4.2.5.RELEASE,public,org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;,org.slf4j:jcl-over-slf4j:1.7.13,org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;,org.slf4j:jcl-over-slf4j:1.7.13,2978,false,false,
com.mysema.query.mongodb.MongodbSerializer::visit(Lcom/mysema/query/types/Operation;Ljava/lang/Void;)Ljava/lang/Object;,com.mysema.querydsl:querydsl-mongodb:3.6.0,public,com.google.common.collect.Sets::intersection(Ljava/util/Set;Ljava/util/Set;)Lcom/google/common/collect/Sets$SetView;,com.google.guava:guava:19.0,com.google.common.collect.Sets::intersection(Ljava/util/Set;Ljava/util/Set;)Lcom/google/common/collect/Sets$SetView;,com.google.guava:guava:19.0,17,false,false,
org.springframework.beans.BeanMetadataAttribute::hashCode()I,org.springframework:spring-beans:4.2.5.RELEASE,public,org.springframework.util.ObjectUtils::nullSafeHashCode(Ljava/lang/Object;)I,org.springframework:spring-core:4.2.5.RELEASE,org.springframework.util.ObjectUtils::nullSafeHashCode(Ljava/lang/Object;)I,org.springframework:spring-core:4.2.5.RELEASE,25,false,false,
com.mysema.query.types.path.BeanPath::createNumber(Ljava/lang/String;Ljava/lang/Class;)Lcom/mysema/query/types/path/NumberPath;,com.mysema.querydsl:querydsl-core:3.6.0,protected,com.mysema.query.types.path.BeanPath::forProperty(Ljava/lang/String;)Lcom/mysema/query/types/PathMetadata;,com.mysema.querydsl:querydsl-core:3.6.0,com.capitalone.dashboard.model.QFeature::forProperty(Ljava/lang/String;)Lcom/mysema/query/types/PathMetadata;,com.capitalone.dashboard:core:3.6.9-SNAPSHOT,1,false,false,
com.sun.xml.bind.v2.model.impl.PropertyInfoImpl::getIndividualType()Ljava/lang/Object;,com.sun.xml.bind:jaxb-impl:2.2.11,public,com.sun.xml.bind.v2.model.nav.Navigator::asDecl(Ljava/lang/Class;)Ljava/lang/Object;,com.sun.xml.bind:jaxb-core:2.2.11,com.sun.xml.bind.v2.model.nav.ReflectionNavigator::asDecl(Ljava/lang/Class;)Ljava/lang/Object;,com.sun.xml.bind:jaxb-core:2.2.11,6,false,false,
com.capitalone.dashboard.repository.ComponentRepository::findByCollectorTypeAndItemIdIn(Lcom/capitalone/dashboard/model/CollectorType;Ljava/util/List;)Ljava/util/List;,com.capitalone.dashboard:core:3.6.9-SNAPSHOT,public,com.mysema.query.types.path.PathBuilder::get(Ljava/lang/String;Ljava/lang/Class;)Lcom/mysema/query/types/path/PathBuilder;,com.mysema.querydsl:querydsl-core:3.6.0,com.mysema.query.types.path.PathBuilder::get(Ljava/lang/String;Ljava/lang/Class;)Lcom/mysema/query/types/path/PathBuilder;,com.mysema.querydsl:querydsl-core:3.6.0,15,false,false,
org.springframework.core.type.filter.AssignableTypeFilter::matchInterface(Ljava/lang/String;)Ljava/lang/Boolean;,org.springframework:spring-core:4.2.5.RELEASE,protected,org.springframework.core.type.filter.AssignableTypeFilter::matchTargetType(Ljava/lang/String;)Ljava/lang/Boolean;,org.springframework:spring-core:4.2.5.RELEASE,org.springframework.data.repository.config.RepositoryConfigurationDelegate$LenientAssignableTypeFilter::matchTargetType(Ljava/lang/String;)Ljava/lang/Boolean;,org.springframework.data:spring-data-commons:1.11.0.RELEASE,1200,false,false,
org.springframework.context.annotation.ComponentScanAnnotationParser::parse(Lorg/springframework/core/annotation/AnnotationAttributes;Ljava/lang/String;)Ljava/util/Set;,org.springframework:spring-context:4.2.5.RELEASE,public,org.springframework.core.annotation.AnnotationAttributes::getEnum(Ljava/lang/String;)Ljava/lang/Enum;,org.springframework:spring-core:4.2.5.RELEASE,org.springframework.core.annotation.AnnotationAttributes::getEnum(Ljava/lang/String;)Ljava/lang/Enum;,org.springframework:spring-core:4.2.5.RELEASE,1,false,false,
org.springframework.data.mongodb.core.convert.QueryMapper::convertId(Ljava/lang/Object;)Ljava/lang/Object;,org.springframework.data:spring-data-mongodb:1.8.0.RELEASE,public,org.springframework.core.convert.ConversionService::canConvert(Ljava/lang/Class;Ljava/lang/Class;)Z,org.springframework:spring-core:4.2.5.RELEASE,org.springframework.core.convert.support.DefaultConversionService::canConvert(Ljava/lang/Class;Ljava/lang/Class;)Z,org.springframework:spring-core:4.2.5.RELEASE,718,false,false,
com.capitalone.dashboard.model.QComponent::QComponent(Ljava/lang/String;)V,com.capitalone.dashboard:core:3.6.9-SNAPSHOT,public,com.mysema.query.types.PathMetadataFactory::forVariable(Ljava/lang/String;)Lcom/mysema/query/types/PathMetadata;,com.mysema.querydsl:querydsl-core:3.6.0,com.mysema.query.types.PathMetadataFactory::forVariable(Ljava/lang/String;)Lcom/mysema/query/types/PathMetadata;,com.mysema.querydsl:querydsl-core:3.6.0,1,false,false,
org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider::findCandidateComponents(Ljava/lang/String;)Ljava/util/Set;,org.springframework:spring-context:4.2.5.RELEASE,public,org.springframework.core.io.support.ResourcePatternResolver::getResources(Ljava/lang/String;)[Lorg/springframework/core/io/Resource;,org.springframework:spring-core:4.2.5.RELEASE,org.springframework.core.io.support.PathMatchingResourcePatternResolver::getResources(Ljava/lang/String;)[Lorg/springframework/core/io/Resource;,org.springframework:spring-core:4.2.5.RELEASE,36,false,false,
org.springframework.context.expression.StandardBeanExpressionResolver::evaluate(Ljava/lang/String;Lorg/springframework/beans/factory/config/BeanExpressionContext;)Ljava/lang/Object;,org.springframework:spring-context:4.2.5.RELEASE,public,org.springframework.expression.spel.support.StandardEvaluationContext::setRootObject(Ljava/lang/Object;)V,org.springframework:spring-expression:4.2.5.RELEASE,org.springframework.expression.spel.support.StandardEvaluationContext::setRootObject(Ljava/lang/Object;)V,org.springframework:spring-expression:4.2.5.RELEASE,12,false,false,
org.springframework.data.mongodb.repository.support.QueryDslMongoRepository::QueryDslMongoRepository(Lorg/springframework/data/mongodb/repository/query/MongoEntityInformation;Lorg/springframework/data/mongodb/core/MongoOperations;Lorg/springframework/data/querydsl/EntityPathResolver;)V,org.springframework.data:spring-data-mongodb:1.8.0.RELEASE,public,com.mysema.query.types.EntityPath::getMetadata()Lcom/mysema/query/types/PathMetadata;,com.mysema.querydsl:querydsl-core:3.6.0,com.capitalone.dashboard.model.QTestResult::getMetadata()Lcom/mysema/query/types/PathMetadata;,com.capitalone.dashboard:core:3.6.9-SNAPSHOT,12,false,false,
org.springframework.beans.factory.support.DisposableBeanAdapter::hasDestroyMethod(Ljava/lang/Object;Lorg/springframework/beans/factory/support/RootBeanDefinition;)Z,org.springframework:spring-beans:4.2.5.RELEASE,public,org.springframework.util.ClassUtils::hasMethod(Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Z,org.springframework:spring-core:4.2.5.RELEASE,org.springframework.util.ClassUtils::hasMethod(Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Z,org.springframework:spring-core:4.2.5.RELEASE,74,false,false,
com.sun.xml.bind.v2.model.impl.PropertyInfoImpl::isApplicable(Ljavax/xml/bind/annotation/adapters/XmlJavaTypeAdapter;Ljava/lang/Object;)Z,com.sun.xml.bind:jaxb-impl:2.2.11,public,com.sun.xml.bind.v2.model.nav.Navigator::asDecl(Ljava/lang/Class;)Ljava/lang/Object;,com.sun.xml.bind:jaxb-core:2.2.11,com.sun.xml.bind.v2.model.nav.ReflectionNavigator::asDecl(Ljava/lang/Class;)Ljava/lang/Object;,com.sun.xml.bind:jaxb-core:2.2.11,5,false,false,
com.mysema.query.types.path.BeanPath::createList(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;Lcom/mysema/query/types/path/PathInits;)Lcom/mysema/query/types/path/ListPath;,com.mysema.querydsl:querydsl-core:3.6.0,protected,com.mysema.query.types.path.BeanPath::add(Lcom/mysema/query/types/Path;)Lcom/mysema/query/types/Path;,com.mysema.querydsl:querydsl-core:3.6.0,com.capitalone.dashboard.model.QCloudVolumeStorage::add(Lcom/mysema/query/types/Path;)Lcom/mysema/query/types/Path;,com.capitalone.dashboard:core:3.6.9-SNAPSHOT,2,false,false,
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreator::createIndex(Lorg/springframework/data/mongodb/core/index/MongoPersistentEntityIndexResolver$IndexDefinitionHolder;)V,org.springframework.data:spring-data-mongodb:1.8.0.RELEASE,public,com.mongodb.DBCollection::createIndex(Lcom/mongodb/DBObject;Lcom/mongodb/DBObject;)V,org.mongodb:mongo-java-driver:3.0.2,com.mongodb.FongoDBCollection::createIndex(Lcom/mongodb/DBObject;Lcom/mongodb/DBObject;)V,com.github.fakemongo:fongo:2.0.3,444,false,false,
org.springframework.context.support.AbstractApplicationContext::resetCommonCaches()V,org.springframework:spring-context:4.2.5.RELEASE,public,org.springframework.beans.CachedIntrospectionResults::clearClassLoader(Ljava/lang/ClassLoader;)V,org.springframework:spring-beans:4.2.5.RELEASE,org.springframework.beans.CachedIntrospectionResults::clearClassLoader(Ljava/lang/ClassLoader;)V,org.springframework:spring-beans:4.2.5.RELEASE,12,false,false,
org.springframework.test.annotation.TestAnnotationUtils::getTimeout(Ljava/lang/reflect/Method;)J,org.springframework:spring-test:4.2.5.RELEASE,public,org.springframework.core.annotation.AnnotatedElementUtils::findMergedAnnotation(Ljava/lang/reflect/AnnotatedElement;Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,org.springframework:spring-core:4.2.5.RELEASE,org.springframework.core.annotation.AnnotatedElementUtils::findMergedAnnotation(Ljava/lang/reflect/AnnotatedElement;Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,org.springframework:spring-core:4.2.5.RELEASE,59,false,false,
org.springframework.beans.factory.support.AbstractBeanDefinition::AbstractBeanDefinition(Lorg/springframework/beans/factory/config/BeanDefinition;)V,org.springframework:spring-beans:4.2.5.RELEASE,public,org.springframework.beans.factory.config.BeanDefinition::getPropertyValues()Lorg/springframework/beans/MutablePropertyValues;,org.springframework:spring-beans:4.2.5.RELEASE,org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition::getPropertyValues()Lorg/springframework/beans/MutablePropertyValues;,org.springframework:spring-context:4.2.5.RELEASE,282,false,false,
org.springframework.data.mongodb.repository.support.QueryDslMongoRepository::QueryDslMongoRepository(Lorg/springframework/data/mongodb/repository/query/MongoEntityInformation;Lorg/springframework/data/mongodb/core/MongoOperations;Lorg/springframework/data/querydsl/EntityPathResolver;)V,org.springframework.data:spring-data-mongodb:1.8.0.RELEASE,public,com.mysema.query.types.EntityPath::getMetadata()Lcom/mysema/query/types/PathMetadata;,com.mysema.querydsl:querydsl-core:3.6.0,com.capitalone.dashboard.model.score.settings.QScoreCriteriaSettings::getMetadata()Lcom/mysema/query/types/PathMetadata;,com.capitalone.dashboard:core:3.6.9-SNAPSHOT,12,false,false,
com.capitalone.dashboard.event.sync.SyncDashboard::getRepoType(Lcom/capitalone/dashboard/model/Build;)Lcom/capitalone/dashboard/model/RepoBranch$RepoType;,com.capitalone.dashboard:core:3.6.9-SNAPSHOT,public,org.apache.commons.collections4.CollectionUtils::isEmpty(Ljava/util/Collection;)Z,org.apache.commons:commons-collections4:4.1,org.apache.commons.collections4.CollectionUtils::isEmpty(Ljava/util/Collection;)Z,org.apache.commons:commons-collections4:4.1,11,false,false,
