Caller Method,Caller Library,setAccessible Called On,Visibility,Callee Name,Field Signature,Callee Library
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V,org.springframework:spring-core:4.2.5.RELEASE,java.lang.reflect.Field,private,com.capitalone.dashboard.model.ChangeOrder::initiatedBy,java.lang.String,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V,org.springframework:spring-core:4.2.5.RELEASE,java.lang.reflect.Field,private,com.capitalone.dashboard.model.BinaryArtifact::virtualRepos,java.util.List<java.lang.String>,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V,org.springframework:spring-core:4.2.5.RELEASE,java.lang.reflect.Field,private,com.capitalone.dashboard.model.GenericCollectorItem::source,java.lang.String,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V,org.springframework:spring-core:4.2.5.RELEASE,java.lang.reflect.Field,private,com.capitalone.dashboard.model.TeamInventory::collectorItemId,org.bson.types.ObjectId,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V,org.springframework:spring-core:4.2.5.RELEASE,java.lang.reflect.Field,protected,com.capitalone.dashboard.model.SCM::scmAuthorLogin,java.lang.String,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V,org.springframework:spring-core:4.2.5.RELEASE,java.lang.reflect.Field,private,com.capitalone.dashboard.model.Scope::projectPath,java.lang.String,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;,com.google.code.gson:gson:2.7,java.lang.reflect.Constructor,public,com.capitalone.dashboard.model.TestCase::com.capitalone.dashboard.model.TestCase()V,,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V,org.springframework:spring-core:4.2.5.RELEASE,java.lang.reflect.Field,private,com.capitalone.dashboard.model.TestCapability::url,java.lang.String,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;,com.google.code.gson:gson:2.7,java.lang.reflect.Constructor,public,com.capitalone.dashboard.model.RepoBranch::com.capitalone.dashboard.model.RepoBranch()V,,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
com.sun.xml.bind.v2.runtime.reflect.Accessor$FieldReflection::Accessor$FieldReflection(Ljava/lang/reflect/Field;Z)V,com.sun.xml.bind:jaxb-impl:2.2.11,java.lang.reflect.Field,protected,com.capitalone.dashboard.model.quality.JunitXmlReport::failures,int,com.capitalone.dashboard:core:3.6.9-SNAPSHOT
