SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.springframework.data.mongodb.core.mapping.MongoPersistentProperty	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.mapping.PersistentProperty	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.sun.xml.bind.v2.model.runtime.RuntimeAttributePropertyInfo	com.sun.xml.bind:jaxb-impl:2.2.11	com.sun.xml.bind.v2.model.core.AttributePropertyInfo	public	com.sun.xml.bind:jaxb-core:2.2.11	1
com.capitalone.dashboard.repository.AuditResultRepository	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.data.repository.PagingAndSortingRepository	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.context.annotation.ConfigurationClassPostProcessor$EnhancedConfigurationBeanPostProcessor	org.springframework:spring-context:4.2.5.RELEASE	org.springframework.core.PriorityOrdered	public	org.springframework:spring-core:4.2.5.RELEASE	1
org.springframework.data.mongodb.core.mapping.MongoMappingContext	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.mapping.context.AbstractMappingContext	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
com.capitalone.dashboard.testutil.TestRestTemplate	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.web.client.RestTemplate	public	org.springframework:spring-web:4.2.5.RELEASE	1
com.capitalone.dashboard.repository.GenericCollectorItemRepository	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	org.springframework.data.repository.CrudRepository	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.data.mongodb.core.convert.DefaultMongoTypeMapper	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.convert.DefaultTypeMapper	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
org.springframework.context.event.EventListenerMethodProcessor	org.springframework:spring-context:4.2.5.RELEASE	org.springframework.beans.factory.SmartInitializingSingleton	public	org.springframework:spring-beans:4.2.5.RELEASE	1
org.springframework.data.convert.JodaTimeConverters$DateTimeToDateConverter	org.springframework.data:spring-data-commons:1.11.0.RELEASE	org.springframework.core.convert.converter.Converter	public	org.springframework:spring-core:4.2.5.RELEASE	1
com.capitalone.dashboard.model.QRallyStoryStages	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	com.mysema.query.types.path.BeanPath	public	com.mysema.querydsl:querydsl-core:3.6.0	1
com.capitalone.dashboard.model.QMaturityModel	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	com.mysema.query.types.path.EntityPathBase	public	com.mysema.querydsl:querydsl-core:3.6.0	1
com.capitalone.dashboard.model.score.QScoreComponentMetric	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	com.mysema.query.types.path.BeanPath	public	com.mysema.querydsl:querydsl-core:3.6.0	1
com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.10.3	com.fasterxml.jackson.core.ObjectCodec	public	com.fasterxml.jackson.core:jackson-core:2.10.3	1
com.sun.xml.bind.v2.model.impl.MapPropertyInfoImpl	com.sun.xml.bind:jaxb-impl:2.2.11	com.sun.xml.bind.v2.model.core.MapPropertyInfo	public	com.sun.xml.bind:jaxb-core:2.2.11	1
com.capitalone.dashboard.model.QCollectorItem	com.capitalone.dashboard:core:3.6.9-SNAPSHOT	com.mysema.query.types.path.EntityPathBase	public	com.mysema.querydsl:querydsl-core:3.6.0	1
com.sun.xml.bind.v2.model.impl.ElementInfoImpl	com.sun.xml.bind:jaxb-impl:2.2.11	com.sun.xml.bind.v2.model.core.ElementInfo	public	com.sun.xml.bind:jaxb-core:2.2.11	1
com.sun.xml.bind.v2.model.impl.AttributePropertyInfoImpl	com.sun.xml.bind:jaxb-impl:2.2.11	com.sun.xml.bind.v2.model.core.AttributePropertyInfo	public	com.sun.xml.bind:jaxb-core:2.2.11	1
org.springframework.data.mongodb.core.MongoDataIntegrityViolationException	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.dao.DataIntegrityViolationException	public	org.springframework:spring-tx:4.2.5.RELEASE	1
org.springframework.data.mongodb.core.convert.MongoConverters$TermToStringConverter	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.core.convert.converter.Converter	public	org.springframework:spring-core:4.2.5.RELEASE	1
org.springframework.context.EmbeddedValueResolverAware	org.springframework:spring-context:4.2.5.RELEASE	org.springframework.beans.factory.Aware	public	org.springframework:spring-beans:4.2.5.RELEASE	1
org.springframework.context.support.PropertySourcesPlaceholderConfigurer$2	org.springframework:spring-context:4.2.5.RELEASE	org.springframework.util.StringValueResolver	public	org.springframework:spring-core:4.2.5.RELEASE	1
org.springframework.data.mongodb.repository.query.MongoParameterAccessor	org.springframework.data:spring-data-mongodb:1.8.0.RELEASE	org.springframework.data.repository.query.ParameterAccessor	public	org.springframework.data:spring-data-commons:1.11.0.RELEASE	1
