Class Name	Class Visibility	Class Library	Usage	Used In Library
com.fasterxml.jackson.databind.exc.MismatchedInputException	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	method call	com.fasterxml.jackson.core
com.fasterxml.jackson.databind.node.TestConversions$LongContainer1940	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonpCharacterEscapes	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.ser.std.SqlDateSerializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.EnumSet	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.ext.DOMSerializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.type.TestTypeFactory3108$StringList3108	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.GregorianCalendar	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestTypedDeserialization$NullAnimal	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonGenerationException	public	com.fasterxml.jackson.core	instantiation	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestTypedDeserialization$DummyImpl	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonProcessingException	public	com.fasterxml.jackson.core	cast	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonFactory	public	com.fasterxml.jackson.core	instantiation	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.type.TestTypeFactory3108$StringStringMap3108	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.TreeMap	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.concurrent.atomic.AtomicReference	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.deser.std.DateDeserializers$SqlDateDeserializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.deser.jdk.EnumMapDeserializationTest$Enum1859	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.ext.SqlBlobSerializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestPropertyTypeInfo$FieldWrapperBean	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.SerializableString	public	com.fasterxml.jackson.core	cast	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.nio.file.Path	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestGenericListSerialization$Child2	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForObject$ComplexChoice	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonLocation	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestGenericListSerialization$Child1	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.lang.Long	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.node.TreeTraversingParser	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	method call	com.fasterxml.jackson.core
com.fasterxml.jackson.databind.jsontype.PolymorphicViaRefTypeTest$AtomicStringWrapper	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.objectid.ObjectId825Test$TestC	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.objectid.ObjectId825Test$TestD	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Locale	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.ser.std.SqlTimeSerializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.exc.InvalidNullException	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	method call	com.fasterxml.jackson.core
com.fasterxml.jackson.databind.jsontype.TestPropertyTypeInfo$MethodWrapperBean	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestPolymorphicDeduction$LiveCat	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.deser.creators.TestCreatorWithPolymorphic113$Dog	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.vld.CustomPTVMatchersTest$CustomGood	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.jdk.TypedArrayDeserTest$TypedListAsWrapper	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.lang.Object	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.deser.jdk.MapDeserializationTest$ConcreteType	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonProcessingException	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultWithCreators$UrlJob	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonGenerator$Feature	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.ObjectMapper	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	method call	com.fasterxml.jackson.core
java.net.URL	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.deser.AnySetterTest$Impl	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.objectid.TestObjectId$Foo	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.objectid.TestObjectIdWithPolymorphic$Process	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Collections$EmptySet	private	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
org.w3c.dom.Node	public	org.w3c.dom	cast	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonParser$Feature	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.GenericTypeId1735Test$Nefarious1735	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.vld.BasicPTVWithArraysTest$Good2534	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForEnums$TestEnum	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Collections$SynchronizedList	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonGenerator	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.ext.CoreXMLSerializers	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestPolymorphicDeduction$DeadCat	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.TestPropertyTypeInfo$OtherBean	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.node.NodeCursor$ArrayCursor	protected	com.fasterxml.jackson.core:jackson-databind:2.12.3	method call	com.fasterxml.jackson.core
com.fasterxml.jackson.databind.jsontype.TestTypedDeserialization$Fish	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Collections$SynchronizedSet	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.deser.creators.DelegatingExternalProperty1003Test$Superman	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.ObjectCodec	public	com.fasterxml.jackson.core	subtyping	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonStreamContext	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.ArrayList	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Collections$UnmodifiableCollection	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonLocation	public	com.fasterxml.jackson.core	instantiation	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.objectid.TestObjectIdWithEquals$Element	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.jdk.ScalarTypingTest$TestEnum	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.StreamWriteFeature	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.ext.CoreXMLDeserializers	public	com.fasterxml.jackson.core:jackson-databind:2.12.3	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.JsonGenerator	public	com.fasterxml.jackson.core	subtyping	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Collections$UnmodifiableList	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Arrays$ArrayList	private	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.Collections$SynchronizedRandomAccessList	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
org.xml.sax.InputSource	public	org.xml.sax	instantiation	javax.xml.parsers
com.fasterxml.jackson.databind.node.NodeCursor$RootCursor	protected	com.fasterxml.jackson.core:jackson-databind:2.12.3	method call	com.fasterxml.jackson.core
com.fasterxml.jackson.databind.jsontype.vld.ValidatePolymSubTypeTest$GoodValue	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.jsontype.vld.ValidatePolymSubTypeTest$MehValue	default	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.Version	public	com.fasterxml.jackson.core	method call	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.objectid.TestObjectId$Bar	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.databind.BaseMapTest$IntWrapper	protected	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
java.util.HashMap	public	unknownLib	Class.forName	com.fasterxml.jackson.core:jackson-databind:2.12.3
