Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
com.fasterxml.jackson.databind.DatabindContext::objectIdGeneratorInstance(Lcom/fasterxml/jackson/databind/introspect/Annotated;Lcom/fasterxml/jackson/databind/introspect/ObjectIdInfo;)Lcom/fasterxml/jackson/annotation/ObjectIdGenerator;,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.annotation.ObjectIdGenerator::forScope(Ljava/lang/Class;)Lcom/fasterxml/jackson/annotation/ObjectIdGenerator;,com.fasterxml.jackson.core:jackson-annotations:2.12.3,com.fasterxml.jackson.annotation.ObjectIdGenerators$IntSequenceGenerator::forScope(Ljava/lang/Class;)Lcom/fasterxml/jackson/annotation/ObjectIdGenerator;,com.fasterxml.jackson.core:jackson-annotations:2.12.3,40,false,false,
com.fasterxml.jackson.databind.ser.std.StdJdkSerializers$AtomicLongSerializer::serialize(Ljava/util/concurrent/atomic/AtomicLong;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.core.JsonGenerator::writeNumber(J)V,com.fasterxml.jackson.core:jackson-core:2.12.3,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator::writeNumber(J)V,com.fasterxml.jackson.core:jackson-core:2.12.3,1,false,false,
com.fasterxml.jackson.databind.introspect.AnnotatedMethod::callOnWith(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.core.json.ReaderBasedJsonParser::nextToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.12.3,com.fasterxml.jackson.core.json.ReaderBasedJsonParser::nextToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.12.3,5,true,false,
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory::_addExplicitConstructorCreators(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/BasicDeserializerFactory$CreatorCollectionState;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.annotation.JsonCreator$Mode::ordinal()I,com.fasterxml.jackson.core:jackson-annotations:2.12.3,com.fasterxml.jackson.annotation.JsonCreator$Mode::ordinal()I,com.fasterxml.jackson.core:jackson-annotations:2.12.3,218,false,false,
com.fasterxml.jackson.databind.jsontype.impl.AsArrayTypeDeserializer::_deserialize(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;)Ljava/lang/Object;,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.core.JsonParser::currentToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.12.3,com.fasterxml.jackson.core.util.JsonParserSequence::currentToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.12.3,1,false,false,
com.fasterxml.jackson.databind.cfg.ConfigOverrides::findFormatDefaults(Ljava/lang/Class;)Lcom/fasterxml/jackson/annotation/JsonFormat$Value;,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.annotation.JsonFormat$Value::withLenient(Ljava/lang/Boolean;)Lcom/fasterxml/jackson/annotation/JsonFormat$Value;,com.fasterxml.jackson.core:jackson-annotations:2.12.3,com.fasterxml.jackson.annotation.JsonFormat$Value::withLenient(Ljava/lang/Boolean;)Lcom/fasterxml/jackson/annotation/JsonFormat$Value;,com.fasterxml.jackson.core:jackson-annotations:2.12.3,23,false,false,
com.fasterxml.jackson.core.JsonParser::_codec()Lcom/fasterxml/jackson/core/ObjectCodec;,com.fasterxml.jackson.core:jackson-core:2.12.3,public,com.fasterxml.jackson.core.JsonParser::getCodec()Lcom/fasterxml/jackson/core/ObjectCodec;,com.fasterxml.jackson.core:jackson-core:2.12.3,com.fasterxml.jackson.databind.node.TreeTraversingParser::getCodec()Lcom/fasterxml/jackson/core/ObjectCodec;,com.fasterxml.jackson.core:jackson-databind:2.12.3,4,false,false,
com.fasterxml.jackson.databind.ser.impl.StringArraySerializer::serializeContents([Ljava/lang/String;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.core.JsonGenerator::writeNull()V,com.fasterxml.jackson.core:jackson-core:2.12.3,com.fasterxml.jackson.core.json.UTF8JsonGenerator::writeNull()V,com.fasterxml.jackson.core:jackson-core:2.12.3,1,false,false,
com.fasterxml.jackson.databind.deser.BeanDeserializer::vanillaDeserialize(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/core/JsonToken;)Ljava/lang/Object;,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.core.JsonParser::nextToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.12.3,com.fasterxml.jackson.core.filter.FilteringParserDelegate::nextToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.12.3,7,false,false,
com.fasterxml.jackson.databind.deser.BeanDeserializer::vanillaDeserialize(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/core/JsonToken;)Ljava/lang/Object;,com.fasterxml.jackson.core:jackson-databind:2.12.3,public,com.fasterxml.jackson.core.JsonParser::hasTokenId(I)Z,com.fasterxml.jackson.core:jackson-core:2.12.3,com.fasterxml.jackson.core.util.JsonParserSequence::hasTokenId(I)Z,com.fasterxml.jackson.core:jackson-core:2.12.3,41,false,false,
