Caller Method,Caller Library,setAccessible Called On,Visibility,Callee Name,Field Signature,Callee Library
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Field,public,com.fasterxml.jackson.databind.struct.TestUnwrappedWithPrefix$PrefixUnwrap::location,com.fasterxml.jackson.databind.struct.TestUnwrappedWithPrefix$Location,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.contextual.TestContextualSerialization$ContextualBean::getValue()Ljava/lang/String;,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.introspect.AccessorNamingStrategyTest$SetterBean2800_Y::PutY(I)V,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreatorsTest$MyType::of(Ljava/util/List;)Lcom/fasterxml/jackson/databind/deser/creators/DelegatingArrayCreatorsTest$MyType;,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Constructor,public,com.fasterxml.jackson.databind.deser.creators.CreatorPropertiesTest$Ambiguity::com.fasterxml.jackson.databind.deser.creators.CreatorPropertiesTest$Ambiguity(I)V,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Field,public,com.fasterxml.jackson.databind.contextual.TestContextualDeserialization$ContextualMapBean::beans,java.util.Map<java.lang.String, com.fasterxml.jackson.databind.contextual.TestContextualDeserialization$StringValue>,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Field,public,com.fasterxml.jackson.databind.jsonschema.TestReadJsonSchema$Schemable::states,boolean[],unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Constructor,default,com.fasterxml.jackson.databind.convert.TestUpdateViaObjectReader$Cat::com.fasterxml.jackson.databind.convert.TestUpdateViaObjectReader$Cat()V,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Field,public,com.fasterxml.jackson.databind.jsontype.ext.ExternalTypeIdWithCreator3045Test$MyData::data,java.util.HashMap<java.lang.String, java.lang.Object>,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.type.NestedTypes1604Test$Inner::getIndex()I,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Constructor,default,com.fasterxml.jackson.databind.objectid.ObjectId825BTest$Tr::com.fasterxml.jackson.databind.objectid.ObjectId825BTest$Tr()V,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Constructor,private,com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreatorsTest$ImmutableBag2324::com.fasterxml.jackson.databind.deser.creators.DelegatingArrayCreatorsTest$ImmutableBag2324(Ljava/util/Collection;)V,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Field,public,com.fasterxml.jackson.databind.deser.jdk.DateDeserializationTest$CalendarAsStringBean::cal,java.util.Calendar,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Field,public,com.fasterxml.jackson.databind.ser.JsonValueTest$A2822::b,com.fasterxml.jackson.databind.ser.JsonValueTest$B2822,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.ser.filter.JsonIncludeTest$NonDefaultBean::getA()Ljava/lang/String;,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.deser.builder.BuilderAdvancedTest$ExternalBuilder::withValue(Lcom/fasterxml/jackson/databind/deser/builder/BuilderAdvancedTest$BaseBean;)Lcom/fasterxml/jackson/databind/deser/builder/BuilderAdvancedTest$ExternalBuilder;,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Field,public,com.fasterxml.jackson.databind.ser.filter.JsonIncludeTest$DefaultIntBean::i2,java.lang.Integer,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.views.TestViewsSerialization2$ComplexTestData::getNameComplexHidden()Ljava/lang/String;,,unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V,com.fasterxml.jackson.core:jackson-databind:2.12.3,java.lang.reflect.Method,public,com.fasterxml.jackson.databind.deser.jdk.EnumDeserializationTest$Enum1161::valueOf(Ljava/lang/String;)Lcom/fasterxml/jackson/databind/deser/jdk/EnumDeserializationTest$Enum1161;,,unknownLib
