SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
com.fasterxml.jackson.databind.node.NodeCursor,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.JsonStreamContext,public,com.fasterxml.jackson.core:jackson-core:2.12.3,1
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator,public,com.fasterxml.jackson.core:jackson-annotations:2.12.3,2
com.fasterxml.jackson.databind.ObjectReader,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.type.ResolvedType,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.ObjectReader,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.MappingJsonFactory,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.JsonFactory,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.deser.DataFormatReaders$AccessorForReader,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.format.InputAccessor$Std,public,com.fasterxml.jackson.core:jackson-core:2.12.3,1
com.fasterxml.jackson.databind.Module,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.util.TokenBuffer$Parser,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.base.ParserMinimalBase,public,com.fasterxml.jackson.core:jackson-core:2.12.3,1
com.fasterxml.jackson.databind.JsonMappingException,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.JsonProcessingException,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.util.TokenBuffer,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.JsonGenerator,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.SequenceWriter,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.3,1
com.fasterxml.jackson.databind.util.TokenBufferReadContext,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.JsonStreamContext,public,com.fasterxml.jackson.core:jackson-core:2.12.3,1
com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.TreeNode,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.ObjectWriter,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
com.fasterxml.jackson.databind.cfg.PackageVersion,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.3,1
com.fasterxml.jackson.databind.ser.impl.PropertyBasedObjectIdGenerator,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator,public,com.fasterxml.jackson.core:jackson-annotations:2.12.3,2
com.fasterxml.jackson.databind.node.TreeTraversingParser,com.fasterxml.jackson.core:jackson-databind:2.12.3,com.fasterxml.jackson.core.base.ParserMinimalBase,public,com.fasterxml.jackson.core:jackson-core:2.12.3,2
