Class Name,Class Visibility,Class Library,Usage,Used In Library
com.github.mangstadt.vinnie.validate.VObjectValidator,public,com.github.mangstadt:vinnie:2.0.2,method call,com.googlecode.ez-vcard:ez-vcard:0.11.3
java.lang.reflect.Type,public,unknownLib,Class.forName,org.freemarker:freemarker:2.3.31
javax.xml.transform.ErrorListener,public,javax.xml.transform,subtyping,com.googlecode.ez-vcard:ez-vcard:0.11.3
com.fasterxml.jackson.databind.JsonDeserializer,public,com.fasterxml.jackson.core:jackson-databind:2.12.5,subtyping,com.googlecode.ez-vcard:ez-vcard:0.11.3
ezvcard.property.Telephone,public,com.googlecode.ez-vcard:ez-vcard:0.11.3,method call,org.freemarker:freemarker:2.3.31
ezvcard.property.ListProperty,public,com.googlecode.ez-vcard:ez-vcard:0.11.3,method call,org.freemarker:freemarker:2.3.31
ezvcard.io.json.JCardPrettyPrinter,public,com.googlecode.ez-vcard:ez-vcard:0.11.3,method call,com.fasterxml.jackson.core:jackson-core:2.12.5
ezvcard.parameter.MediaTypeParameter,public,com.googlecode.ez-vcard:ez-vcard:0.11.3,method call,org.freemarker:freemarker:2.3.31
com.fasterxml.jackson.core.Version,public,com.fasterxml.jackson.core:jackson-core:2.12.5,instantiation,com.googlecode.ez-vcard:ez-vcard:0.11.3
java.lang.reflect.Method,public,unknownLib,Class.forName,org.freemarker:freemarker:2.3.31
com.fasterxml.jackson.annotation.JsonSetter$Value,public,com.fasterxml.jackson.core:jackson-annotations:2.12.5,method call,com.fasterxml.jackson.core:jackson-databind:2.12.5
ezvcard.parameter.VCardParameter,public,com.googlecode.ez-vcard:ez-vcard:0.11.3,method call,org.freemarker:freemarker:2.3.31
javax.xml.transform.TransformerFactory,public,javax.xml.transform,method call,com.googlecode.ez-vcard:ez-vcard:0.11.3
com.fasterxml.jackson.annotation.JsonRawValue,public,com.fasterxml.jackson.core:jackson-annotations:2.12.5,cast,com.fasterxml.jackson.core:jackson-databind:2.12.5
org.w3c.dom.Text,public,org.w3c.dom,cast,com.googlecode.ez-vcard:ez-vcard:0.11.3
org.jsoup.Jsoup,public,org.jsoup:jsoup:1.14.2,method call,com.googlecode.ez-vcard:ez-vcard:0.11.3
freemarker.template.Configuration,public,org.freemarker:freemarker:2.3.31,instantiation,com.googlecode.ez-vcard:ez-vcard:0.11.3
com.fasterxml.jackson.annotation.JsonFormat,public,com.fasterxml.jackson.core:jackson-annotations:2.12.5,cast,com.fasterxml.jackson.core:jackson-databind:2.12.5
com.github.mangstadt.vinnie.VObjectProperty,public,com.github.mangstadt:vinnie:2.0.2,method call,com.googlecode.ez-vcard:ez-vcard:0.11.3
java.util.concurrent.ConcurrentMap,public,unknownLib,Class.forName,org.freemarker:freemarker:2.3.31
com.fasterxml.jackson.core.json.JsonReadFeature,public,com.fasterxml.jackson.core:jackson-core:2.12.5,cast,com.fasterxml.jackson.core:jackson-databind:2.12.5
com.fasterxml.jackson.core.JsonLocation,public,com.fasterxml.jackson.core:jackson-core:2.12.5,method call,com.googlecode.ez-vcard:ez-vcard:0.11.3
java.lang.Class,public,unknownLib,Class.forName,org.freemarker:freemarker:2.3.31
ezvcard.io.json.JCardDeserializer,public,com.googlecode.ez-vcard:ez-vcard:0.11.3,method call,com.fasterxml.jackson.core:jackson-databind:2.12.5
com.fasterxml.jackson.annotation.JsonIgnoreProperties,public,com.fasterxml.jackson.core:jackson-annotations:2.12.5,cast,com.fasterxml.jackson.core:jackson-databind:2.12.5
com.fasterxml.jackson.annotation.JsonValue,public,com.fasterxml.jackson.core:jackson-annotations:2.12.5,cast,com.fasterxml.jackson.core:jackson-databind:2.12.5
java.lang.reflect.Constructor,public,unknownLib,Class.forName,org.freemarker:freemarker:2.3.31
com.fasterxml.jackson.annotation.JsonGetter,public,com.fasterxml.jackson.core:jackson-annotations:2.12.5,cast,com.fasterxml.jackson.core:jackson-databind:2.12.5
com.github.mangstadt.vinnie.io.VObjectPropertyValues$SemiStructuredValueIterator,public,com.github.mangstadt:vinnie:2.0.2,method call,com.googlecode.ez-vcard:ez-vcard:0.11.3
