Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.12.5	java.lang.reflect.Method	public	ezvcard.io.json.JCardSerializerTest$ContainerAnnotation::getContact()Lezvcard/VCard;		unknownLib
ezvcard.parameter.VCardParameterCaseClasses::create(Ljava/lang/String;)Lezvcard/parameter/VCardParameter;	com.googlecode.ez-vcard:ez-vcard:0.11.3	java.lang.reflect.Constructor	private	ezvcard.parameter.TelephoneType::ezvcard.parameter.TelephoneType(Ljava/lang/String;)V		com.googlecode.ez-vcard:ez-vcard:0.11.3
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.12.5	java.lang.reflect.Constructor	private	ezvcard.io.json.JCardDeserializerTest$Container::ezvcard.io.json.JCardDeserializerTest$Container()V		unknownLib
ezvcard.parameter.MediaTypeCaseClasses::create([Ljava/lang/String;)Lezvcard/parameter/MediaTypeParameter;	com.googlecode.ez-vcard:ez-vcard:0.11.3	java.lang.reflect.Constructor	private	ezvcard.parameter.MediaTypeCaseClassesTest$TextMediaType::ezvcard.parameter.MediaTypeCaseClassesTest$TextMediaType(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V		unknownLib
ezvcard.parameter.VCardParameterCaseClasses::create(Ljava/lang/String;)Lezvcard/parameter/VCardParameter;	com.googlecode.ez-vcard:ez-vcard:0.11.3	java.lang.reflect.Constructor	private	ezvcard.parameter.VCardParameterCaseClassesTest$Pet::ezvcard.parameter.VCardParameterCaseClassesTest$Pet(Ljava/lang/String;)V		unknownLib
ezvcard.parameter.VCardParameterCaseClasses::create(Ljava/lang/String;)Lezvcard/parameter/VCardParameter;	com.googlecode.ez-vcard:ez-vcard:0.11.3	java.lang.reflect.Constructor	private	ezvcard.parameter.Calscale::ezvcard.parameter.Calscale(Ljava/lang/String;)V		com.googlecode.ez-vcard:ez-vcard:0.11.3
ezvcard.parameter.VCardParameterCaseClasses::create(Ljava/lang/String;)Lezvcard/parameter/VCardParameter;	com.googlecode.ez-vcard:ez-vcard:0.11.3	java.lang.reflect.Constructor	private	ezvcard.parameter.AddressType::ezvcard.parameter.AddressType(Ljava/lang/String;)V		com.googlecode.ez-vcard:ez-vcard:0.11.3
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.12.5	java.lang.reflect.Constructor	public	ezvcard.io.json.JCardSerializer::ezvcard.io.json.JCardSerializer()V		com.googlecode.ez-vcard:ez-vcard:0.11.3
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.12.5	java.lang.reflect.Method	public	ezvcard.io.json.JCardSerializerTest$Container::getContact()Lezvcard/VCard;		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.12.5	java.lang.reflect.Method	public	ezvcard.io.json.JCardDeserializerTest$Container::setContact(Lezvcard/VCard;)V		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.12.5	java.lang.reflect.Constructor	public	ezvcard.io.json.JCardDeserializer::ezvcard.io.json.JCardDeserializer()V		com.googlecode.ez-vcard:ez-vcard:0.11.3
ezvcard.parameter.VCardParameterCaseClasses::create(Ljava/lang/String;)Lezvcard/parameter/VCardParameter;	com.googlecode.ez-vcard:ez-vcard:0.11.3	java.lang.reflect.Constructor	private	ezvcard.parameter.EmailType::ezvcard.parameter.EmailType(Ljava/lang/String;)V		com.googlecode.ez-vcard:ez-vcard:0.11.3
ezvcard.parameter.VCardParameterCaseClasses::create(Ljava/lang/String;)Lezvcard/parameter/VCardParameter;	com.googlecode.ez-vcard:ez-vcard:0.11.3	java.lang.reflect.Constructor	private	ezvcard.parameter.Encoding::ezvcard.parameter.Encoding(Ljava/lang/String;)V		com.googlecode.ez-vcard:ez-vcard:0.11.3
