SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.apache.xml.dtm.SecuritySupport$7	org.apache.xml.dtm	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.JavaType	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.type.ResolvedType	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
ezvcard.io.json.JCardModule	com.googlecode.ez-vcard:ez-vcard:0.11.3	com.fasterxml.jackson.databind.module.SimpleModule	public	com.fasterxml.jackson.core:jackson-databind:2.12.5	1
freemarker.log.Logger$1	org.freemarker:freemarker:2.3.31	java.security.PrivilegedAction	public	java.security	1
org.apache.xml.dtm.SecuritySupport$4	org.apache.xml.dtm	java.security.PrivilegedAction	public	java.security	1
org.apache.xml.dtm.SecuritySupport$6	org.apache.xml.dtm	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.ObjectCodec	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
ezvcard.io.xml.XCardReader$NoOpErrorListener	com.googlecode.ez-vcard:ez-vcard:0.11.3	javax.xml.transform.ErrorListener	public	javax.xml.transform	1
javax.xml.xpath.SecuritySupport$8	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
ezvcard.io.text.VCardReader$VObjectDataListenerImpl	com.googlecode.ez-vcard:ez-vcard:0.11.3	com.github.mangstadt.vinnie.io.VObjectDataListener	public	com.github.mangstadt:vinnie:2.0.2	1
com.fasterxml.jackson.databind.AnnotationIntrospector	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
com.fasterxml.jackson.databind.node.TreeTraversingParser	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.base.ParserMinimalBase	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
ezvcard.io.json.JCardPrettyPrinter	com.googlecode.ez-vcard:ez-vcard:0.11.3	com.fasterxml.jackson.core.util.DefaultPrettyPrinter	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
javax.xml.xpath.SecuritySupport$2	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.MappingJsonFactory	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.JsonFactory	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
javax.xml.xpath.SecuritySupport$1	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator	public	com.fasterxml.jackson.core:jackson-annotations:2.12.5	1
ezvcard.io.json.JCardSerializer	com.googlecode.ez-vcard:ez-vcard:0.11.3	com.fasterxml.jackson.databind.ser.std.StdSerializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.5	1
org.apache.xml.dtm.SecuritySupport$1	org.apache.xml.dtm	java.security.PrivilegedAction	public	java.security	1
ezvcard.io.json.JCardDeserializer	com.googlecode.ez-vcard:ez-vcard:0.11.3	com.fasterxml.jackson.databind.JsonDeserializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.5	1
org.apache.xml.dtm.SecuritySupport$2	org.apache.xml.dtm	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.JsonMappingException	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.JsonProcessingException	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
com.fasterxml.jackson.databind.ser.impl.PropertyBasedObjectIdGenerator	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator	public	com.fasterxml.jackson.core:jackson-annotations:2.12.5	1
org.apache.xml.dtm.DTMDOMException	org.apache.xml.dtm	org.w3c.dom.DOMException	public	org.w3c.dom	1
javax.xml.parsers.FactoryFinder$1	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
javax.xml.parsers.SecuritySupport$1	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
javax.xml.parsers.SecuritySupport$2	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
javax.xml.xpath.XPathFactoryFinder$2	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
ezvcard.io.json.JCardSerializer	com.googlecode.ez-vcard:ez-vcard:0.11.3	com.fasterxml.jackson.databind.ser.ContextualSerializer	public	com.fasterxml.jackson.core:jackson-databind:2.12.5	1
javax.xml.xpath.XPathFactoryFinder$1	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.JsonNode	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.TreeNode	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
javax.xml.parsers.SecuritySupport$5	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
com.fasterxml.jackson.databind.util.TokenBuffer	com.fasterxml.jackson.core:jackson-databind:2.12.5	com.fasterxml.jackson.core.JsonGenerator	public	com.fasterxml.jackson.core:jackson-core:2.12.5	1
freemarker.template.utility.SecurityUtilities$2	org.freemarker:freemarker:2.3.31	java.security.PrivilegedAction	public	java.security	1
javax.xml.transform.SecuritySupport$5	javax.xml.transform	java.security.PrivilegedAction	public	java.security	1
javax.xml.transform.SecuritySupport$2	javax.xml.transform	java.security.PrivilegedAction	public	java.security	1
javax.xml.transform.FactoryFinder$1	javax.xml.transform	java.security.PrivilegedAction	public	java.security	1
