Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.apache.lucene:lucene-queryparser:8.5.2	org.apache.lucene.search.BooleanClause$Occur::MUST	org.apache.lucene.search.BooleanClause$Occur	org.apache.lucene.search.BooleanClause$Occur	org.apache.lucene.search.BooleanClause$Occur	true	public	org.apache.lucene:lucene-core:8.5.2	false	1
com.h2database:h2:2.0.201-SNAPSHOT	org.locationtech.jts.geom.impl.PackedCoordinateSequenceFactory::DOUBLE_FACTORY	org.locationtech.jts.geom.impl.PackedCoordinateSequenceFactory	org.locationtech.jts.geom.impl.PackedCoordinateSequenceFactory	org.locationtech.jts.geom.impl.PackedCoordinateSequenceFactory	true	public	org.locationtech.jts:jts-core:1.17.0	false	1
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.document.DateTools$Resolution::SECOND	org.apache.lucene.document.DateTools$Resolution	org.apache.lucene.document.DateTools$Resolution	org.apache.lucene.document.DateTools$Resolution	true	public	org.apache.lucene:lucene-core:8.5.2	false	1
javax.annotation.processing	javax.tools.Diagnostic$Kind::WARNING	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	true	public	javax.tools	false	2
com.sun:tools:1.8	javax.tools.StandardLocation::ANNOTATION_PROCESSOR_PATH	javax.tools.StandardLocation	javax.tools.StandardLocation	javax.tools.StandardLocation	true	public	javax.tools	false	5
com.sun:tools:1.8	javax.tools.JavaFileObject$Kind::SOURCE	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	true	public	javax.tools	false	15
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.search.ScoreDoc::doc	org.apache.lucene.search.ScoreDoc	org.apache.lucene.search.ScoreDoc	int	false	public	org.apache.lucene:lucene-core:8.5.2	false	150
com.sun:tools:1.8	javax.tools.Diagnostic$Kind::ERROR	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	true	public	javax.tools	false	3
com.sun:tools:1.8	javax.tools.JavaFileObject$Kind::extension	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	java.lang.String	false	public	javax.tools	false	97625
com.sun:tools:1.8	javax.tools.JavaFileObject$Kind::OTHER	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	true	public	javax.tools	false	3
org.apache.lucene:lucene-queryparser:8.5.2	org.apache.lucene.search.BooleanClause$Occur::MUST_NOT	org.apache.lucene.search.BooleanClause$Occur	org.apache.lucene.search.BooleanClause$Occur	org.apache.lucene.search.BooleanClause$Occur	true	public	org.apache.lucene:lucene-core:8.5.2	false	1
com.sun:tools:1.8	javax.tools.JavaFileObject$Kind::CLASS	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	true	public	javax.tools	false	14
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.document.TextField::TYPE_NOT_STORED	org.apache.lucene.document.TextField	org.apache.lucene.document.TextField	org.apache.lucene.document.FieldType	true	public	org.apache.lucene:lucene-core:8.5.2	false	2
com.sun:tools:1.8	javax.tools.StandardLocation::CLASS_PATH	javax.tools.StandardLocation	javax.tools.StandardLocation	javax.tools.StandardLocation	true	public	javax.tools	false	10
com.sun:tools:1.8	javax.tools.Diagnostic$Kind::NOTE	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	true	public	javax.tools	false	2
org.apache.lucene:lucene-sandbox:8.5.2	org.apache.lucene.index.IndexOptions::DOCS_AND_FREQS_AND_POSITIONS	org.apache.lucene.index.IndexOptions	org.apache.lucene.index.IndexOptions	org.apache.lucene.index.IndexOptions	true	public	org.apache.lucene:lucene-core:8.5.2	false	1
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.search.ScoreDoc::score	org.apache.lucene.search.ScoreDoc	org.apache.lucene.search.ScoreDoc	float	false	public	org.apache.lucene:lucene-core:8.5.2	false	150
com.sun:tools:1.8	javax.tools.StandardLocation::SOURCE_OUTPUT	javax.tools.StandardLocation	javax.tools.StandardLocation	javax.tools.StandardLocation	true	public	javax.tools	false	4
com.sun:tools:1.8	javax.tools.JavaFileObject$Kind::HTML	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	true	public	javax.tools	false	2
com.sun:tools:1.8	javax.tools.StandardLocation::SOURCE_PATH	javax.tools.StandardLocation	javax.tools.StandardLocation	javax.tools.StandardLocation	true	public	javax.tools	false	6
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.search.TotalHits::value	org.apache.lucene.search.TotalHits	org.apache.lucene.search.TotalHits	long	false	public	org.apache.lucene:lucene-core:8.5.2	false	92
com.sun:tools:1.8	javax.tools.StandardLocation::PLATFORM_CLASS_PATH	javax.tools.StandardLocation	javax.tools.StandardLocation	javax.tools.StandardLocation	true	public	javax.tools	false	7
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.search.TopDocs::scoreDocs	org.apache.lucene.search.TopDocs	org.apache.lucene.search.TopDocs	org.apache.lucene.search.ScoreDoc[]	false	public	org.apache.lucene:lucene-core:8.5.2	false	240
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.search.TopDocs::totalHits	org.apache.lucene.search.TopDocs	org.apache.lucene.search.TopDocs	org.apache.lucene.search.TotalHits	false	public	org.apache.lucene:lucene-core:8.5.2	false	92
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.document.TextField::TYPE_STORED	org.apache.lucene.document.TextField	org.apache.lucene.document.TextField	org.apache.lucene.document.FieldType	true	public	org.apache.lucene:lucene-core:8.5.2	false	3
com.sun:tools:1.8	javax.tools.Diagnostic$Kind::WARNING	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	true	public	javax.tools	false	2
com.sun:tools:1.8	javax.tools.Diagnostic$Kind::OTHER	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	true	public	javax.tools	false	1
com.h2database:h2:2.0.201-SNAPSHOT	javax.tools.JavaFileObject$Kind::extension	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	java.lang.String	false	public	javax.tools	false	96
org.apache.lucene:lucene-queryparser:8.5.2	org.apache.lucene.search.MultiTermQuery::CONSTANT_SCORE_REWRITE	org.apache.lucene.search.MultiTermQuery	org.apache.lucene.search.MultiTermQuery	org.apache.lucene.search.MultiTermQuery$RewriteMethod	true	public	org.apache.lucene:lucene-core:8.5.2	false	1
org.apache.lucene:lucene-queryparser:8.5.2	org.apache.lucene.search.BooleanClause$Occur::SHOULD	org.apache.lucene.search.BooleanClause$Occur	org.apache.lucene.search.BooleanClause$Occur	org.apache.lucene.search.BooleanClause$Occur	true	public	org.apache.lucene:lucene-core:8.5.2	false	3
com.sun:tools:1.8	javax.tools.StandardLocation::NATIVE_HEADER_OUTPUT	javax.tools.StandardLocation	javax.tools.StandardLocation	javax.tools.StandardLocation	true	public	javax.tools	false	3
com.h2database:h2:2.0.201-SNAPSHOT	org.apache.lucene.index.IndexWriterConfig$OpenMode::CREATE_OR_APPEND	org.apache.lucene.index.IndexWriterConfig$OpenMode	org.apache.lucene.index.IndexWriterConfig$OpenMode	org.apache.lucene.index.IndexWriterConfig$OpenMode	true	public	org.apache.lucene:lucene-core:8.5.2	false	1
com.sun:tools:1.8	javax.tools.StandardLocation::CLASS_OUTPUT	javax.tools.StandardLocation	javax.tools.StandardLocation	javax.tools.StandardLocation	true	public	javax.tools	false	7
com.h2database:h2:2.0.201-SNAPSHOT	javax.tools.JavaFileObject$Kind::SOURCE	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	javax.tools.JavaFileObject$Kind	true	public	javax.tools	false	2
com.sun:tools:1.8	javax.tools.Diagnostic$Kind::MANDATORY_WARNING	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	javax.tools.Diagnostic$Kind	true	public	javax.tools	false	1
com.h2database:h2:2.0.201-SNAPSHOT	java.sql.RowIdLifetime::ROWID_UNSUPPORTED	java.sql.RowIdLifetime	java.sql.RowIdLifetime	java.sql.RowIdLifetime	true	public	java.sql	false	1
