Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.h2.util.geometry.JTSUtils$GeometryTarget::createCoordinates(I)Lorg/locationtech/jts/geom/CoordinateSequence;	com.h2database:h2:2.0.201-SNAPSHOT	public	org.locationtech.jts.geom.CoordinateSequenceFactory::create(III)Lorg/locationtech/jts/geom/CoordinateSequence;	org.locationtech.jts:jts-core:1.17.0	org.locationtech.jts.geom.impl.PackedCoordinateSequenceFactory::create(III)Lorg/locationtech/jts/geom/CoordinateSequence;	org.locationtech.jts:jts-core:1.17.0	5	false	false	
org.h2.util.MathUtils::getSecureRandom()Ljava/security/SecureRandom;	com.h2database:h2:2.0.201-SNAPSHOT	public	java.security.SecureRandom::getInstance(Ljava/lang/String;)Ljava/security/SecureRandom;	java.security	java.security.SecureRandom::getInstance(Ljava/lang/String;)Ljava/security/SecureRandom;	java.security	1	false	false	
com.sun.tools.javac.api.ClientCodeWrapper$WrappedFileObject::getCharContent(Z)Ljava/lang/CharSequence;	com.sun:tools:1.8	public	javax.tools.FileObject::getCharContent(Z)Ljava/lang/CharSequence;	javax.tools	org.h2.util.SourceCompiler$StringJavaFileObject::getCharContent(Z)Ljava/lang/CharSequence;	com.h2database:h2:2.0.201-SNAPSHOT	42	false	false	
com.sun.tools.javac.api.ClientCodeWrapper$WrappedJavaFileManager::flush()V	com.sun:tools:1.8	public	javax.tools.JavaFileManager::flush()V	javax.tools	org.h2.util.SourceCompiler$ClassFileManager::flush()V	com.h2database:h2:2.0.201-SNAPSHOT	84	false	false	
org.h2.util.geometry.JTSUtils::parseGeometry(Lorg/locationtech/jts/geom/Geometry;Lorg/h2/util/geometry/GeometryUtils$Target;I)V	com.h2database:h2:2.0.201-SNAPSHOT	public	org.locationtech.jts.geom.Polygon::getExteriorRing()Lorg/locationtech/jts/geom/LinearRing;	org.locationtech.jts:jts-core:1.17.0	org.locationtech.jts.geom.Polygon::getExteriorRing()Lorg/locationtech/jts/geom/LinearRing;	org.locationtech.jts:jts-core:1.17.0	18	false	false	
org.h2.util.SourceCompiler::javaxToolsJavac(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/Class;	com.h2database:h2:2.0.201-SNAPSHOT	public	javax.tools.JavaCompiler::getTask(Ljava/io/Writer;Ljavax/tools/JavaFileManager;Ljavax/tools/DiagnosticListener;Ljava/lang/Iterable;Ljava/lang/Iterable;Ljava/lang/Iterable;)Ljavax/tools/JavaCompiler$CompilationTask;	javax.tools	com.sun.tools.javac.api.JavacTool::getTask(Ljava/io/Writer;Ljavax/tools/JavaFileManager;Ljavax/tools/DiagnosticListener;Ljava/lang/Iterable;Ljava/lang/Iterable;Ljava/lang/Iterable;)Ljavax/tools/JavaCompiler$CompilationTask;	com.sun:tools:1.8	42	false	false	
org.h2.fulltext.FullTextLucene::search(Ljava/sql/Connection;Ljava/lang/String;IIZ)Ljava/sql/ResultSet;	com.h2database:h2:2.0.201-SNAPSHOT	public	org.apache.lucene.document.Document::get(Ljava/lang/String;)Ljava/lang/String;	org.apache.lucene:lucene-core:8.5.2	org.apache.lucene.document.Document::get(Ljava/lang/String;)Ljava/lang/String;	org.apache.lucene:lucene-core:8.5.2	150	false	false	
org.h2.fulltext.FullTextLucene::search(Ljava/sql/Connection;Ljava/lang/String;IIZ)Ljava/sql/ResultSet;	com.h2database:h2:2.0.201-SNAPSHOT	public	org.apache.lucene.index.IndexWriter::getAnalyzer()Lorg/apache/lucene/analysis/Analyzer;	org.apache.lucene:lucene-core:8.5.2	org.apache.lucene.index.IndexWriter::getAnalyzer()Lorg/apache/lucene/analysis/Analyzer;	org.apache.lucene:lucene-core:8.5.2	92	false	false	
com.sun.tools.javac.api.ClientCodeWrapper$WrappedJavaFileManager::getJavaFileForOutput(Ljavax/tools/JavaFileManager$Location;Ljava/lang/String;Ljavax/tools/JavaFileObject$Kind;Ljavax/tools/FileObject;)Ljavax/tools/JavaFileObject;	com.sun:tools:1.8	public	javax.tools.JavaFileManager::getJavaFileForOutput(Ljavax/tools/JavaFileManager$Location;Ljava/lang/String;Ljavax/tools/JavaFileObject$Kind;Ljavax/tools/FileObject;)Ljavax/tools/JavaFileObject;	javax.tools	org.h2.util.SourceCompiler$ClassFileManager::getJavaFileForOutput(Ljavax/tools/JavaFileManager$Location;Ljava/lang/String;Ljavax/tools/JavaFileObject$Kind;Ljavax/tools/FileObject;)Ljavax/tools/JavaFileObject;	com.h2database:h2:2.0.201-SNAPSHOT	54	false	false	
org.h2.util.geometry.JTSUtils::parseGeometry(Lorg/locationtech/jts/geom/Geometry;Lorg/h2/util/geometry/GeometryUtils$Target;I)V	com.h2database:h2:2.0.201-SNAPSHOT	public	org.locationtech.jts.geom.GeometryCollection::getNumGeometries()I	org.locationtech.jts:jts-core:1.17.0	org.locationtech.jts.geom.MultiPolygon::getNumGeometries()I	org.locationtech.jts:jts-core:1.17.0	10	false	false	
