Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
com.ibm.common.activitystreams.internal.LinkValueAdapter::deserialize(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Lcom/ibm/common/activitystreams/LinkValue;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.gson.JsonArray::iterator()Ljava/util/Iterator;	com.google.code.gson:gson:2.2.4	com.google.gson.JsonArray::iterator()Ljava/util/Iterator;	com.google.code.gson:gson:2.2.4	1	false	false	
com.ibm.common.activitystreams.internal.Schema$Builder::map(Ljava/lang/String;Lcom/ibm/common/activitystreams/internal/Model;)Lcom/ibm/common/activitystreams/internal/Schema$Builder;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.collect.BiMap::put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	com.google.common.collect.HashBiMap::put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	127	false	false	
com.ibm.common.activitystreams.internal.ASObjectAdapter::deserialize(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Lcom/ibm/common/activitystreams/ASObject;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.gson.JsonElement::isJsonPrimitive()Z	com.google.code.gson:gson:2.2.4	com.google.gson.JsonPrimitive::isJsonPrimitive()Z	com.google.code.gson:gson:2.2.4	15	false	false	
com.ibm.common.activitystreams.ASObject::getDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.base.Optional::absent()Lcom/google/common/base/Optional;	com.google.guava:guava:16.0.1	com.google.common.base.Optional::absent()Lcom/google/common/base/Optional;	com.google.guava:guava:16.0.1	8	false	false	
com.ibm.common.activitystreams.util.Converters$4::apply(Ljava/lang/Object;)Lcom/google/common/base/Optional;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.base.Optional::of(Ljava/lang/Object;)Lcom/google/common/base/Optional;	com.google.guava:guava:16.0.1	com.google.common.base.Optional::of(Ljava/lang/Object;)Lcom/google/common/base/Optional;	com.google.guava:guava:16.0.1	8	false	false	
com.ibm.common.activitystreams.ASObject::getString(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.base.Optional::orNull()Ljava/lang/Object;	com.google.guava:guava:16.0.1	com.google.common.base.Absent::orNull()Ljava/lang/Object;	com.google.guava:guava:16.0.1	4	false	false	
com.ibm.common.activitystreams.internal.Schema$Builder::map(Ljava/lang/String;Lcom/ibm/common/activitystreams/internal/Model;)Lcom/ibm/common/activitystreams/internal/Schema$Builder;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.base.Preconditions::checkNotNull(Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	com.google.common.base.Preconditions::checkNotNull(Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	127	false	false	
com.ibm.common.activitystreams.internal.Schema::builderFor(Ljava/lang/String;)Ljava/lang/Class;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.collect.ImmutableMap::get(Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	com.google.common.collect.RegularImmutableMap::get(Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	1	false	false	
com.ibm.common.activitystreams.ASObject::get(Ljava/lang/String;)Ljava/lang/Object;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.base.Optional::orNull()Ljava/lang/Object;	com.google.guava:guava:16.0.1	com.google.common.base.Present::orNull()Ljava/lang/Object;	com.google.guava:guava:16.0.1	16	false	false	
com.ibm.common.activitystreams.ASObject::get(Ljava/lang/String;Lcom/google/common/base/Function;Ljava/lang/Object;)Ljava/lang/Object;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.base.Optional::or(Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	com.google.common.base.Present::or(Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	8	false	false	
com.google.common.base.Present::transform(Lcom/google/common/base/Function;)Lcom/google/common/base/Optional;	com.google.guava:guava:16.0.1	public	com.google.common.base.Function::apply(Ljava/lang/Object;)Ljava/lang/Object;	com.google.guava:guava:16.0.1	com.ibm.common.activitystreams.util.Converters$4::apply(Ljava/lang/Object;)Ljava/lang/Object;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	8	false	false	
com.ibm.common.activitystreams.internal.LinkValueAdapter::deserialize(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Lcom/ibm/common/activitystreams/LinkValue;	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.gson.JsonElement::getAsJsonPrimitive()Lcom/google/gson/JsonPrimitive;	com.google.code.gson:gson:2.2.4	com.google.gson.JsonPrimitive::getAsJsonPrimitive()Lcom/google/gson/JsonPrimitive;	com.google.code.gson:gson:2.2.4	3	false	false	
com.ibm.common.activitystreams.internal.Schema$Builder::Schema$Builder()V	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.collect.Sets::newHashSet()Ljava/util/HashSet;	com.google.guava:guava:16.0.1	com.google.common.collect.Sets::newHashSet()Ljava/util/HashSet;	com.google.guava:guava:16.0.1	42	false	false	
com.ibm.common.activitystreams.ASObject$AbstractSerializedForm::ASObject$AbstractSerializedForm(Lcom/ibm/common/activitystreams/ASObject;)V	com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	public	com.google.common.collect.ImmutableMap::copyOf(Ljava/util/Map;)Lcom/google/common/collect/ImmutableMap;	com.google.guava:guava:16.0.1	com.google.common.collect.ImmutableMap::copyOf(Ljava/util/Map;)Lcom/google/common/collect/ImmutableMap;	com.google.guava:guava:16.0.1	1	false	false	
