Library Name	No. of Public/Protected Methods	No. of Public/Protected Classes	No. of Public/Protected Fields	No. of Public/Protected Annotations	No. of Methods Called By Tests	Methods	Classes	Fields	Annotations
unknownLib	0	0	0	0	0	 
com.google.code.gson:gson:2.2.4	541	50	67	4	0		com.google.gson.internal.bind.TimeTypeAdapter$1:com.google.gson.reflect.TypeToken:com.google.gson.internal.bind.TypeAdapters$23:com.google.gson.internal.LinkedTreeMap$KeySet:com.google.gson.internal.bind.TypeAdapters$24:com.google.gson.internal.bind.TypeAdapters$25:com.google.gson.TreeTypeAdapter$SingleTypeFactory:com.google.gson.internal.bind.TypeAdapters$26:com.google.gson.internal.bind.TypeAdapters$20:com.google.gson.internal.bind.JsonTreeWriter:com.google.gson.internal.bind.TypeAdapters$21:com.google.gson.TypeAdapter:com.google.gson.GsonBuilder:com.google.gson.internal.bind.TypeAdapters$22:com.google.gson.JsonDeserializationContext:com.google.gson.internal.bind.TypeAdapters$27:com.google.gson.internal.bind.TypeAdapters$28:com.google.gson.FieldNamingStrategy:com.google.gson.internal.bind.TypeAdapters$29:com.google.gson.internal.bind.SqlDateTypeAdapter:com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper:com.google.gson.internal.bind.TimeTypeAdapter:com.google.gson.ExclusionStrategy:com.google.gson.stream.JsonScope:com.google.gson.internal.bind.TypeAdapters$30:com.google.gson.internal.bind.TypeAdapters$31:com.google.gson.internal.bind.TypeAdapters$32:com.google.gson.JsonArray:com.google.gson.LongSerializationPolicy:com.google.gson.internal.Excluder:com.google.gson.internal.LinkedTreeMap$EntrySet$1:com.google.gson.annotations.Until:com.google.gson.TypeAdapterFactory:com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter:com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl:com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter:com.google.gson.stream.JsonReader$1:com.google.gson.internal.$Gson$Types:com.google.gson.internal.Streams$1:com.google.gson.JsonParser:com.google.gson.FieldAttributes:com.google.gson.stream.JsonReader:com.google.gson.InstanceCreator:com.google.gson.internal.bind.MapTypeAdapterFactory:com.google.gson.Gson$FutureTypeAdapter:com.google.gson.internal.LinkedTreeMap$Node:com.google.gson.stream.JsonWriter:com.google.gson.internal.bind.ArrayTypeAdapter$1:com.google.gson.internal.Streams:com.google.gson.internal.$Gson$Preconditions:com.google.gson.internal.bind.TypeAdapters$12:com.google.gson.internal.bind.TypeAdapters$13:com.google.gson.internal.bind.TypeAdapters$14:com.google.gson.internal.bind.TypeAdapters$15:com.google.gson.internal.bind.TypeAdapters$10:com.google.gson.internal.Primitives:com.google.gson.internal.bind.TypeAdapters$11:com.google.gson.internal.ConstructorConstructor$5:com.google.gson.stream.MalformedJsonException:com.google.gson.internal.ConstructorConstructor$4:com.google.gson.internal.bind.ArrayTypeAdapter:com.google.gson.internal.ConstructorConstructor$3:com.google.gson.stream.JsonToken:com.google.gson.internal.ConstructorConstructor$2:com.google.gson.internal.bind.TypeAdapters$16:com.google.gson.internal.ConstructorConstructor$1:com.google.gson.internal.ObjectConstructor:com.google.gson.internal.bind.TypeAdapters$17:com.google.gson.internal.bind.TypeAdapters$18:com.google.gson.internal.Streams$AppendableWriter$CurrentWrite:com.google.gson.JsonNull:com.google.gson.internal.bind.TypeAdapters$19:com.google.gson.internal.bind.DateTypeAdapter$1:com.google.gson.internal.ConstructorConstructor$9:com.google.gson.JsonStreamParser:com.google.gson.internal.ConstructorConstructor$8:com.google.gson.TreeTypeAdapter:com.google.gson.LongSerializationPolicy$1:com.google.gson.internal.ConstructorConstructor$7:com.google.gson.internal.ConstructorConstructor$6:com.google.gson.LongSerializationPolicy$2:com.google.gson.JsonObject:com.google.gson.internal.bind.JsonTreeReader$1:com.google.gson.TypeAdapter$1:com.google.gson.internal.UnsafeAllocator$3:com.google.gson.internal.UnsafeAllocator$4:com.google.gson.internal.UnsafeAllocator$1:com.google.gson.internal.UnsafeAllocator$2:com.google.gson.Gson$2:com.google.gson.internal.bind.ObjectTypeAdapter:com.google.gson.Gson$3:com.google.gson.Gson$4:com.google.gson.JsonSerializer:com.google.gson.Gson$5:com.google.gson.internal.bind.DateTypeAdapter:com.google.gson.internal.bind.CollectionTypeAdapterFactory$Adapter:com.google.gson.Gson$1:com.google.gson.internal.bind.TypeAdapters$22$1:com.google.gson.Gson:com.google.gson.internal.LinkedTreeMap$1:com.google.gson.internal.LinkedTreeMap$KeySet$1:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$BoundField:com.google.gson.internal.LinkedTreeMap$EntrySet:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:com.google.gson.annotations.Expose:com.google.gson.internal.$Gson$Types$WildcardTypeImpl:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1:com.google.gson.annotations.SerializedName:com.google.gson.internal.Excluder$1:com.google.gson.internal.bind.TypeAdapters$2:com.google.gson.internal.bind.JsonTreeReader:com.google.gson.internal.bind.JsonTreeWriter$1:com.google.gson.internal.bind.TypeAdapters$1:com.google.gson.internal.bind.SqlDateTypeAdapter$1:com.google.gson.internal.bind.TypeAdapters$8:com.google.gson.JsonIOException:com.google.gson.internal.bind.TypeAdapters$7:com.google.gson.internal.bind.TypeAdapters:com.google.gson.internal.bind.TypeAdapters$9:com.google.gson.internal.bind.TypeAdapters$4:com.google.gson.internal.LinkedTreeMap:com.google.gson.internal.bind.TypeAdapters$3:com.google.gson.internal.bind.ObjectTypeAdapter$2:com.google.gson.internal.bind.TypeAdapters$6:com.google.gson.internal.LazilyParsedNumber:com.google.gson.internal.bind.TypeAdapters$5:com.google.gson.internal.bind.ObjectTypeAdapter$1:com.google.gson.JsonParseException:com.google.gson.internal.ConstructorConstructor:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter:com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator:com.google.gson.TreeTypeAdapter$1:com.google.gson.JsonElement:com.google.gson.internal.bind.CollectionTypeAdapterFactory:com.google.gson.FieldNamingPolicy:com.google.gson.DefaultDateTypeAdapter:com.google.gson.JsonSerializationContext:com.google.gson.internal.UnsafeAllocator:com.google.gson.JsonPrimitive:com.google.gson.internal.Streams$AppendableWriter:com.google.gson.JsonSyntaxException:com.google.gson.FieldNamingPolicy$4:com.google.gson.FieldNamingPolicy$3:com.google.gson.annotations.Since:com.google.gson.FieldNamingPolicy$5:com.google.gson.internal.JsonReaderInternalAccess:com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl:com.google.gson.JsonDeserializer:com.google.gson.internal.ConstructorConstructor$10:com.google.gson.internal.ConstructorConstructor$11:com.google.gson.FieldNamingPolicy$2:com.google.gson.internal.ConstructorConstructor$12:com.google.gson.FieldNamingPolicy$1
com.ibm.common:activitystreams-core:0.0.1-SNAPSHOT	753	51	44	0	0		com.ibm.common.activitystreams.Activity$Status:com.ibm.common.activitystreams.TypeValue$SimpleTypeValue$SerializedForm:com.ibm.common.activitystreams.LinkValue:com.ibm.common.activitystreams.util.AbstractDictionaryObject$AbstractBuilder:com.ibm.common.activitystreams.ValueType:com.ibm.common.activitystreams.internal.SimpleAdapter:com.ibm.common.activitystreams.internal.TypeValueAdapter:com.ibm.common.activitystreams.NLV$MapNLV:com.ibm.common.activitystreams.LinkValue$ArrayLinkValue:com.ibm.common.activitystreams.util.Converters$2:com.ibm.common.activitystreams.util.Converters$1:com.ibm.common.activitystreams.util.Converters$6:com.ibm.common.activitystreams.Collection$AbstractBuilder:com.ibm.common.activitystreams.util.Converters$5:com.ibm.common.activitystreams.util.Converters$4:com.ibm.common.activitystreams.NLV$SimpleNLV:com.ibm.common.activitystreams.internal.Adapters$11:com.ibm.common.activitystreams.util.Converters$3:com.ibm.common.activitystreams.internal.Adapters$10:com.ibm.common.activitystreams.Activity:com.ibm.common.activitystreams.util.Converters$9:com.ibm.common.activitystreams.util.Converters$8:com.ibm.common.activitystreams.util.Converters$7:com.ibm.common.activitystreams.internal.NaturalLanguageValueAdapter$1:com.ibm.common.activitystreams.Collection$Builder:com.ibm.common.activitystreams.Makers:com.ibm.common.activitystreams.ActionsValue$1:com.ibm.common.activitystreams.NLV$SimpleNLV$Builder:com.ibm.common.activitystreams.TypeValue:com.ibm.common.activitystreams.internal.Adapter:com.ibm.common.activitystreams.ActionsValue$Builder:com.ibm.common.activitystreams.LinkValue$ArrayLinkValue$SerializedForm:com.ibm.common.activitystreams.ActionsValue$SerializedForm:com.ibm.common.activitystreams.ASObject$Builder:com.ibm.common.activitystreams.internal.MultimapAdapter:com.ibm.common.activitystreams.ActionsValue:com.ibm.common.activitystreams.util.AbstractDictionaryObjectAdapter:com.ibm.common.activitystreams.internal.Adapters:com.ibm.common.activitystreams.NLV$MapNLV$SerializedForm:com.ibm.common.activitystreams.NLV:com.ibm.common.activitystreams.Collection:com.ibm.common.activitystreams.Activity$SerializedForm:com.ibm.common.activitystreams.Activity$Audience:com.ibm.common.activitystreams.internal.LinkValueAdapter$1:com.ibm.common.activitystreams.LinkValue$SimpleLinkValue:com.ibm.common.activitystreams.Writable:com.ibm.common.activitystreams.internal.GsonWrapper$Builder:com.ibm.common.activitystreams.internal.EnumAdapter:com.ibm.common.activitystreams.internal.Model:com.ibm.common.activitystreams.Activity$Builder:com.ibm.common.activitystreams.ASObject$AbstractBuilder:com.ibm.common.activitystreams.ASObject$SerializedForm:com.ibm.common.activitystreams.IO$1:com.ibm.common.activitystreams.IO$3:com.ibm.common.activitystreams.IO$2:com.ibm.common.activitystreams.IO$5:com.ibm.common.activitystreams.IO$4:com.ibm.common.activitystreams.LinkValue$ArrayLinkValue$Builder:com.ibm.common.activitystreams.IO$6:com.ibm.common.activitystreams.internal.GsonWrapper:com.ibm.common.activitystreams.util.Util:com.ibm.common.activitystreams.ASObject$2:com.ibm.common.activitystreams.internal.Schema:com.ibm.common.activitystreams.ASObject$1:com.ibm.common.activitystreams.Collection$Page:com.ibm.common.activitystreams.IO$Builder:com.ibm.common.activitystreams.ASObject$AbstractSerializedForm:com.ibm.common.activitystreams.TypeValue$SimpleTypeValue:com.ibm.common.activitystreams.internal.ASObjectAdapter$1:com.ibm.common.activitystreams.internal.Schema$Builder:com.ibm.common.activitystreams.util.Converters$13:com.ibm.common.activitystreams.util.Converters$12:com.ibm.common.activitystreams.ASObject$SerializableMediaType:com.ibm.common.activitystreams.util.Converters$11:com.ibm.common.activitystreams.util.Converters$10:com.ibm.common.activitystreams.util.AbstractWritable$AbstractWritableBuilder:com.ibm.common.activitystreams.IO:com.ibm.common.activitystreams.ASObject:com.ibm.common.activitystreams.Activity$AbstractBuilder:com.ibm.common.activitystreams.util.AbstractWritable:com.ibm.common.activitystreams.internal.ASObjectAdapter:com.ibm.common.activitystreams.internal.LazilyParsedNumberComparable:com.ibm.common.activitystreams.internal.Adapters$1:com.ibm.common.activitystreams.internal.Adapters$2:com.ibm.common.activitystreams.internal.Model$Builder:com.ibm.common.activitystreams.internal.Adapters$3:com.ibm.common.activitystreams.internal.NaturalLanguageValueAdapter:com.ibm.common.activitystreams.internal.Adapters$4:com.ibm.common.activitystreams.NLV$MapNLV$Builder:com.ibm.common.activitystreams.Collection$SerializedForm:com.ibm.common.activitystreams.util.Converters:com.ibm.common.activitystreams.LinkValue$SimpleLinkValue$SerializedForm:com.ibm.common.activitystreams.internal.GsonWrapper$AdapterEntry:com.ibm.common.activitystreams.util.AbstractDictionaryObject:com.ibm.common.activitystreams.NLV$SimpleNLV$SerializedForm:com.ibm.common.activitystreams.internal.Adapters$5:com.ibm.common.activitystreams.internal.Adapters$6:com.ibm.common.activitystreams.internal.Adapters$7:com.ibm.common.activitystreams.LinkValue$SimpleLinkValue$Builder:com.ibm.common.activitystreams.internal.Adapters$8:com.ibm.common.activitystreams.internal.Adapters$9:com.ibm.common.activitystreams.util.Module:com.ibm.common.activitystreams.internal.LinkValueAdapter:com.ibm.common.activitystreams.TypeValue$SimpleTypeValue$Builder
joda-time:joda-time:2.3	3295	144	199	0	0		org.joda.time.DateTimeZone:org.joda.time.tz.DateTimeZoneBuilder$RuleSet:org.joda.time.tz.DateTimeZoneBuilder$Transition:org.joda.time.field.AbstractPartialFieldProperty:org.joda.time.field.StrictDateTimeField:org.joda.time.convert.ConverterSet$Entry:org.joda.time.DateTimeFieldType$StandardDateTimeFieldType:org.joda.time.chrono.BasicChronology$HalfdayField:org.joda.time.format.DateTimeFormatterBuilder$TwoDigitYear:org.joda.time.chrono.BasicChronology$YearInfo:org.joda.time.LocalDate$Property:org.joda.time.field.UnsupportedDurationField:org.joda.time.DateMidnight$Property:org.joda.time.format.PeriodFormatterBuilder$CompositeAffix:org.joda.time.DateTimeComparator:org.joda.time.ReadWritableInterval:org.joda.time.format.PeriodFormatterBuilder:org.joda.time.format.DateTimePrinter:org.joda.time.base.BaseLocal:org.joda.time.chrono.ISOChronology:org.joda.time.chrono.LenientChronology:org.joda.time.format.PeriodFormatterBuilder$FieldFormatter:org.joda.time.tz.ZoneInfoCompiler$Rule:org.joda.time.field.DividedDateTimeField:org.joda.time.convert.DateConverter:org.joda.time.chrono.ZonedChronology:org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset:org.joda.time.field.BaseDateTimeField:org.joda.time.field.ZeroIsMaxDateTimeField:org.joda.time.base.BaseInterval:org.joda.time.Duration:org.joda.time.format.FormatUtils:org.joda.time.format.PeriodFormatter:org.joda.time.Interval:org.joda.time.convert.LongConverter:org.joda.time.base.AbstractInstant:org.joda.time.tz.DateTimeZoneBuilder:org.joda.time.format.DateTimeParserBucket:org.joda.time.ReadWritablePeriod:org.joda.time.convert.ConverterSet:org.joda.time.tz.ZoneInfoCompiler$1:org.joda.time.LocalDateTime:org.joda.time.base.BasePeriod$1:org.joda.time.tz.FixedDateTimeZone:org.joda.time.convert.IntervalConverter:org.joda.time.format.PeriodPrinter:org.joda.time.field.PreciseDateTimeField:org.joda.time.chrono.LimitChronology$LimitException:org.joda.time.chrono.GJLocaleSymbols:org.joda.time.convert.ReadableDurationConverter:org.joda.time.base.BaseDuration:org.joda.time.field.DecoratedDateTimeField:org.joda.time.Months:org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId:org.joda.time.YearMonthDay:org.joda.time.format.DateTimeParser:org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:org.joda.time.YearMonth:org.joda.time.chrono.GJChronology$CutoverField:org.joda.time.LocalTime$Property:org.joda.time.convert.ReadablePeriodConverter:org.joda.time.DateTime$Property:org.joda.time.field.OffsetDateTimeField:org.joda.time.Years:org.joda.time.convert.ReadableIntervalConverter:org.joda.time.DateTimeField:org.joda.time.field.FieldUtils:org.joda.time.format.ISODateTimeFormat:org.joda.time.Partial:org.joda.time.field.SkipDateTimeField:org.joda.time.base.AbstractPeriod:org.joda.time.chrono.GJDayOfWeekDateTimeField:org.joda.time.DateTimeUtils$SystemMillisProvider:org.joda.time.IllegalFieldValueException:org.joda.time.IllegalInstantException:org.joda.time.format.DateTimeFormatterBuilder$Composite:org.joda.time.format.DateTimeFormatterBuilder$UnpaddedNumber:org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField:org.joda.time.format.DateTimeFormat$StyleFormatter:org.joda.time.ReadablePeriod:org.joda.time.DateTimeZone$Stub:org.joda.time.chrono.ZonedChronology$ZonedDateTimeField:org.joda.time.chrono.GregorianChronology:org.joda.time.convert.ConverterManager:org.joda.time.chrono.GJChronology$LinkedDurationField:org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber:org.joda.time.Minutes:org.joda.time.chrono.BasicMonthOfYearDateTimeField:org.joda.time.base.AbstractPartial:org.joda.time.base.BasePartial:org.joda.time.base.AbstractDuration:org.joda.time.base.BaseDateTime:org.joda.time.DateTimeUtils:org.joda.time.base.AbstractInterval:org.joda.time.Hours:org.joda.time.LocalTime:org.joda.time.base.BasePeriod:org.joda.time.field.DecoratedDurationField:org.joda.time.tz.DateTimeZoneBuilder$DSTZone:org.joda.time.TimeOfDay$Property:org.joda.time.format.DateTimeFormat$1:org.joda.time.format.ISOPeriodFormat:org.joda.time.TimeOfDay:org.joda.time.Partial$Property:org.joda.time.chrono.CopticChronology:org.joda.time.field.ImpreciseDateTimeField:org.joda.time.field.PreciseDurationField:org.joda.time.DateTimeUtils$FixedMillisProvider:org.joda.time.tz.DateTimeZoneBuilder$OfYear:org.joda.time.ReadableDuration:org.joda.time.chrono.BasicGJChronology:org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter:org.joda.time.DurationField:org.joda.time.format.DateTimeFormatter:org.joda.time.format.DateTimeFormatterBuilder$TimeZoneName:org.joda.time.chrono.IslamicChronology$LeapYearPatternType:org.joda.time.DateTime:org.joda.time.field.DelegatedDurationField:org.joda.time.format.PeriodFormatterBuilder$SimpleAffix:org.joda.time.convert.PeriodConverter:org.joda.time.ReadWritableDateTime:org.joda.time.chrono.ZonedChronology$ZonedDurationField:org.joda.time.convert.CalendarConverter:org.joda.time.format.PeriodFormatterBuilder$Separator:org.joda.time.Instant:org.joda.time.chrono.LimitChronology$LimitDurationField:org.joda.time.chrono.BasicDayOfYearDateTimeField:org.joda.time.DurationFieldType$StandardDurationFieldType:org.joda.time.chrono.BuddhistChronology:org.joda.time.format.DateTimeFormatterBuilder$StringLiteral:org.joda.time.tz.DateTimeZoneBuilder$Recurrence:org.joda.time.convert.ReadablePartialConverter:org.joda.time.format.ISODateTimeFormat$Constants:org.joda.time.convert.Converter:org.joda.time.DateTimeUtils$MillisProvider:org.joda.time.DateTimeUtils$OffsetMillisProvider:org.joda.time.chrono.GJYearOfEraDateTimeField:org.joda.time.convert.PartialConverter:org.joda.time.Seconds:org.joda.time.field.RemainderDateTimeField:org.joda.time.JodaTimePermission:org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField:org.joda.time.DateTimeFieldType:org.joda.time.format.DateTimeFormatterBuilder$Fraction:org.joda.time.format.DateTimeFormatterBuilder$FixedNumber:org.joda.time.MutableDateTime$Property:org.joda.time.chrono.LimitChronology$LimitDateTimeField:org.joda.time.ReadableInterval:org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone:org.joda.time.field.LenientDateTimeField:org.joda.time.base.AbstractDateTime:org.joda.time.field.SkipUndoDateTimeField:org.joda.time.convert.AbstractConverter:org.joda.time.field.DelegatedDateTimeField:org.joda.time.chrono.BasicChronology:org.joda.time.chrono.BasicYearDateTimeField:org.joda.time.chrono.ISOChronology$Stub:org.joda.time.format.DateTimeFormatterBuilder:org.joda.time.chrono.EthiopicChronology:org.joda.time.tz.CachedDateTimeZone$Info:org.joda.time.PeriodType:org.joda.time.field.MillisDurationField:org.joda.time.chrono.GJChronology:org.joda.time.chrono.IslamicChronology:org.joda.time.format.DateTimeFormatterBuilder$TextField:org.joda.time.LocalDateTime$Property:org.joda.time.chrono.BasicFixedMonthChronology:org.joda.time.YearMonthDay$Property:org.joda.time.field.UnsupportedDateTimeField:org.joda.time.chrono.ISOYearOfEraDateTimeField:org.joda.time.field.ScaledDurationField:org.joda.time.tz.ZoneInfoCompiler$Zone:org.joda.time.field.PreciseDurationDateTimeField:org.joda.time.MonthDay:org.joda.time.MutablePeriod:org.joda.time.MutableDateTime:org.joda.time.tz.CachedDateTimeZone:org.joda.time.ReadableDateTime:org.joda.time.format.PeriodFormatterBuilder$Literal:org.joda.time.format.PeriodParser:org.joda.time.format.PeriodFormatterBuilder$PluralAffix:org.joda.time.DateMidnight:org.joda.time.convert.DurationConverter:org.joda.time.chrono.GJMonthOfYearDateTimeField:org.joda.time.format.DateTimeParserBucket$SavedState:org.joda.time.chrono.BasicWeekyearDateTimeField:org.joda.time.tz.DateTimeZoneBuilder$Rule:org.joda.time.Days:org.joda.time.format.DateTimeFormatterBuilder$MatchingParser:org.joda.time.chrono.BasicSingleEraDateTimeField:org.joda.time.format.DateTimeFormat:org.joda.time.YearMonth$Property:org.joda.time.chrono.LimitChronology:org.joda.time.tz.UTCProvider:org.joda.time.ReadableInstant:org.joda.time.base.BaseSingleFieldPeriod:org.joda.time.convert.NullConverter:org.joda.time.tz.DefaultNameProvider:org.joda.time.tz.ZoneInfoCompiler:org.joda.time.tz.Provider:org.joda.time.chrono.AssembledChronology$Fields:org.joda.time.DurationFieldType:org.joda.time.MutableInterval:org.joda.time.ReadWritableInstant:org.joda.time.tz.NameProvider:org.joda.time.tz.ZoneInfoCompiler$DateTimeOfYear:org.joda.time.convert.ReadableInstantConverter:org.joda.time.convert.StringConverter:org.joda.time.convert.InstantConverter:org.joda.time.chrono.AssembledChronology:org.joda.time.chrono.StrictChronology:org.joda.time.chrono.GJEraDateTimeField:org.joda.time.tz.ZoneInfoCompiler$RuleSet:org.joda.time.tz.ZoneInfoProvider:org.joda.time.DateTimeZone$1:org.joda.time.chrono.BaseChronology:org.joda.time.chrono.JulianChronology:org.joda.time.Period:org.joda.time.format.PeriodFormat:org.joda.time.Weeks:org.joda.time.Chronology:org.joda.time.format.PeriodFormatterBuilder$Composite:org.joda.time.field.AbstractReadableInstantFieldProperty:org.joda.time.format.PeriodFormatterBuilder$PeriodFieldAffix:org.joda.time.format.DateTimeParserBucket$SavedField:org.joda.time.LocalDate:org.joda.time.chrono.BasicDayOfMonthDateTimeField:org.joda.time.MonthDay$Property:org.joda.time.ReadablePartial:org.joda.time.chrono.GJChronology$ImpreciseCutoverField:org.joda.time.field.BaseDurationField:org.joda.time.DateTimeConstants
