Class Name	Class Visibility	Class Library	Usage	Used In Library
com.querydsl.core.QueryFactory	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.support.QueryMixin	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.SQLSerializer	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.OrderSpecifier	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.SQLiteTemplates	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.SubQueryExpression	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.SubQueryExpressionImpl	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.TemplateFactory	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
org.joda.time.format.DateTimeFormatter	public	joda-time:joda-time:2.10.10	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.QueryModifiers	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.DefaultQueryMetadata	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.TemplateExpression	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.WithinGroup	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.dml.StoreClause	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.dsl.StringOperation	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.AppendingFactoryExpression	default	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.QueryFlag	public	com.querydsl:querydsl-core:5.0.0	instantiation	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.SubQueryExpression	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.util.ReflectionUtils	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.OrderSpecifier	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.JoinType	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.dsl.SimpleTemplate	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.DerbyTemplates	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.util.StringUtils	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.AbstractSQLQuery$5	default	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.sql.AbstractSQLQuery$3	default	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.dml.DeleteClause	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.dsl.Expressions	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.PostgreSQLTemplates	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.ArrayConstructorExpression	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.Expression	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.ProjectionRole	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.Operator	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.QTuple	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.SQLQuery	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.Constant	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.WindowFirstLast	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.ExpressionUtils	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.H2Templates	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.TemplateExpression	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.TeradataTemplates	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.dsl.SimpleOperation	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.mysema.commons.lang.Pair	default	com.mysema.commons:mysema-commons-lang:0.2.4	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.JoinExpression	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.Template	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.sql.SQLServer2012Templates	public	com.querydsl:querydsl-sql:5.0.0	method call	com.querydsl:querydsl-core:5.0.0
com.querydsl.core.types.MutableExpressionBase	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
org.joda.time.LocalDate	public	joda-time:joda-time:2.10.10	instantiation	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.BooleanBuilder	public	com.querydsl:querydsl-core:5.0.0	instantiation	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.FactoryExpressionUtils	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.ParamNotSetException	public	com.querydsl:querydsl-core:5.0.0	instantiation	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.dsl.SimpleExpression	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.OperationImpl	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.dsl.DateTimeTemplate	public	com.querydsl:querydsl-core:5.0.0	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.Operation	public	com.querydsl:querydsl-core:5.0.0	cast	com.querydsl:querydsl-sql:5.0.0
org.joda.time.LocalDateTime	public	joda-time:joda-time:2.10.10	method call	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.dsl.SimpleOperation	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
com.querydsl.core.types.dsl.BeanPath	public	com.querydsl:querydsl-core:5.0.0	subtyping	com.querydsl:querydsl-sql:5.0.0
