Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
com.querydsl.sql.SQLTemplates::serializeUpdate(Lcom/querydsl/core/QueryMetadata;Lcom/querydsl/sql/RelationalPath;Ljava/util/Map;Lcom/querydsl/sql/SQLSerializer;)V	com.querydsl:querydsl-sql:5.0.0	public	com.querydsl.core.QueryMetadata::getFlags()Ljava/util/Set;	com.querydsl:querydsl-core:5.0.0	com.querydsl.core.DefaultQueryMetadata::getFlags()Ljava/util/Set;	com.querydsl:querydsl-core:5.0.0	211	false	false	
com.querydsl.sql.QBeans::QBeans([Lcom/querydsl/sql/RelationalPath;)V	com.querydsl:querydsl-sql:5.0.0	public	com.querydsl.core.types.Path::getMetadata()Lcom/querydsl/core/types/PathMetadata;	com.querydsl:querydsl-core:5.0.0	com.querydsl.core.types.dsl.TimePath::getMetadata()Lcom/querydsl/core/types/PathMetadata;	com.querydsl:querydsl-core:5.0.0	18	false	false	
com.querydsl.sql.SQLSerializer::serializeSources(Ljava/util/List;)V	com.querydsl:querydsl-sql:5.0.0	public	com.querydsl.core.JoinExpression::getCondition()Lcom/querydsl/core/types/Predicate;	com.querydsl:querydsl-core:5.0.0	com.querydsl.core.JoinExpression::getCondition()Lcom/querydsl/core/types/Predicate;	com.querydsl:querydsl-core:5.0.0	38669	false	false	
com.querydsl.sql.WindowFirstLast::getValue()Lcom/querydsl/core/types/dsl/SimpleExpression;	com.querydsl:querydsl-sql:5.0.0	public	com.querydsl.core.types.dsl.Expressions::template(Ljava/lang/Class;Ljava/lang/String;Ljava/util/List;)Lcom/querydsl/core/types/dsl/SimpleTemplate;	com.querydsl:querydsl-core:5.0.0	com.querydsl.core.types.dsl.Expressions::template(Ljava/lang/Class;Ljava/lang/String;Ljava/util/List;)Lcom/querydsl/core/types/dsl/SimpleTemplate;	com.querydsl:querydsl-core:5.0.0	3	false	false	
com.querydsl.sql.ForeignKey::on(Lcom/querydsl/sql/RelationalPath;)Lcom/querydsl/core/types/Predicate;	com.querydsl:querydsl-sql:5.0.0	public	com.querydsl.core.types.ExpressionUtils::path(Ljava/lang/Class;Lcom/querydsl/core/types/Path;Ljava/lang/String;)Lcom/querydsl/core/types/Path;	com.querydsl:querydsl-core:5.0.0	com.querydsl.core.types.ExpressionUtils::path(Ljava/lang/Class;Lcom/querydsl/core/types/Path;Ljava/lang/String;)Lcom/querydsl/core/types/Path;	com.querydsl:querydsl-core:5.0.0	61	false	false	
com.querydsl.sql.types.LocalDateTimeType::setValue(Ljava/sql/PreparedStatement;ILorg/joda/time/LocalDateTime;)V	com.querydsl:querydsl-sql:5.0.0	public	org.joda.time.LocalDateTime::toDateTime(Lorg/joda/time/DateTimeZone;)Lorg/joda/time/DateTime;	joda-time:joda-time:2.10.10	org.joda.time.LocalDateTime::toDateTime(Lorg/joda/time/DateTimeZone;)Lorg/joda/time/DateTime;	joda-time:joda-time:2.10.10	3	false	false	
com.querydsl.sql.OracleTemplates::serialize(Lcom/querydsl/core/QueryMetadata;ZLcom/querydsl/sql/SQLSerializer;)V	com.querydsl:querydsl-sql:5.0.0	public	com.querydsl.core.QueryModifiers::getOffset()Ljava/lang/Long;	com.querydsl:querydsl-core:5.0.0	com.querydsl.core.QueryModifiers::getOffset()Ljava/lang/Long;	com.querydsl:querydsl-core:5.0.0	4	false	false	
com.querydsl.core.types.Templates::setPrecedence(I[Lcom/querydsl/core/types/Operator;)V	com.querydsl:querydsl-core:5.0.0	protected	com.querydsl.core.types.Templates::setPrecedence(ILjava/lang/Iterable;)V	com.querydsl:querydsl-core:5.0.0	com.querydsl.sql.PostgreSQLTemplates::setPrecedence(ILjava/lang/Iterable;)V	com.querydsl:querydsl-sql:5.0.0	126	false	false	
com.querydsl.core.support.SerializerBase::visit(Lcom/querydsl/core/types/Operation;Ljava/lang/Void;)Ljava/lang/Void;	com.querydsl:querydsl-core:5.0.0	protected	com.querydsl.core.support.SerializerBase::visitOperation(Ljava/lang/Class;Lcom/querydsl/core/types/Operator;Ljava/util/List;)V	com.querydsl:querydsl-core:5.0.0	com.querydsl.sql.SQLSerializer::visitOperation(Ljava/lang/Class;Lcom/querydsl/core/types/Operator;Ljava/util/List;)V	com.querydsl:querydsl-sql:5.0.0	38599	false	false	
com.querydsl.sql.ProjectableSQLQuery::from(Lcom/querydsl/core/types/Expression;)Lcom/querydsl/sql/ProjectableSQLQuery;	com.querydsl:querydsl-sql:5.0.0	public	com.querydsl.core.support.QueryMixin::from(Lcom/querydsl/core/types/Expression;)Ljava/lang/Object;	com.querydsl:querydsl-core:5.0.0	com.querydsl.core.support.QueryMixin::from(Lcom/querydsl/core/types/Expression;)Ljava/lang/Object;	com.querydsl:querydsl-core:5.0.0	3010	false	false	
