SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
com.querydsl.sql.WindowOver	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.dsl.SimpleOperation	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.SQLOps	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.Operator	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.Union	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.Fetchable	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.SQLResultIterator	com.querydsl:querydsl-sql:5.0.0	com.mysema.commons.lang.CloseableIterator	public	com.mysema.commons:mysema-commons-lang:0.2.4	1
com.querydsl.sql.RelationalFunctionCall	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.TemplateExpression	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.dml.AbstractSQLClause	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.dml.DMLClause	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.ForeignKey	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.ProjectionRole	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.Union	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.SubQueryExpression	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.SQLTemplates	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.Templates	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.SQLSerializer	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.support.SerializerBase	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.WithinGroup	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.dsl.SimpleOperation	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.ProjectableSQLQuery	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.FetchableQuery	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.dml.AbstractSQLDeleteClause	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.dml.DeleteClause	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.RelationalPathExtractor	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.Visitor	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.RelationalPathBase	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.dsl.BeanPath	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.WindowFunction	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.MutableExpressionBase	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.ProjectableSQLQuery	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.support.FetchableSubQueryBase	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.AbstractSQLQuery$1	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.util.ResultSetAdapter	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.dml.AbstractSQLInsertClause$1	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.util.ResultSetAdapter	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.dml.AbstractSQLUpdateClause	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.dml.UpdateClause	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.RelationalFunctionCall	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.dsl.SimpleExpression	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.dml.SQLMergeClause	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.dml.StoreClause	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.QBeans	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.FactoryExpressionBase	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.SQLCommonQueryFactory	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.QueryFactory	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.WindowFirstLast	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.MutableExpressionBase	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.RelationalPath	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.ProjectionRole	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.RelationalPath	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.EntityPath	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.dml.AbstractSQLInsertClause	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.dml.InsertClause	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.SQLCommonQuery	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.Query	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.PrimaryKey	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.types.ProjectionRole	public	com.querydsl:querydsl-core:5.0.0	1
com.querydsl.sql.dml.SQLMergeClause$1	com.querydsl:querydsl-sql:5.0.0	com.querydsl.core.util.ResultSetAdapter	public	com.querydsl:querydsl-core:5.0.0	1
