Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	javax.swing.DefaultListSelectionModel::leadIndex	javax.swing.DefaultListSelectionModel	javax.swing.DefaultListSelectionModel	int	false	private	unknownLib	true	4
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.converters.extended.JavaMethodConverter::javaClassConverter	com.thoughtworks.xstream.converters.extended.JavaMethodConverter	com.thoughtworks.xstream.converters.extended.JavaMethodConverter	com.thoughtworks.xstream.converters.SingleValueConverter	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$PopupWithArray::menuitem	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$PopupWithArray	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$PopupWithArray	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$MenuItem[]	false	default	unknownLib	true	2
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.acceptance.CustomClassesTest$FieldWithObjectType::two	com.thoughtworks.acceptance.CustomClassesTest$FieldWithObjectType	com.thoughtworks.acceptance.CustomClassesTest$FieldWithObjectType	java.lang.Object	false	default	unknownLib	true	2
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.invoke.SerializedLambda::implMethodKind	java.lang.invoke.SerializedLambda	java.lang.invoke.SerializedLambda	int	false	private	unknownLib	true	14
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.ImplicitCollectionMapper::isImmutableValueTypeMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.ImplicitCollectionMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$Message::float1	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$Message	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$Message	float	false	default	unknownLib	true	4
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.acceptance.InnerClassesTest$OuterType::inner	com.thoughtworks.acceptance.InnerClassesTest$OuterType	com.thoughtworks.acceptance.InnerClassesTest$OuterType	com.thoughtworks.acceptance.InnerClassesTest$OuterType$InnerType	false	public	unknownLib	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.EnumMapper::isReferenceableMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.EnumMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	sun.swing.table.DefaultTableCellHeaderRenderer::ignoreRepaint	java.awt.Component	sun.swing.table.DefaultTableCellHeaderRenderer	boolean	false	default	unknownLib	true	2
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.ImmutableTypesMapper::isIgnoredElementMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.ImmutableTypesMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.acceptance.MultipleObjectsInOneStreamTest$Person::lastName	com.thoughtworks.acceptance.MultipleObjectsInOneStreamTest$Person	com.thoughtworks.acceptance.MultipleObjectsInOneStreamTest$Person	java.lang.String	false	private	unknownLib	true	8
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.DynamicProxyMapper::getFieldNameForItemTypeAndNameMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.DynamicProxyMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.acceptance.AbstractReferenceTest$TreeElement::left	com.thoughtworks.acceptance.AbstractReferenceTest$TreeElement	com.thoughtworks.acceptance.AbstractReferenceTest$TreeElement	com.thoughtworks.acceptance.AbstractReferenceTest$TreeElement	false	default	unknownLib	true	20
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.acceptance.CustomFieldKeySorterTest$Second::yyy	com.thoughtworks.acceptance.CustomFieldKeySorterTest$Base	com.thoughtworks.acceptance.CustomFieldKeySorterTest$Second	java.lang.String	false	default	unknownLib	true	8
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.DefaultImplementationsMapper::getImplicitCollectionDefForFieldNameMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.DefaultImplementationsMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.acceptance.InheritanceTest$StaticChildClass::name	com.thoughtworks.acceptance.InheritanceTest$ParentClass	com.thoughtworks.acceptance.InheritanceTest$StaticChildClass	java.lang.String	false	private	unknownLib	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.DefaultImplementationsMapper::shouldSerializeMemberMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.DefaultImplementationsMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.Exception::suppressedExceptions	java.lang.Throwable	java.lang.Exception	java.util.List<java.lang.Throwable>	false	private	unknownLib	true	3
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.CachingMapper::realClassMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.CachingMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	com.thoughtworks.xstream.mapper.DynamicProxyMapper::getLocalConverterMapper	com.thoughtworks.xstream.mapper.MapperWrapper	com.thoughtworks.xstream.mapper.DynamicProxyMapper	com.thoughtworks.xstream.mapper.Mapper	false	private	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	true	6
