Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
com.thoughtworks.xstream.io.xml.xppdom.XppDom::build(Lorg/xmlpull/v1/XmlPullParser;)Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xmlpull.v1.XmlPullParser::next()I	xmlpull:xmlpull:1.1.3.1	io.github.xstream.mxparser.MXParser::next()I	io.github.x-stream:mxparser:1.2.1	261	false	false	
com.thoughtworks.xstream.io.xml.xppdom.XppFactory::buildDom(Ljava/io/Reader;)Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xmlpull.v1.XmlPullParser::setInput(Ljava/io/Reader;)V	xmlpull:xmlpull:1.1.3.1	io.github.xstream.mxparser.MXParser::setInput(Ljava/io/Reader;)V	io.github.x-stream:mxparser:1.2.1	31	false	false	
com.thoughtworks.xstream.io.xml.XppReader::getAttributeCount()I	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xmlpull.v1.XmlPullParser::getAttributeCount()I	xmlpull:xmlpull:1.1.3.1	io.github.xstream.mxparser.MXParser::getAttributeCount()I	io.github.x-stream:mxparser:1.2.1	2420	false	false	
com.thoughtworks.xstream.io.xml.xppdom.XppDom::build(Lorg/xmlpull/v1/XmlPullParser;)Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xmlpull.v1.XmlPullParser::getEventType()I	xmlpull:xmlpull:1.1.3.1	io.github.xstream.mxparser.MXParser::getEventType()I	io.github.x-stream:mxparser:1.2.1	37	false	false	
com.thoughtworks.xstream.io.xml.XppReader::getAttribute(I)Ljava/lang/String;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xmlpull.v1.XmlPullParser::getAttributeValue(I)Ljava/lang/String;	xmlpull:xmlpull:1.1.3.1	io.github.xstream.mxparser.MXParser::getAttributeValue(I)Ljava/lang/String;	io.github.x-stream:mxparser:1.2.1	31	false	false	
com.thoughtworks.xstream.io.xml.XppReader::getAttributeName(I)Ljava/lang/String;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xmlpull.v1.XmlPullParser::getAttributeName(I)Ljava/lang/String;	xmlpull:xmlpull:1.1.3.1	io.github.xstream.mxparser.MXParser::getAttributeName(I)Ljava/lang/String;	io.github.x-stream:mxparser:1.2.1	1062	false	false	
com.thoughtworks.xstream.io.xml.xppdom.XppFactory::createDefaultParser()Lorg/xmlpull/v1/XmlPullParser;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xmlpull.v1.XmlPullParserFactory::newPullParser()Lorg/xmlpull/v1/XmlPullParser;	xmlpull:xmlpull:1.1.3.1	org.xmlpull.v1.XmlPullParserFactory::newPullParser()Lorg/xmlpull/v1/XmlPullParser;	xmlpull:xmlpull:1.1.3.1	46	false	false	
com.thoughtworks.xstream.converters.extended.ISO8601SqlTimestampConverter::toString(Ljava/lang/Object;)Ljava/lang/String;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	java.sql.Timestamp::getNanos()I	java.sql	java.sql.Timestamp::getNanos()I	java.sql	4	false	false	
com.thoughtworks.xstream.converters.extended.ISO8601SqlTimestampConverter::fromString(Ljava/lang/String;)Ljava/lang/Object;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	java.sql.Timestamp::setNanos(I)V	java.sql	java.sql.Timestamp::setNanos(I)V	java.sql	4	false	false	
com.thoughtworks.xstream.io.xml.TraxSource::configureXMLReader()V	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	public	org.xml.sax.SAXException::getMessage()Ljava/lang/String;	org.xml.sax	org.xml.sax.SAXNotSupportedException::getMessage()Ljava/lang/String;	org.xml.sax	1	false	false	
