Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	$java.util.HashMap$$EnhancerByCGLIB$$a440723f::CGLIB$afterNodeAccess$29$Method	java.lang.reflect.Method	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	com.thoughtworks.xstream.mapper.AttributeMapper::fieldNameToTypeMap	java.util.Map<java.lang.String, java.lang.Class<?>>	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	java.util.Calendar::zone	java.util.TimeZone	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	public	com.thoughtworks.acceptance.objects.Software::vendor	java.lang.String	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	com.thoughtworks.xstream.converters.reflection.SerializableConverter::ELEMENT_NULL	java.lang.String	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT
com.thoughtworks.xstream.core.util.Fields::find(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/reflect/Field;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	java.text.DecimalFormatSymbols::digit	char	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	$java.util.HashMap$$EnhancerByCGLIB$$a440723f::CGLIB$newNode$24$Proxy	net.sf.cglib.proxy.MethodProxy	unknownLib
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter::createCallbackIndexMap(Lnet/sf/cglib/proxy/Factory;)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Method	public	net.sf.cglib.proxy.Factory::setCallbacks([Lnet/sf/cglib/proxy/Callback;)V		unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	com.thoughtworks.xstream.core.JVM$Test::l	long	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	default	com.thoughtworks.xstream.io.json.JettisonMappedXmlDriverTest$Topic::id	long	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	default	java.util.GregorianCalendar::CE	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	protected	javax.swing.JTable::cellEditor	javax.swing.table.TableCellEditor	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	javax.swing.table.DefaultTableCellRenderer::unselectedBackground	java.awt.Color	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	java.awt.Container::printingThreads	java.util.Set<java.lang.Thread>	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	java.lang.Throwable::SUPPRESSED_SENTINEL	java.util.List<java.lang.Throwable>	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	com.thoughtworks.xstream.core.Base64Codec::decoder	java.util.Base64$Decoder	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	$java.util.HashMap$$EnhancerByCGLIB$$a440723f::CGLIB$get$2$Method	java.lang.reflect.Method	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	default	com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriverTest$Window::width	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	org.jdom.ContentList::size	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	$java.util.HashMap$$EnhancerByCGLIB$$a440723f_2::CGLIB$replacementNode$25$Proxy	net.sf.cglib.proxy.MethodProxy	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	java.awt.Container::containerSerializedDataVersion	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	javax.swing.JComponent::FOCUS_TRAVERSAL_KEYS_BACKWARD_SET	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	protected	javax.swing.JTable::autoCreateColumnsFromModel	boolean	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	$java.util.HashMap$$EnhancerByCGLIB$$a440723f::CGLIB$getOrDefault$19$Proxy	net.sf.cglib.proxy.MethodProxy	unknownLib
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter::getCallbacks(Ljava/lang/Object;)[Lnet/sf/cglib/proxy/Callback;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	$java.lang.Runnable$$EnhancerByCGLIB$$c17063ab::CGLIB$CALLBACK_2	net.sf.cglib.proxy.Dispatcher	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	default	java.util.Calendar::ZONE_OFFSET_MASK	int	unknownLib
