													com.alibaba.fastjson	com.alibaba.fastjson.annotation	com.alibaba.fastjson.asm	com.alibaba.fastjson.parser	com.alibaba.fastjson.parser.deserializer	com.alibaba.fastjson.serializer	com.alibaba.fastjson.spi	com.alibaba.fastjson.support.config	com.alibaba.fastjson.support.geo	com.alibaba.fastjson.support.hsf	com.alibaba.fastjson.support.jaxrs	com.alibaba.fastjson.support.moneta	com.alibaba.fastjson.support.retrofit	com.alibaba.fastjson.support.spring	com.alibaba.fastjson.support.spring.annotation	com.alibaba.fastjson.support.spring.messaging	com.alibaba.fastjson.support.springfox	com.alibaba.fastjson.util	
com.alibaba.fastjson												0									0						0							1								1									1								0							0									0									0										0									0								0												0									0												0											0								1		
com.alibaba.fastjson.annotation										0									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.asm											0									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.parser											1									0						1							0								1									1								0							0									0									0										0									1								0												0									0												0											0								1		
com.alibaba.fastjson.parser.deserializer							1									0						1							1								0									1								0							0									1									0										0									0								0												0									0												0											0								1		
com.alibaba.fastjson.serializer										1									0						1							1								1									0								0							0									0									0										0									1								0												1									0												0											1								1		
com.alibaba.fastjson.spi											0									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.config									0									0						0							1								0									1								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.geo									0									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.hsf									1									0						0							1								0									0								0							0									0									0										0									0								0												0									0												0											0								1		
com.alibaba.fastjson.support.jaxrs									1									0						0							0								0									0								0							1									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.moneta									1									0						0							1								0									1								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.retrofit								1									0						0							1								0									0								0							1									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.spring									1									0						0							0								0									1								0							1									0									0										0									0								0												0									0												0											0								1		
com.alibaba.fastjson.support.spring.annotation						0									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.spring.messaging						1									0						0							0								0									0								0							1									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.support.springfox								0									0						0							0								0									1								0							0									0									0										0									0								0												0									0												0											0								0		
com.alibaba.fastjson.util											1									0						1							1								1									1								0							0									0									0										0									0								0												0									0												0											0								0		
com.weibo.api.motan.registry.support.command						1									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
com.weibo.api.motan.serialize										1									0						0							0								0									1								0							0									0									0										0									0								0												0									0												0											0								0		
org.apache.cxf.jaxrs.provider										0									0						0							0								0									0								0							0									0									0										1									0								0												0									0												0											0								0		
org.apache.cxf.jaxrs.utils											0									0						0							0								0									0								0							0									0									0										1									0								0												0									0												0											0								0		
org.apache.rocketmq.acl.plain										1									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
org.apache.rocketmq.common.protocol.body							1									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
org.apache.rocketmq.remoting.protocol								1									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
org.glassfish.jersey.message.internal								0									0						0							0								0									0								0							0									0									0										1									0								0												0									0												0											0								0		
org.glassfish.jersey.model.internal									0									0						0							0								0									0								0							0									0									0										1									0								0												0									0												0											0								0		
org.springframework.context.support									0									0						0							0								0									0								0							0									0									0										0									0								0												1									0												0											0								0		
org.springframework.http.converter									0									0						0							0								0									0								0							0									0									0										0									0								0												1									0												0											0								0		
org.springframework.messaging.converter								0									0						0							0								0									0								0							0									0									0										0									0								0												0									0												1											0								0		
org.springframework.web.context.support								0									0						0							0								0									0								0							0									0									0										0									0								0												1									0												0											0								0		
org.springframework.web.servlet										0									0						0							0								0									0								0							0									0									0										0									0								0												1									0												0											0								0		
org.springframework.web.servlet.mvc.method.annotation				0									0						0							0								0									0								0							0									0									0										0									0								0												1									0												0											0								0		
org.springframework.web.servlet.view								0									0						0							0								0									0								0							0									0									0										0									0								0												1									0												0											0								0		
org.springframework.web.socket.sockjs.frame							0									0						0							0								0									0								0							0									0									0										0									0								0												1									0												0											0								0		
us.codecraft.webmagic.selector										1									0						0							0								0									0								0							0									0									0										0									0								0												0									0												0											0								0		
