	com.alibaba.fastjson	com.alibaba.fastjson.annotation	com.alibaba.fastjson.asm	com.alibaba.fastjson.parser	com.alibaba.fastjson.parser.deserializer	com.alibaba.fastjson.serializer	com.alibaba.fastjson.spi	com.alibaba.fastjson.support.config	com.alibaba.fastjson.support.geo	com.alibaba.fastjson.support.hsf	com.alibaba.fastjson.support.jaxrs	com.alibaba.fastjson.support.moneta	com.alibaba.fastjson.support.retrofit	com.alibaba.fastjson.support.spring	com.alibaba.fastjson.support.spring.annotation	com.alibaba.fastjson.support.spring.messaging	com.alibaba.fastjson.support.springfox	com.alibaba.fastjson.util	
com.alibaba.fastjson;com.alibaba:fastjson	0	0	2	1	1	1	0	3	2	0	0	2	0	2	0	0	2	1	
com.alibaba.fastjson.annotation;com.alibaba:fastjson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.alibaba.fastjson.asm;com.alibaba:fastjson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.alibaba.fastjson.parser;com.alibaba:fastjson	1	0	1	0	1	1	0	3	2	0	0	1	0	2	0	0	2	1	
com.alibaba.fastjson.parser.deserializer;com.alibaba:fastjson	1	0	1	1	0	1	0	3	1	0	0	2	0	2	0	0	2	1	
com.alibaba.fastjson.serializer;com.alibaba:fastjson	1	0	1	1	1	0	0	2	2	0	0	1	0	1	0	0	1	1	
com.alibaba.fastjson.spi;com.alibaba:fastjson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.alibaba.fastjson.support.config;com.alibaba:fastjson	2	0	2	1	2	1	0	0	3	0	0	2	0	2	0	0	2	2	
com.alibaba.fastjson.support.geo;com.alibaba:fastjson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.alibaba.fastjson.support.hsf;com.alibaba:fastjson	1	0	2	1	2	2	0	4	3	0	0	2	0	3	0	0	3	1	
com.alibaba.fastjson.support.jaxrs;com.alibaba:fastjson	1	0	3	2	2	2	0	1	3	0	0	3	0	3	0	0	3	2	
com.alibaba.fastjson.support.moneta;com.alibaba:fastjson	1	0	2	1	2	1	0	3	3	0	0	0	0	2	0	0	2	2	
com.alibaba.fastjson.support.retrofit;com.alibaba:fastjson	1	0	2	1	2	2	0	1	3	0	0	2	0	3	0	0	3	2	
com.alibaba.fastjson.support.spring;com.alibaba:fastjson	1	0	2	2	2	1	0	1	3	0	0	2	0	0	0	0	2	1	
com.alibaba.fastjson.support.spring.annotation;com.alibaba:fastjson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.alibaba.fastjson.support.spring.messaging;com.alibaba:fastjson	1	0	3	2	2	2	0	1	3	0	0	3	0	3	0	0	3	2	
com.alibaba.fastjson.support.springfox;com.alibaba:fastjson	2	0	2	2	2	1	0	3	3	0	0	2	0	2	0	0	0	2	
com.alibaba.fastjson.util;com.alibaba:fastjson	1	0	1	1	1	1	0	3	2	0	0	2	0	2	0	0	2	0	
com.weibo.api.motan.registry.support.command;com.weibo:motan-core	1	0	3	2	2	2	0	4	3	0	0	3	0	3	0	0	3	2	
com.weibo.api.motan.serialize;com.weibo:motan-core	1	0	2	2	2	1	0	3	3	0	0	2	0	2	0	0	2	2	
org.apache.cxf.jaxrs.provider;org.apache.cxf:cxf-rt-frontend-jaxrs	2	0	4	3	3	3	0	2	4	0	1	4	0	4	0	0	4	3	
org.apache.cxf.jaxrs.utils;org.apache.cxf:cxf-rt-frontend-jaxrs	2	0	4	3	3	3	0	2	4	0	1	4	0	4	0	0	4	3	
org.apache.rocketmq.acl.plain;org.apache.rocketmq:rocketmq-acl	1	0	3	2	2	2	0	4	3	0	0	3	0	3	0	0	3	2	
org.apache.rocketmq.common.protocol.body;org.apache.rocketmq:rocketmq-common	1	0	3	2	2	2	0	4	3	0	0	3	0	3	0	0	3	2	
org.apache.rocketmq.remoting.protocol;org.apache.rocketmq:rocketmq-remoting	1	0	3	2	2	2	0	4	3	0	0	3	0	3	0	0	3	2	
org.glassfish.jersey.message.internal;org.glassfish.jersey.core:jersey-common	2	0	4	3	3	3	0	2	4	0	1	4	0	4	0	0	4	3	
org.glassfish.jersey.model.internal;org.glassfish.jersey.core:jersey-common	2	0	4	3	3	3	0	2	4	0	1	4	0	4	0	0	4	3	
org.springframework.context.support;org.springframework:spring-context	2	0	3	3	3	2	0	2	4	0	0	3	0	1	0	0	3	2	
org.springframework.http.converter;org.springframework:spring-web	2	0	3	3	3	2	0	2	4	0	0	3	0	1	0	0	3	2	
org.springframework.messaging.converter;org.springframework:spring-messaging	2	0	4	3	3	3	0	2	4	0	0	4	0	4	0	1	4	3	
org.springframework.web.context.support;org.springframework:spring-web	2	0	3	3	3	2	0	2	4	0	0	3	0	1	0	0	3	2	
org.springframework.web.servlet;org.springframework:spring-webmvc	2	0	3	3	3	2	0	2	4	0	0	3	0	1	0	0	3	2	
org.springframework.web.servlet.mvc.method.annotation;org.springframework:spring-webmvc	2	0	3	3	3	2	0	2	4	0	0	3	0	1	0	0	3	2	
org.springframework.web.servlet.view;org.springframework:spring-webmvc	2	0	3	3	3	2	0	2	4	0	0	3	0	1	0	0	3	2	
org.springframework.web.socket.sockjs.frame;org.springframework:spring-websocket	2	0	3	3	3	2	0	2	4	0	0	3	0	1	0	0	3	2	
us.codecraft.webmagic.selector;us.codecraft:webmagic-core	1	0	3	2	2	2	0	4	3	0	0	3	0	3	0	0	3	2	
