	com.fasterxml.jackson.core	com.fasterxml.jackson.core.async	com.fasterxml.jackson.core.base	com.fasterxml.jackson.core.exc	com.fasterxml.jackson.core.filter	com.fasterxml.jackson.core.format	com.fasterxml.jackson.core.io	com.fasterxml.jackson.core.json	com.fasterxml.jackson.core.json.async	com.fasterxml.jackson.core.sym	com.fasterxml.jackson.core.type	com.fasterxml.jackson.core.util
com.fasterxml.jackson.core	0	0	0	1	1	0	1	1	1	1	1	1
com.fasterxml.jackson.core.async	0	0	0	0	0	0	0	0	0	0	0	0
com.fasterxml.jackson.core.base	1	0	0	0	0	0	1	1	1	0	0	1
com.fasterxml.jackson.core.exc	1	0	0	0	0	0	1	1	1	0	0	1
com.fasterxml.jackson.core.filter	1	0	0	0	0	0	1	1	1	0	0	0
com.fasterxml.jackson.core.format	1	0	0	0	0	0	0	0	0	0	0	0
com.fasterxml.jackson.core.io	0	0	0	0	0	0	0	0	0	0	0	1
com.fasterxml.jackson.core.json	1	0	0	0	0	1	1	0	0	1	0	1
com.fasterxml.jackson.core.json.async	1	0	0	0	0	0	1	1	0	1	0	1
com.fasterxml.jackson.core.sym	1	0	0	0	0	0	0	0	0	0	0	1
com.fasterxml.jackson.core.type	0	0	0	0	0	0	0	0	0	0	0	0
com.fasterxml.jackson.core.util	1	0	0	0	1	0	1	1	1	0	0	0
com.fasterxml.jackson.databind	0	0	0	0	0	0	1	1	0	0	0	1
com.fasterxml.jackson.databind.deser	1	0	0	0	0	0	0	1	0	0	0	0
com.fasterxml.jackson.databind.deser.impl	0	0	0	0	0	0	0	1	0	0	0	0
com.fasterxml.jackson.databind.deser.std	1	0	0	0	0	0	1	1	0	0	0	0
com.fasterxml.jackson.databind.introspect	0	0	0	0	0	0	0	1	0	0	0	0
com.fasterxml.jackson.databind.module	1	0	0	0	0	0	0	0	0	0	0	0
com.fasterxml.jackson.databind.node	0	0	0	0	0	0	0	1	0	0	0	0
com.fasterxml.jackson.databind.ser	0	0	0	0	0	0	1	1	0	0	0	0
com.fasterxml.jackson.databind.ser.impl	0	0	0	0	0	0	0	1	0	0	0	0
com.fasterxml.jackson.databind.ser.std	0	0	0	0	0	0	0	1	0	0	0	0
ezvcard.io.json	1	0	0	0	0	0	0	1	0	0	0	0
hygieia.transformer	0	0	0	0	0	0	0	1	0	0	0	0
org.elasticsearch.common.xcontent.json	1	0	0	0	0	0	0	1	0	0	0	1
org.owasp.dependencycheck.data.artifactory	1	0	0	0	0	0	0	1	0	0	0	0
org.springframework.data.elasticsearch.core.document	1	0	0	0	0	0	0	1	0	0	0	0
