	com.fasterxml.jackson.core	com.fasterxml.jackson.core.async	com.fasterxml.jackson.core.base	com.fasterxml.jackson.core.exc	com.fasterxml.jackson.core.filter	com.fasterxml.jackson.core.format	com.fasterxml.jackson.core.io	com.fasterxml.jackson.core.json	com.fasterxml.jackson.core.json.async	com.fasterxml.jackson.core.sym	com.fasterxml.jackson.core.type	com.fasterxml.jackson.core.util	
;com.fasterxml.jackson.core:jackson-core	0	0	0	0	0	0	0	0	0	0	0	0	
com.fasterxml.jackson.core;com.fasterxml.jackson.core:jackson-core	0	0	0	1	1	2	1	1	1	1	1	1	
com.fasterxml.jackson.core.async;com.fasterxml.jackson.core:jackson-core	0	0	0	0	0	0	0	0	0	0	0	0	
com.fasterxml.jackson.core.base;com.fasterxml.jackson.core:jackson-core	1	0	0	2	2	2	1	1	1	2	2	1	
com.fasterxml.jackson.core.exc;com.fasterxml.jackson.core:jackson-core	1	0	0	0	2	2	1	1	1	2	2	1	
com.fasterxml.jackson.core.filter;com.fasterxml.jackson.core:jackson-core	1	0	0	2	0	2	1	1	1	2	2	2	
com.fasterxml.jackson.core.format;com.fasterxml.jackson.core:jackson-core	1	0	0	2	2	0	2	2	2	2	2	2	
com.fasterxml.jackson.core.io;com.fasterxml.jackson.core:jackson-core	2	0	0	3	2	3	0	2	2	3	3	1	
com.fasterxml.jackson.core.json;com.fasterxml.jackson.core:jackson-core	1	0	0	2	2	1	1	0	2	1	2	1	
com.fasterxml.jackson.core.json.async;com.fasterxml.jackson.core:jackson-core	1	0	0	2	2	2	1	1	0	1	2	1	
com.fasterxml.jackson.core.sym;com.fasterxml.jackson.core:jackson-core	1	0	0	2	2	3	2	2	2	0	2	1	
com.fasterxml.jackson.core.type;com.fasterxml.jackson.core:jackson-core	0	0	0	0	0	0	0	0	0	0	0	0	
com.fasterxml.jackson.core.util;com.fasterxml.jackson.core:jackson-core	1	0	0	2	1	2	1	1	1	2	2	0	
com.fasterxml.jackson.databind;com.fasterxml.jackson.core:jackson-databind	2	0	0	3	2	2	1	1	2	2	3	1	
com.fasterxml.jackson.databind.deser;com.fasterxml.jackson.core:jackson-databind	1	0	0	2	2	2	2	1	2	2	2	2	
com.fasterxml.jackson.databind.deser.impl;com.fasterxml.jackson.core:jackson-databind	2	0	0	3	3	2	2	1	3	2	3	2	
com.fasterxml.jackson.databind.deser.std;com.fasterxml.jackson.core:jackson-databind	1	0	0	2	2	2	1	1	2	2	2	2	
com.fasterxml.jackson.databind.introspect;com.fasterxml.jackson.core:jackson-databind	2	0	0	3	3	2	2	1	3	2	3	2	
com.fasterxml.jackson.databind.module;com.fasterxml.jackson.core:jackson-databind	1	0	0	2	2	3	2	2	2	2	2	2	
com.fasterxml.jackson.databind.node;com.fasterxml.jackson.core:jackson-databind	2	0	0	3	3	2	2	1	3	2	3	2	
com.fasterxml.jackson.databind.ser;com.fasterxml.jackson.core:jackson-databind	2	0	0	3	3	2	1	1	3	2	3	2	
com.fasterxml.jackson.databind.ser.impl;com.fasterxml.jackson.core:jackson-databind	2	0	0	3	3	2	2	1	3	2	3	2	
com.fasterxml.jackson.databind.ser.std;com.fasterxml.jackson.core:jackson-databind	2	0	0	3	3	2	2	1	3	2	3	2	
ezvcard.io.json;com.googlecode.ez-vcard:ez-vcard	1	0	0	2	2	2	2	1	2	2	2	2	
hygieia.transformer;com.capitalone.dashboard:core	2	0	0	3	3	2	2	1	3	2	3	2	
org.elasticsearch.common.xcontent.json;org.elasticsearch:elasticsearch-x-content	1	0	0	2	2	2	2	1	2	2	2	1	
org.owasp.dependencycheck.data.artifactory;org.owasp:dependency-check-core	1	0	0	2	2	2	2	1	2	2	2	2	
org.springframework.data.elasticsearch.core.document;org.springframework.data:spring-data-elasticsearch	1	0	0	2	2	2	2	1	2	2	2	2	
