Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
springfox.documentation.spring.web.scanners.ApiListingScanner	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.plugins.DocumentationPluginsManager	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration$JdbcTemplateConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.endpoint.web.WebEndpointAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.boot.autoconfigure.condition.ConditionalOnWebApplication	public	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	1
com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration	-	-	com.baomidou:mybatis-plus-boot-starter:3.2.0	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
de.codecentric.boot.admin.server.ui.config.AdminServerUiAutoConfiguration$ServletUiConfiguration	-	-	de.codecentric:spring-boot-admin-server-ui:2.1.6	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.cache.NoOpCacheConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.swagger2.mappers.LicenseMapperImpl	-	-	io.springfox:springfox-swagger2:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration	-	-	org.springframework:spring-webmvc:5.1.10.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.hibernate.validator.constraints.URL	-	-	org.hibernate.validator:hibernate-validator:6.0.17.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:2.0.1.Final	1
springfox.documentation.swagger2.web.Swagger2Controller	-	-	io.springfox:springfox-swagger2:2.6.1	org.springframework.stereotype.Controller	public	org.springframework:spring-context:5.1.10.RELEASE	1
