Class Name,Class Visibility,Class Library,Usage,Used In Library
org.springframework.boot.actuate.metrics.web.reactive.client.WebClientExchangeTagsProvider,public,org.springframework.boot:spring-boot-actuator:2.1.9.RELEASE,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
org.springframework.boot.autoconfigure.reactor.core.ReactorCoreAutoConfiguration,public,org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
org.springframework.core.BridgeMethodResolver,public,org.springframework:spring-core:5.1.10.RELEASE,method call,org.springframework:spring-beans:5.1.10.RELEASE
org.springframework.boot.info.BuildProperties,public,org.springframework.boot:spring-boot:2.1.9.RELEASE,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
org.springframework.boot.web.servlet.filter.OrderedFormContentFilter,public,org.springframework.boot:spring-boot:2.1.9.RELEASE,instantiation,org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE
io.lettuce.core.cluster.models.partitions.RedisClusterNode,public,io.lettuce:lettuce-core:5.1.8.RELEASE,cast,org.springframework.data:spring-data-redis:2.1.11.RELEASE
org.springframework.boot.actuate.autoconfigure.metrics.web.tomcat.TomcatMetricsAutoConfiguration$$EnhancerBySpringCGLIB$$b8487a8f,public,unknownLib,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
org.springframework.core.env.MapPropertySource,public,org.springframework:spring-core:5.1.10.RELEASE,cast,org.springframework.boot:spring-boot:2.1.9.RELEASE
org.springframework.boot.actuate.autoconfigure.endpoint.EndpointAutoConfiguration,public,org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
org.springframework.aop.framework.ProxyFactory,public,org.springframework:spring-aop:5.1.10.RELEASE,instantiation,org.springframework.plugin:spring-plugin-core:1.2.0.RELEASE
org.jboss.logging.Logger,public,org.jboss.logging:jboss-logging:3.3.3.Final,method call,org.hibernate.validator:hibernate-validator:6.0.17.Final
org.springframework.expression.AccessException,public,org.springframework:spring-expression:5.1.10.RELEASE,instantiation,org.springframework:spring-context:5.1.10.RELEASE
org.apache.ibatis.session.SqlSessionFactory,public,org.mybatis:mybatis:3.5.2,Class.forName,org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE
io.swagger.models.Path,public,io.swagger:swagger-models:1.5.10,instantiation,io.springfox:springfox-swagger2:2.6.1
org.springframework.boot.convert.ApplicationConversionService,public,org.springframework.boot:spring-boot:2.1.9.RELEASE,method call,org.springframework:spring-context:5.1.10.RELEASE
sun.misc.VM,public,unknownLib,Class.forName,io.netty:netty-common:4.1.39.Final
ch.qos.logback.core.BasicStatusManager,public,ch.qos.logback:logback-core:1.2.3,method call,ch.qos.logback:logback-classic:1.2.3
com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder,public,com.fasterxml.jackson.core:jackson-databind:2.9.9.3,cast,org.springframework:spring-web:5.1.10.RELEASE
ch.qos.logback.classic.pattern.DateConverter,public,ch.qos.logback:logback-classic:1.2.3,Class.forName,ch.qos.logback:logback-core:1.2.3
org.springframework.context.ApplicationContextAware,public,org.springframework:spring-context:5.1.10.RELEASE,subtyping,org.mybatis:mybatis-spring:2.0.2
org.springframework.web.reactive.function.client.WebClient$RequestBodySpec,public,org.springframework:spring-webflux:5.1.10.RELEASE,cast,de.codecentric:spring-boot-admin-server:2.1.6
com.fasterxml.jackson.databind.module.SimpleModule,public,com.fasterxml.jackson.core:jackson-databind:2.9.9.3,instantiation,de.codecentric:spring-boot-admin-server:2.1.6
org.hibernate.validator.internal.engine.ConfigurationImpl,public,org.hibernate.validator:hibernate-validator:6.0.17.Final,method call,org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE
org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$PreserveErrorControllerTargetClassPostProcessor,default,org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE,method call,org.springframework:spring-context:5.1.10.RELEASE
javax.validation.Validation$GenericBootstrapImpl,private,javax.validation:validation-api:2.0.1.Final,method call,org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE
com.fasterxml.jackson.databind.deser.std.StdValueInstantiator,public,com.fasterxml.jackson.core:jackson-databind:2.9.9.3,cast,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.9.9
org.springframework.core.Ordered,public,org.springframework:spring-core:5.1.10.RELEASE,cast,org.springframework:spring-context:5.1.10.RELEASE
org.springframework.util.LinkedMultiValueMap,public,org.springframework:spring-core:5.1.10.RELEASE,instantiation,org.springframework.boot:spring-boot:2.1.9.RELEASE
springfox.documentation.swagger.schema.ApiModelPropertyPropertyBuilder,public,io.springfox:springfox-swagger-common:2.6.1,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
springfox.documentation.swagger.readers.operation.SwaggerOperationTagsReader,public,io.springfox:springfox-swagger-common:2.6.1,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
org.aspectj.weaver.tools.JoinPointMatch,public,org.aspectj:aspectjweaver:1.9.4,cast,org.springframework:spring-aop:5.1.10.RELEASE
org.springframework.web.filter.CharacterEncodingFilter,public,org.springframework:spring-web:5.1.10.RELEASE,Class.forName,org.springframework:spring-core:5.1.10.RELEASE
org.springframework.context.ApplicationContextAware,public,org.springframework:spring-context:5.1.10.RELEASE,subtyping,org.thymeleaf:thymeleaf-spring5:3.0.11.RELEASE
ch.qos.logback.classic.Logger,public,ch.qos.logback:logback-classic:1.2.3,method call,org.apache.shiro:shiro-spring:1.4.1
