Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
io.projectreactor.netty:reactor-netty:0.8.12.RELEASE	io.netty.handler.codec.http.HttpMethod::OPTIONS	io.netty.handler.codec.http.HttpMethod	io.netty.handler.codec.http.HttpMethod	io.netty.handler.codec.http.HttpMethod	TRUE	public	io.netty:netty-codec-http:4.1.39.Final	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::SETEX	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
com.fasterxml.jackson.core:jackson-databind:2.9.9.3	com.fasterxml.jackson.annotation.JsonFormat$Shape::ARRAY	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.9.0	FALSE	4
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.codec.ByteArrayCodec::INSTANCE	io.lettuce.core.codec.ByteArrayCodec	io.lettuce.core.codec.ByteArrayCodec	io.lettuce.core.codec.ByteArrayCodec	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	4
io.projectreactor.netty:reactor-netty:0.8.12.RELEASE	io.netty.handler.codec.http.cookie.ClientCookieDecoder::LAX	io.netty.handler.codec.http.cookie.ClientCookieDecoder	io.netty.handler.codec.http.cookie.ClientCookieDecoder	io.netty.handler.codec.http.cookie.ClientCookieDecoder	TRUE	public	io.netty:netty-codec-http:4.1.39.Final	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::MOVE	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
io.springfox:springfox-spring-web:2.6.1	org.springframework.http.MediaType::APPLICATION_FORM_URLENCODED	org.springframework.http.MediaType	org.springframework.http.MediaType	org.springframework.http.MediaType	TRUE	public	org.springframework:spring-web:5.1.10.RELEASE	FALSE	1
org.apache.logging.log4j:log4j-to-slf4j:2.11.2	org.apache.logging.log4j.Level::DEBUG	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	TRUE	public	org.apache.logging.log4j:log4j-api:2.11.2	FALSE	1
io.projectreactor:reactor-core:3.2.12.RELEASE	io.micrometer.core.instrument.Clock::SYSTEM	io.micrometer.core.instrument.Clock	io.micrometer.core.instrument.Clock	io.micrometer.core.instrument.Clock	TRUE	public	io.micrometer:micrometer-core:1.1.7	FALSE	2
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::SHUTDOWN	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::SRANDMEMBER	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.http.MediaType::ALL	org.springframework.http.MediaType	org.springframework.http.MediaType	org.springframework.http.MediaType	TRUE	public	org.springframework:spring-web:5.1.10.RELEASE	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::WATCH	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::SDIFFSTORE	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
com.fasterxml.jackson.core:jackson-databind:2.9.9.3	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion::PARENT_PROPERTY	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion	TRUE	public	com.fasterxml.jackson.core:jackson-core:2.9.9	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::BITOP	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
de.codecentric:spring-boot-admin-server:2.1.6	org.springframework.http.HttpStatus::NOT_FOUND	org.springframework.http.HttpStatus	org.springframework.http.HttpStatus	org.springframework.http.HttpStatus	TRUE	public	org.springframework:spring-web:5.1.10.RELEASE	FALSE	1
com.fasterxml.jackson.core:jackson-databind:2.9.9.3	com.fasterxml.jackson.annotation.Nulls::SKIP	com.fasterxml.jackson.annotation.Nulls	com.fasterxml.jackson.annotation.Nulls	com.fasterxml.jackson.annotation.Nulls	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.9.0	FALSE	2
com.fasterxml.jackson.core:jackson-databind:2.9.9.3	com.fasterxml.jackson.core.util.InternCache::instance	com.fasterxml.jackson.core.util.InternCache	com.fasterxml.jackson.core.util.InternCache	com.fasterxml.jackson.core.util.InternCache	TRUE	public	com.fasterxml.jackson.core:jackson-core:2.9.9	FALSE	3
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::LINDEX	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::LRANGE	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
org.springframework:spring-core:5.1.10.RELEASE	io.geekidea.springbootplus.shiro.config.ShiroConfig$$EnhancerBySpringCGLIB$$e69d18fb::$$beanFactory	io.geekidea.springbootplus.shiro.config.ShiroConfig$$EnhancerBySpringCGLIB$$e69d18fb	io.geekidea.springbootplus.shiro.config.ShiroConfig$$EnhancerBySpringCGLIB$$e69d18fb	org.springframework.beans.factory.BeanFactory	FALSE	public	unknownLib	TRUE	11
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.9.9	com.fasterxml.jackson.core.JsonToken::VALUE_NUMBER_FLOAT	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	TRUE	public	com.fasterxml.jackson.core:jackson-core:2.9.9	FALSE	4
io.projectreactor.netty:reactor-netty:0.8.12.RELEASE	io.netty.handler.codec.http.cookie.ClientCookieEncoder::LAX	io.netty.handler.codec.http.cookie.ClientCookieEncoder	io.netty.handler.codec.http.cookie.ClientCookieEncoder	io.netty.handler.codec.http.cookie.ClientCookieEncoder	TRUE	public	io.netty:netty-codec-http:4.1.39.Final	FALSE	1
org.springframework.boot:spring-boot:2.1.9.RELEASE	javax.servlet.DispatcherType::REQUEST	javax.servlet.DispatcherType	javax.servlet.DispatcherType	javax.servlet.DispatcherType	TRUE	public	org.apache.tomcat.embed:tomcat-embed-core:9.0.26	FALSE	1
org.springframework:spring-context:5.1.10.RELEASE	org.springframework.core.OrderComparator::INSTANCE	org.springframework.core.OrderComparator	org.springframework.core.OrderComparator	org.springframework.core.OrderComparator	TRUE	public	org.springframework:spring-core:5.1.10.RELEASE	FALSE	1
com.fasterxml.jackson.core:jackson-databind:2.9.9.3	com.fasterxml.jackson.core.JsonToken::VALUE_FALSE	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	TRUE	public	com.fasterxml.jackson.core:jackson-core:2.9.9	FALSE	3
com.fasterxml.jackson.core:jackson-databind:2.9.9.3	com.fasterxml.jackson.core.JsonGenerator$Feature::AUTO_CLOSE_JSON_CONTENT	com.fasterxml.jackson.core.JsonGenerator$Feature	com.fasterxml.jackson.core.JsonGenerator$Feature	com.fasterxml.jackson.core.JsonGenerator$Feature	TRUE	public	com.fasterxml.jackson.core:jackson-core:2.9.9	FALSE	2
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::MGET	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	2
org.springframework.boot:spring-boot:2.1.9.RELEASE	org.springframework.util.ConcurrentReferenceHashMap$ReferenceType::SOFT	org.springframework.util.ConcurrentReferenceHashMap$ReferenceType	org.springframework.util.ConcurrentReferenceHashMap$ReferenceType	org.springframework.util.ConcurrentReferenceHashMap$ReferenceType	TRUE	public	org.springframework:spring-core:5.1.10.RELEASE	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::LINSERT	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
com.fasterxml.jackson.core:jackson-databind:2.9.9.3	com.fasterxml.jackson.annotation.JsonFormat$Shape::NATURAL	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.9.0	FALSE	2
org.springframework:spring-context:5.1.10.RELEASE	io.geekidea.springbootplus.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$bca3eeda::$$beanFactory	io.geekidea.springbootplus.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$bca3eeda	io.geekidea.springbootplus.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$bca3eeda	org.springframework.beans.factory.BeanFactory	FALSE	public	unknownLib	TRUE	2
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::PFMERGE	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.9.9	com.fasterxml.jackson.databind.DeserializationFeature::ACCEPT_FLOAT_AS_INT	com.fasterxml.jackson.databind.DeserializationFeature	com.fasterxml.jackson.databind.DeserializationFeature	com.fasterxml.jackson.databind.DeserializationFeature	TRUE	public	com.fasterxml.jackson.core:jackson-databind:2.9.9.3	FALSE	2
org.springframework:spring-aop:5.1.10.RELEASE	org.aspectj.lang.reflect.PerClauseKind::SINGLETON	org.aspectj.lang.reflect.PerClauseKind	org.aspectj.lang.reflect.PerClauseKind	org.aspectj.lang.reflect.PerClauseKind	TRUE	public	org.aspectj:aspectjweaver:1.9.4	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::EXPIREAT	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
org.springframework.data:spring-data-redis:2.1.11.RELEASE	io.lettuce.core.protocol.CommandType::HINCRBY	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	io.lettuce.core.protocol.CommandType	TRUE	public	io.lettuce:lettuce-core:5.1.8.RELEASE	FALSE	1
