Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
ch.qos.logback.core.pattern.ConverterUtil::startConverters(Lch/qos/logback/core/pattern/Converter;)V	ch.qos.logback:logback-core:1.2.3	public	ch.qos.logback.core.pattern.DynamicConverter::start()V	ch.qos.logback:logback-core:1.2.3	ch.qos.logback.classic.pattern.MessageConverter::start()V	ch.qos.logback:logback-classic:1.2.3	3	false	false	
org.springframework.beans.factory.support.AbstractBeanFactory::addBeanPostProcessor(Lorg/springframework/beans/factory/config/BeanPostProcessor;)V	org.springframework:spring-beans:5.1.10.RELEASE	public	org.springframework.util.Assert::notNull(Ljava/lang/Object;Ljava/lang/String;)V	org.springframework:spring-core:5.1.10.RELEASE	org.springframework.util.Assert::notNull(Ljava/lang/Object;Ljava/lang/String;)V	org.springframework:spring-core:5.1.10.RELEASE	10	false	false	
org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory::destroy()V	org.springframework.data:spring-data-redis:2.1.11.RELEASE	public	io.lettuce.core.AbstractRedisClient::shutdown(JJLjava/util/concurrent/TimeUnit;)V	io.lettuce:lettuce-core:5.1.8.RELEASE	io.lettuce.core.RedisClient::shutdown(JJLjava/util/concurrent/TimeUnit;)V	io.lettuce:lettuce-core:5.1.8.RELEASE	1	false	false	
org.springframework.context.annotation.ConfigurationClass::validate(Lorg/springframework/beans/factory/parsing/ProblemReporter;)V	org.springframework:spring-context:5.1.10.RELEASE	public	org.springframework.core.type.AnnotationMetadata::isFinal()Z	org.springframework:spring-core:5.1.10.RELEASE	org.springframework.core.type.StandardAnnotationMetadata::isFinal()Z	org.springframework:spring-core:5.1.10.RELEASE	3	false	false	
org.springframework.context.annotation.ConfigurationClassUtils::checkConfigurationClassCandidate(Lorg/springframework/beans/factory/config/BeanDefinition;Lorg/springframework/core/type/classreading/MetadataReaderFactory;)Z	org.springframework:spring-context:5.1.10.RELEASE	public	org.springframework.core.type.AnnotationMetadata::getClassName()Ljava/lang/String;	org.springframework:spring-core:5.1.10.RELEASE	org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor::getClassName()Ljava/lang/String;	org.springframework:spring-core:5.1.10.RELEASE	384	false	false	
org.springframework.context.annotation.ParserStrategyUtils::invokeAwareMethods(Ljava/lang/Object;Lorg/springframework/core/env/Environment;Lorg/springframework/core/io/ResourceLoader;Lorg/springframework/beans/factory/support/BeanDefinitionRegistry;)V	org.springframework:spring-context:5.1.10.RELEASE	public	org.springframework.beans.factory.BeanClassLoaderAware::setBeanClassLoader(Ljava/lang/ClassLoader;)V	org.springframework:spring-beans:5.1.10.RELEASE	org.springframework.boot.autoconfigure.AutoConfigurationImportSelector$AutoConfigurationGroup::setBeanClassLoader(Ljava/lang/ClassLoader;)V	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	1	false	false	
org.springframework.core.convert.TypeDescriptor::getRelatedIfResolvable(Lorg/springframework/core/convert/TypeDescriptor;Lorg/springframework/core/ResolvableType;)Lorg/springframework/core/convert/TypeDescriptor;	org.springframework:spring-core:5.1.10.RELEASE	public	org.springframework.core.convert.TypeDescriptor::getAnnotations()[Ljava/lang/annotation/Annotation;	org.springframework:spring-core:5.1.10.RELEASE	org.springframework.boot.context.properties.bind.BindConverter$ResolvableTypeDescriptor::getAnnotations()[Ljava/lang/annotation/Annotation;	org.springframework.boot:spring-boot:2.1.9.RELEASE	20	false	false	
org.springframework.beans.factory.annotation.QualifierAnnotationAutowireCandidateResolver::isAutowireCandidate(Lorg/springframework/beans/factory/config/BeanDefinitionHolder;Lorg/springframework/beans/factory/config/DependencyDescriptor;)Z	org.springframework:spring-beans:5.1.10.RELEASE	public	org.springframework.beans.factory.support.GenericTypeAwareAutowireCandidateResolver::isAutowireCandidate(Lorg/springframework/beans/factory/config/BeanDefinitionHolder;Lorg/springframework/beans/factory/config/DependencyDescriptor;)Z	org.springframework:spring-beans:5.1.10.RELEASE	org.springframework.context.annotation.ContextAnnotationAutowireCandidateResolver::isAutowireCandidate(Lorg/springframework/beans/factory/config/BeanDefinitionHolder;Lorg/springframework/beans/factory/config/DependencyDescriptor;)Z	org.springframework:spring-context:5.1.10.RELEASE	20	false	false	
org.springframework.boot.env.OriginTrackedYamlLoader$OriginTrackingConstructor::getOrigin(Lorg/yaml/snakeyaml/nodes/Node;)Lorg/springframework/boot/origin/Origin;	org.springframework.boot:spring-boot:2.1.9.RELEASE	public	org.yaml.snakeyaml.error.Mark::getLine()I	org.yaml:snakeyaml:1.23	org.yaml.snakeyaml.error.Mark::getLine()I	org.yaml:snakeyaml:1.23	146	false	false	
org.springframework.data.redis.serializer.GenericJackson2JsonRedisSerializer$NullValueSerializer::GenericJackson2JsonRedisSerializer$NullValueSerializer(Lorg/springframework/data/redis/serializer/GenericJackson2JsonRedisSerializer;Ljava/lang/String;)V	org.springframework.data:spring-data-redis:2.1.11.RELEASE	public	org.springframework.util.StringUtils::hasText(Ljava/lang/String;)Z	org.springframework:spring-core:5.1.10.RELEASE	org.springframework.util.StringUtils::hasText(Ljava/lang/String;)Z	org.springframework:spring-core:5.1.10.RELEASE	1	false	false	
