SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
com.fasterxml.jackson.databind.MappingJsonFactory,com.fasterxml.jackson.core:jackson-databind:2.9.9.3,com.fasterxml.jackson.core.JsonFactory,public,com.fasterxml.jackson.core:jackson-core:2.9.9,1
org.springframework.context.event.DefaultEventListenerFactory,org.springframework:spring-context:5.1.10.RELEASE,org.springframework.core.Ordered,public,org.springframework:spring-core:5.1.10.RELEASE,1
com.alibaba.druid.util.jdbc.ConnectionBase,com.alibaba:druid:1.1.20,java.sql.Connection,public,java.sql,1
org.springframework.http.converter.json.SpringHandlerInstantiator,org.springframework:spring-web:5.1.10.RELEASE,com.fasterxml.jackson.databind.cfg.HandlerInstantiator,public,com.fasterxml.jackson.core:jackson-databind:2.9.9.3,1
io.netty.util.concurrent.GlobalEventExecutor$2,io.netty:netty-common:4.1.39.Final,java.security.PrivilegedAction,public,java.security,1
springfox.documentation.spi.service.OperationBuilderPlugin,io.springfox:springfox-spi:2.6.1,org.springframework.plugin.core.Plugin,public,org.springframework.plugin:spring-plugin-core:1.2.0.RELEASE,1
org.springframework.web.context.ConfigurableWebEnvironment,org.springframework:spring-web:5.1.10.RELEASE,org.springframework.core.env.ConfigurableEnvironment,public,org.springframework:spring-core:5.1.10.RELEASE,1
springfox.documentation.swagger.readers.operation.OperationNicknameIntoUniqueIdReader,io.springfox:springfox-swagger-common:2.6.1,springfox.documentation.spi.service.OperationBuilderPlugin,public,io.springfox:springfox-spi:2.6.1,1
org.springframework.data.redis.connection.convert.StringToDataTypeConverter,org.springframework.data:spring-data-redis:2.1.11.RELEASE,org.springframework.core.convert.converter.Converter,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping,org.springframework:spring-webmvc:5.1.10.RELEASE,org.springframework.context.EmbeddedValueResolverAware,public,org.springframework:spring-context:5.1.10.RELEASE,1
org.apache.shiro.spring.LifecycleBeanPostProcessor,org.apache.shiro:shiro-spring:1.4.1,org.springframework.core.PriorityOrdered,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.boot.env.SpringApplicationJsonEnvironmentPostProcessor,org.springframework.boot:spring-boot:2.1.9.RELEASE,org.springframework.core.Ordered,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory,org.springframework.data:spring-data-redis:2.1.11.RELEASE,org.springframework.beans.factory.InitializingBean,public,org.springframework:spring-beans:5.1.10.RELEASE,1
org.hibernate.validator.internal.constraintvalidators.hv.pl.PolishNumberValidator,org.hibernate.validator:hibernate-validator:6.0.17.Final,javax.validation.ConstraintValidator,public,javax.validation:validation-api:2.0.1.Final,1
org.springframework.boot.context.properties.bind.BindConverter$CompositeConversionService,org.springframework.boot:spring-boot:2.1.9.RELEASE,org.springframework.core.convert.ConversionService,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.boot.autoconfigure.jdbc.DataSourceProperties,org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE,org.springframework.beans.factory.InitializingBean,public,org.springframework:spring-beans:5.1.10.RELEASE,1
org.apache.shiro.web.mgt.CookieRememberMeManager,org.apache.shiro:shiro-web:1.4.1,org.apache.shiro.mgt.AbstractRememberMeManager,public,org.apache.shiro:shiro-core:1.4.1,1
org.hibernate.validator.constraintvalidation.HibernateConstraintValidator,org.hibernate.validator:hibernate-validator:6.0.17.Final,javax.validation.ConstraintValidator,public,javax.validation:validation-api:2.0.1.Final,1
org.springframework.aop.framework.AopConfigException,org.springframework:spring-aop:5.1.10.RELEASE,org.springframework.core.NestedRuntimeException,public,org.springframework:spring-core:5.1.10.RELEASE,1
ch.qos.logback.classic.sift.SiftingAppender,ch.qos.logback:logback-classic:1.2.3,ch.qos.logback.core.sift.SiftingAppenderBase,public,ch.qos.logback:logback-core:1.2.3,1
org.springframework.web.context.support.WebApplicationContextUtils$WebRequestObjectFactory,org.springframework:spring-web:5.1.10.RELEASE,org.springframework.beans.factory.ObjectFactory,public,org.springframework:spring-beans:5.1.10.RELEASE,1
org.apache.shiro.web.session.mgt.WebSessionManager,org.apache.shiro:shiro-web:1.4.1,org.apache.shiro.session.mgt.SessionManager,public,org.apache.shiro:shiro-core:1.4.1,1
com.alibaba.druid.proxy.jdbc.StatementProxy,com.alibaba:druid:1.1.20,java.sql.Statement,public,java.sql,1
org.springframework.context.expression.StandardBeanExpressionResolver$1,org.springframework:spring-context:5.1.10.RELEASE,org.springframework.expression.ParserContext,public,org.springframework:spring-expression:5.1.10.RELEASE,1
ch.qos.logback.classic.joran.action.LevelAction,ch.qos.logback:logback-classic:1.2.3,ch.qos.logback.core.joran.action.Action,public,ch.qos.logback:logback-core:1.2.3,1
org.hibernate.validator.internal.constraintvalidators.bv.size.SizeValidatorForArraysOfInt,org.hibernate.validator:hibernate-validator:6.0.17.Final,javax.validation.ConstraintValidator,public,javax.validation:validation-api:2.0.1.Final,1
springfox.documentation.swagger.readers.operation.SwaggerResponseMessageReader,io.springfox:springfox-swagger-common:2.6.1,springfox.documentation.spi.service.OperationBuilderPlugin,public,io.springfox:springfox-spi:2.6.1,1
org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalDateConverter,org.springframework:spring-context:5.1.10.RELEASE,org.springframework.core.convert.converter.Converter,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping,org.springframework.boot:spring-boot-actuator:2.1.9.RELEASE,org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping,public,org.springframework:spring-webmvc:5.1.10.RELEASE,1
org.apache.shiro.spring.web.ShiroFilterFactoryBean,org.apache.shiro:shiro-spring:1.4.1,org.springframework.beans.factory.config.BeanPostProcessor,public,org.springframework:spring-beans:5.1.10.RELEASE,1
ch.qos.logback.classic.LoggerContext,ch.qos.logback:logback-classic:1.2.3,ch.qos.logback.core.ContextBase,public,ch.qos.logback:logback-core:1.2.3,1
io.netty.util.internal.CleanerJava6$1,io.netty:netty-common:4.1.39.Final,java.security.PrivilegedAction,public,java.security,1
springfox.documentation.spring.web.scanners.ApiListingReader,io.springfox:springfox-spring-web:2.6.1,springfox.documentation.spi.service.ApiListingBuilderPlugin,public,io.springfox:springfox-spi:2.6.1,1
org.springframework.data.redis.connection.convert.LongToBooleanConverter,org.springframework.data:spring-data-redis:2.1.11.RELEASE,org.springframework.core.convert.converter.Converter,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.boot.context.logging.ClasspathLoggingApplicationListener,org.springframework.boot:spring-boot:2.1.9.RELEASE,org.springframework.context.event.GenericApplicationListener,public,org.springframework:spring-context:5.1.10.RELEASE,1
org.springframework.boot.convert.StringToEnumIgnoringCaseConverterFactory,org.springframework.boot:spring-boot:2.1.9.RELEASE,org.springframework.core.convert.converter.ConverterFactory,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.aop.aspectj.annotation.AbstractAspectJAdvisorFactory$AspectJAnnotationParameterNameDiscoverer,org.springframework:spring-aop:5.1.10.RELEASE,org.springframework.core.ParameterNameDiscoverer,public,org.springframework:spring-core:5.1.10.RELEASE,1
org.springframework.boot.ExitCodeEvent,org.springframework.boot:spring-boot:2.1.9.RELEASE,org.springframework.context.ApplicationEvent,public,org.springframework:spring-context:5.1.10.RELEASE,1
