Class Name,Class Visibility,Class Library,Usage,Used In Library
com.fasterxml.jackson.annotation.JsonIgnoreType,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,cast,com.fasterxml.jackson.core:jackson-databind:2.11.1
com.google.gson.Gson,public,com.google.code.gson:gson:2.6.2,instantiation,io.rest-assured:json-path:4.4.0
java.util.Set,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
io.restassured.internal.path.json.JSONAssertion,public,io.rest-assured:json-path:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
java.util.AbstractMap,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
groovy.json.JsonToken,public,org.codehaus.groovy:groovy-json:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
java.lang.reflect.AnnotatedElement,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
java.lang.Throwable,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
com.fasterxml.jackson.core.base.ParserMinimalBase,public,com.fasterxml.jackson.core:jackson-core:2.11.1,subtyping,com.fasterxml.jackson.core:jackson-databind:2.11.1
com.fasterxml.jackson.core.io.SegmentedStringWriter,public,com.fasterxml.jackson.core:jackson-core:2.11.1,instantiation,com.fasterxml.jackson.core:jackson-databind:2.11.1
java.lang.Float,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
com.fasterxml.jackson.core.json.JsonWriteFeature,public,com.fasterxml.jackson.core:jackson-core:2.11.1,cast,com.fasterxml.jackson.core:jackson-databind:2.11.1
java.io.BufferedOutputStream,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
javax.naming.InitialContext,public,unknownLib,Class.forName,org.eclipse:yasson:1.0.6
org.codehaus.groovy.runtime.callsite.StaticMetaMethodSite$StaticMetaMethodSiteNoUnwrapNoCoerce,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:json-path:4.4.0
groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,subtyping,org.codehaus.groovy:groovy-json:3.0.8
org.apache.johnzon.core.JsonReaderFactoryImpl,default,org.apache.johnzon:johnzon-core:1.1.11,method call,org.apache.johnzon:johnzon-mapper:1.1.11
java.util.regex.Matcher,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
javax.json.JsonWriterFactory,public,jakarta.json:jakarta.json-api:1.1.6,subtyping,org.apache.johnzon:johnzon-core:1.1.11
groovy.lang.GString,public,org.codehaus.groovy:groovy:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
com.fasterxml.jackson.core.SerializableString,public,com.fasterxml.jackson.core:jackson-core:2.11.1,cast,com.fasterxml.jackson.core:jackson-databind:2.11.1
javax.json.spi.JsonProvider,public,jakarta.json:jakarta.json-api:1.1.6,cast,org.eclipse:yasson:1.0.6
com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,method call,com.fasterxml.jackson.core:jackson-databind:2.11.1
java.io.DataOutputStream,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
org.codehaus.groovy.runtime.BytecodeInterface8,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:rest-assured-common:4.4.0
com.fasterxml.jackson.core.JsonGenerationException,public,com.fasterxml.jackson.core:jackson-core:2.11.1,instantiation,com.fasterxml.jackson.core:jackson-databind:2.11.1
org.codehaus.groovy.runtime.ScriptBytecodeAdapter,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:json-path:4.4.0
com.fasterxml.jackson.annotation.JsonAnyGetter,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,cast,com.fasterxml.jackson.core:jackson-databind:2.11.1
java.util.Collection,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,subtyping,io.rest-assured:json-path:4.4.0
io.restassured.internal.path.json.JSONAssertion,public,io.rest-assured:json-path:4.4.0,Class.forName,org.codehaus.groovy:groovy:3.0.8
javax.json.stream.JsonParser$Event,public,jakarta.json:jakarta.json-api:1.1.6,method call,org.eclipse:yasson:1.0.6
com.fasterxml.jackson.annotation.JsonInclude,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,cast,com.fasterxml.jackson.core:jackson-databind:2.11.1
java.util.UUID,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
javax.json.bind.annotation.JsonbVisibility,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,cast,org.eclipse:yasson:1.0.6
groovy.json.JsonToken,public,org.codehaus.groovy:groovy-json:3.0.8,method call,org.codehaus.groovy:groovy:3.0.8
com.fasterxml.jackson.annotation.JsonPropertyDescription,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,cast,com.fasterxml.jackson.core:jackson-databind:2.11.1
groovy.lang.Reference,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:json-path:4.4.0
org.codehaus.groovy.runtime.callsite.CallSiteArray,public,org.codehaus.groovy:groovy:3.0.8,instantiation,io.rest-assured:rest-assured-common:4.4.0
org.codehaus.jackson.util.TokenBuffer,public,org.codehaus.jackson:jackson-core-asl:1.9.11,instantiation,org.codehaus.jackson:jackson-mapper-asl:1.9.11
com.fasterxml.jackson.core.type.WritableTypeId,public,com.fasterxml.jackson.core:jackson-core:2.11.1,instantiation,com.fasterxml.jackson.core:jackson-databind:2.11.1
org.codehaus.jackson.JsonGenerator,public,org.codehaus.jackson:jackson-core-asl:1.9.11,Class.forName,io.rest-assured:rest-assured-common:4.4.0
groovy.json.JsonOutput,public,org.codehaus.groovy:groovy-json:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
com.fasterxml.jackson.core.JsonGenerator,public,com.fasterxml.jackson.core:jackson-core:2.11.1,Class.forName,io.rest-assured:rest-assured-common:4.4.0
javax.json.bind.annotation.JsonbNumberFormat,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,cast,org.eclipse:yasson:1.0.6
jdk.internal.reflect.ConstructorAccessorImpl,default,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
org.codehaus.jackson.io.SerializedString,public,org.codehaus.jackson:jackson-core-asl:1.9.11,instantiation,org.codehaus.jackson:jackson-mapper-asl:1.9.11
io.restassured.internal.path.json.ConfigurableJsonSlurper$__clinit__closure1,public,io.rest-assured:json-path:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
java.math.BigDecimal,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
org.codehaus.jackson.annotate.JsonValue,public,org.codehaus.jackson:jackson-core-asl:1.9.11,cast,org.codehaus.jackson:jackson-mapper-asl:1.9.11
javax.json.bind.JsonbException,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,instantiation,org.eclipse:yasson:1.0.6
org.codehaus.jackson.annotate.JsonIgnoreType,public,org.codehaus.jackson:jackson-core-asl:1.9.11,cast,org.codehaus.jackson:jackson-mapper-asl:1.9.11
com.fasterxml.jackson.annotation.JsonSubTypes,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,cast,com.fasterxml.jackson.core:jackson-databind:2.11.1
org.codehaus.groovy.runtime.dgm$1262,public,org.codehaus.groovy:groovy:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
org.codehaus.jackson.annotate.JsonTypeName,public,org.codehaus.jackson:jackson-core-asl:1.9.11,cast,org.codehaus.jackson:jackson-mapper-asl:1.9.11
groovy.json.JsonBuilder,public,org.codehaus.groovy:groovy-json:3.0.8,method call,org.codehaus.groovy:groovy:3.0.8
io.restassured.internal.path.json.mapping.JsonPathJackson1ObjectDeserializer,public,io.rest-assured:json-path:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
org.codehaus.jackson.map.ObjectMapper,public,org.codehaus.jackson:jackson-mapper-asl:1.9.11,instantiation,io.rest-assured:json-path:4.4.0
org.apache.johnzon.core.JsonObjectImpl,default,org.apache.johnzon:johnzon-core:1.1.11,method call,org.apache.johnzon:johnzon-mapper:1.1.11
javax.json.bind.annotation.JsonbDateFormat,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,cast,org.eclipse:yasson:1.0.6
java.util.BitSet,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
java.io.BufferedReader,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,subtyping,io.rest-assured:json-path:4.4.0
org.codehaus.groovy.runtime.callsite.PogoGetPropertySite,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:json-path:4.4.0
org.codehaus.groovy.runtime.typehandling.DefaultTypeTransformation,public,org.codehaus.groovy:groovy:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
org.codehaus.jackson.annotate.JsonPropertyOrder,public,org.codehaus.jackson:jackson-core-asl:1.9.11,cast,org.codehaus.jackson:jackson-mapper-asl:1.9.11
io.restassured.path.json.mapper.factory.JohnzonObjectMapperFactory,public,io.rest-assured:json-path:4.4.0,Class.forName,org.codehaus.groovy:groovy:3.0.8
com.fasterxml.jackson.annotation.JsonProperty$Access,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,method call,com.fasterxml.jackson.core:jackson-databind:2.11.1
org.codehaus.jackson.annotate.JsonWriteNullProperties,public,org.codehaus.jackson:jackson-core-asl:1.9.11,cast,org.codehaus.jackson:jackson-mapper-asl:1.9.11
javax.json.JsonValue,public,jakarta.json:jakarta.json-api:1.1.6,cast,org.apache.johnzon:johnzon-mapper:1.1.11
org.codehaus.groovy.runtime.GStringImpl,public,org.codehaus.groovy:groovy:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
org.codehaus.groovy.runtime.dgm$1155,public,org.codehaus.groovy:groovy:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
io.restassured.path.json.mapper.factory.JsonbObjectMapperFactory,public,io.rest-assured:json-path:4.4.0,Class.forName,org.codehaus.groovy:groovy:3.0.8
javax.json.bind.serializer.JsonbSerializer,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,cast,org.eclipse:yasson:1.0.6
io.restassured.internal.path.json.mapping.JsonPathJohnzonObjectDeserializer$_deserialize_closure1,public,io.rest-assured:json-path:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
groovy.lang.GroovyShell,public,org.codehaus.groovy:groovy:3.0.8,cast,io.rest-assured:json-path:4.4.0
java.util.Locale,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
javax.json.bind.Jsonb,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,subtyping,org.eclipse:yasson:1.0.6
com.fasterxml.jackson.databind.ObjectMapper,public,com.fasterxml.jackson.core:jackson-databind:2.11.1,method call,io.rest-assured:json-path:4.4.0
