Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.eclipse.yasson.internal.JsonbRiParser::hasNext()Z	org.eclipse:yasson:1.0.6	public	javax.json.stream.JsonParser::hasNext()Z	jakarta.json:jakarta.json-api:1.1.6	org.apache.johnzon.core.JsonStreamParserImpl::hasNext()Z	org.apache.johnzon:johnzon-core:1.1.11	18	false	false	
io.restassured.internal.path.json.mapping.JsonPathJohnzonObjectDeserializer::deserialize(Lio/restassured/common/mapper/ObjectDeserializationContext;)Ljava/lang/Object;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.callsite.CallSite::callCurrent(Lgroovy/lang/GroovyObject;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.callsite.PogoMetaMethodSite$PogoCachedMethodSiteNoUnwrapNoCoerce::callCurrent(Lgroovy/lang/GroovyObject;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	1	false	false	
io.restassured.internal.path.json.mapping.JsonPathJackson2ObjectDeserializer::deserialize(Lio/restassured/common/mapper/ObjectDeserializationContext;)Ljava/lang/Object;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.ScriptBytecodeAdapter::castToType(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.ScriptBytecodeAdapter::castToType(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	12	false	false	
io.restassured.internal.path.json.mapping.JsonObjectDeserializer::deserializeWithJackson1(Lio/restassured/common/mapper/ObjectDeserializationContext;Lio/restassured/path/json/mapper/factory/Jackson1ObjectMapperFactory;)Ljava/lang/Object;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.callsite.CallSite::callConstructor(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.callsite.AbstractCallSite::callConstructor(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	1	false	false	
io.restassured.internal.path.json.ConfigurableJsonSlurper::parseArray(Lgroovy/json/JsonLexer;)Ljava/util/List;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.callsite.CallSite::callConstructor(Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.callsite.ConstructorSite$ConstructorSiteNoUnwrapNoCoerce::callConstructor(Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	72	false	false	
groovy.json.JsonLexer::nextToken()Lgroovy/json/JsonToken;	org.codehaus.groovy:groovy-json:3.0.8	public	groovy.io.LineColumnReader::getColumn()J	org.codehaus.groovy:groovy:3.0.8	groovy.io.LineColumnReader::getColumn()J	org.codehaus.groovy:groovy:3.0.8	7466	false	false	
org.codehaus.jackson.map.deser.std.StringDeserializer::deserialize(Lorg/codehaus/jackson/JsonParser;Lorg/codehaus/jackson/map/DeserializationContext;)Ljava/lang/String;	org.codehaus.jackson:jackson-mapper-asl:1.9.11	public	org.codehaus.jackson.JsonParser::getCurrentToken()Lorg/codehaus/jackson/JsonToken;	org.codehaus.jackson:jackson-core-asl:1.9.11	org.codehaus.jackson.impl.ReaderBasedParser::getCurrentToken()Lorg/codehaus/jackson/JsonToken;	org.codehaus.jackson:jackson-core-asl:1.9.11	6	false	false	
org.codehaus.groovy.runtime.callsite.PogoMetaMethodSite::nonParamCheck(Ljava/lang/Object;)Z	org.codehaus.groovy:groovy:3.0.8	public	groovy.lang.GroovyObject::getMetaClass()Lgroovy/lang/MetaClass;	org.codehaus.groovy:groovy:3.0.8	io.restassured.internal.path.json.ConfigurableJsonSlurper::getMetaClass()Lgroovy/lang/MetaClass;	io.rest-assured:json-path:4.4.0	533	false	false	
io.restassured.internal.common.assertion.AssertionSupport::containsAny(Ljava/lang/String;Ljava/lang/Object;)Z	io.rest-assured:rest-assured-common:4.4.0	public	org.codehaus.groovy.runtime.BytecodeInterface8::isOrigZ()Z	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.BytecodeInterface8::isOrigZ()Z	org.codehaus.groovy:groovy:3.0.8	20	false	false	
io.restassured.internal.path.json.mapping.JsonObjectDeserializer::deserialize(Ljava/lang/String;Ljava/lang/Class;Lio/restassured/path/json/config/JsonPathConfig;)Ljava/lang/Object;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.callsite.CallSite::callConstructor(Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.callsite.AbstractCallSite::callConstructor(Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	1	false	false	
com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;	com.fasterxml.jackson.core:jackson-core:2.11.1	protected	com.fasterxml.jackson.core.JsonFactory::_createParser([CIILcom/fasterxml/jackson/core/io/IOContext;Z)Lcom/fasterxml/jackson/core/JsonParser;	com.fasterxml.jackson.core:jackson-core:2.11.1	com.fasterxml.jackson.databind.MappingJsonFactory::_createParser([CIILcom/fasterxml/jackson/core/io/IOContext;Z)Lcom/fasterxml/jackson/core/JsonParser;	com.fasterxml.jackson.core:jackson-databind:2.11.1	12	false	false	
com.fasterxml.jackson.databind.cfg.ConfigOverrides::ConfigOverrides()V	com.fasterxml.jackson.core:jackson-databind:2.11.1	public	com.fasterxml.jackson.annotation.JsonInclude$Value::empty()Lcom/fasterxml/jackson/annotation/JsonInclude$Value;	com.fasterxml.jackson.core:jackson-annotations:2.11.1	com.fasterxml.jackson.annotation.JsonInclude$Value::empty()Lcom/fasterxml/jackson/annotation/JsonInclude$Value;	com.fasterxml.jackson.core:jackson-annotations:2.11.1	12	false	false	
io.restassured.internal.path.json.mapping.JsonPathJohnzonObjectDeserializer::$getStaticMetaClass()Lgroovy/lang/MetaClass;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.reflection.ClassInfo::getMetaClass()Lgroovy/lang/MetaClass;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.reflection.ClassInfo::getMetaClass()Lgroovy/lang/MetaClass;	org.codehaus.groovy:groovy:3.0.8	2	false	false	
com.fasterxml.jackson.databind.deser.std.NumberDeserializers$FloatDeserializer::_parseFloat(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;)Ljava/lang/Float;	com.fasterxml.jackson.core:jackson-databind:2.11.1	public	com.fasterxml.jackson.core.JsonParser::getFloatValue()F	com.fasterxml.jackson.core:jackson-core:2.11.1	com.fasterxml.jackson.core.json.ReaderBasedJsonParser::getFloatValue()F	com.fasterxml.jackson.core:jackson-core:2.11.1	5	false	false	
io.restassured.internal.path.json.JSONAssertion::getAsJsonObject(Ljava/lang/Object;)Ljava/lang/Object;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.ArrayUtil::createArray(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)[Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.ArrayUtil::createArray(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)[Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	91	false	false	
io.restassured.internal.path.json.mapping.JsonPathJsonbObjectDeserializer::createJsonbObjectMapper(Ljava/lang/reflect/Type;Ljava/lang/String;)Ljavax/json/bind/Jsonb;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.ScriptBytecodeAdapter::castToType(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.ScriptBytecodeAdapter::castToType(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	2	false	false	
com.fasterxml.jackson.databind.PropertyName::construct(Ljava/lang/String;)Lcom/fasterxml/jackson/databind/PropertyName;	com.fasterxml.jackson.core:jackson-databind:2.11.1	public	com.fasterxml.jackson.core.util.InternCache::intern(Ljava/lang/String;)Ljava/lang/String;	com.fasterxml.jackson.core:jackson-core:2.11.1	com.fasterxml.jackson.core.util.InternCache::intern(Ljava/lang/String;)Ljava/lang/String;	com.fasterxml.jackson.core:jackson-core:2.11.1	31	false	false	
io.restassured.internal.common.assertion.AssertionSupport$1::methodMissing(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;	io.rest-assured:rest-assured-common:4.4.0	public	org.codehaus.groovy.runtime.typehandling.ShortTypeHandling::castToString(Ljava/lang/Object;)Ljava/lang/String;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.typehandling.ShortTypeHandling::castToString(Ljava/lang/Object;)Ljava/lang/String;	org.codehaus.groovy:groovy:3.0.8	4	false	false	
groovy.lang.GroovyObjectSupport::GroovyObjectSupport()V	org.codehaus.groovy:groovy:3.0.8	private	groovy.lang.GroovyObjectSupport::getDefaultMetaClass()Lgroovy/lang/MetaClass;	org.codehaus.groovy:groovy:3.0.8	io.restassured.internal.path.json.ConfigurableJsonSlurper$__clinit__closure1::getDefaultMetaClass()Lgroovy/lang/MetaClass;	io.rest-assured:json-path:4.4.0	1	false	false	
org.codehaus.groovy.runtime.callsite.PogoMetaMethodSite::nonParamCheck(Ljava/lang/Object;)Z	org.codehaus.groovy:groovy:3.0.8	public	groovy.lang.GroovyObject::getMetaClass()Lgroovy/lang/MetaClass;	org.codehaus.groovy:groovy:3.0.8	io.restassured.internal.common.assertion.AssertionSupport$4::getMetaClass()Lgroovy/lang/MetaClass;	io.rest-assured:rest-assured-common:4.4.0	328	false	false	
io.restassured.internal.path.json.mapping.JsonPathJohnzonObjectDeserializer::createJohnzonObjectMapper(Ljava/lang/reflect/Type;Ljava/lang/String;)Lorg/apache/johnzon/mapper/Mapper;	io.rest-assured:json-path:4.4.0	public	org.codehaus.groovy.runtime.callsite.CallSite::call(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	org.codehaus.groovy.runtime.callsite.AbstractCallSite::call(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	org.codehaus.groovy:groovy:3.0.8	1	false	false	
