Library Name	No. of Public/Protected Methods	No. of Methods Called By Tests	Classes
unknownLib	0	0	 
com.google.code.gson:gson:2.6.2	642	0	com.google.gson.internal.bind.TimeTypeAdapter$1:com.google.gson.reflect.TypeToken:com.google.gson.internal.bind.TypeAdapters$23:com.google.gson.internal.bind.TypeAdapters$24:com.google.gson.internal.LinkedTreeMap$KeySet:com.google.gson.internal.bind.TypeAdapters$25:com.google.gson.TreeTypeAdapter$SingleTypeFactory:com.google.gson.internal.bind.TypeAdapters$26:com.google.gson.internal.bind.TypeAdapters$20:com.google.gson.GsonBuilder:com.google.gson.internal.bind.JsonTreeWriter:com.google.gson.internal.bind.TypeAdapters$21:com.google.gson.TypeAdapter:com.google.gson.internal.bind.TypeAdapters$22:com.google.gson.JsonDeserializationContext:com.google.gson.internal.bind.TypeAdapters$27:com.google.gson.FieldNamingStrategy:com.google.gson.internal.bind.TypeAdapters$28:com.google.gson.internal.bind.TypeAdapters$29:com.google.gson.internal.bind.SqlDateTypeAdapter:com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper:com.google.gson.ExclusionStrategy:com.google.gson.internal.bind.TimeTypeAdapter:com.google.gson.internal.LinkedHashTreeMap$KeySet:com.google.gson.stream.JsonScope:com.google.gson.internal.bind.TypeAdapters$34:com.google.gson.internal.bind.TypeAdapters$35:com.google.gson.internal.bind.TypeAdapters$36:com.google.gson.internal.bind.TypeAdapters$30:com.google.gson.internal.bind.TypeAdapters$31:com.google.gson.internal.bind.TypeAdapters$32:com.google.gson.internal.bind.TypeAdapters$33:com.google.gson.JsonArray:com.google.gson.LongSerializationPolicy:com.google.gson.internal.bind.TypeAdapters$35$1:com.google.gson.internal.Excluder:com.google.gson.internal.LinkedTreeMap$EntrySet$1:com.google.gson.annotations.Until:com.google.gson.TypeAdapterFactory:com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl:com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter:com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter:com.google.gson.stream.JsonReader$1:com.google.gson.internal.$Gson$Types:com.google.gson.JsonParser:com.google.gson.FieldAttributes:com.google.gson.internal.bind.util.ISO8601Utils:com.google.gson.stream.JsonReader:com.google.gson.InstanceCreator:com.google.gson.internal.bind.MapTypeAdapterFactory:com.google.gson.Gson$FutureTypeAdapter:com.google.gson.internal.LinkedTreeMap$Node:com.google.gson.stream.JsonWriter:com.google.gson.internal.bind.ArrayTypeAdapter$1:com.google.gson.internal.$Gson$Preconditions:com.google.gson.internal.Streams:com.google.gson.internal.bind.TypeAdapters$12:com.google.gson.internal.bind.TypeAdapters$13:com.google.gson.internal.bind.TypeAdapters$14:com.google.gson.internal.bind.TypeAdapters$15:com.google.gson.internal.LinkedHashTreeMap$EntrySet:com.google.gson.internal.bind.TypeAdapters$10:com.google.gson.internal.Primitives:com.google.gson.internal.bind.TypeAdapters$11:com.google.gson.internal.ConstructorConstructor$5:com.google.gson.stream.MalformedJsonException:com.google.gson.internal.bind.ArrayTypeAdapter:com.google.gson.internal.ConstructorConstructor$4:com.google.gson.internal.ConstructorConstructor$3:com.google.gson.stream.JsonToken:com.google.gson.internal.ConstructorConstructor$2:com.google.gson.internal.bind.TypeAdapters$16:com.google.gson.internal.ConstructorConstructor$1:com.google.gson.internal.bind.TypeAdapters$17:com.google.gson.internal.ObjectConstructor:com.google.gson.internal.bind.TypeAdapters$18:com.google.gson.internal.Streams$AppendableWriter$CurrentWrite:com.google.gson.internal.bind.DateTypeAdapter$1:com.google.gson.internal.bind.TypeAdapters$19:com.google.gson.internal.LinkedHashTreeMap$Node:com.google.gson.JsonNull:com.google.gson.internal.ConstructorConstructor$9:com.google.gson.internal.ConstructorConstructor$8:com.google.gson.JsonStreamParser:com.google.gson.TreeTypeAdapter:com.google.gson.internal.ConstructorConstructor$7:com.google.gson.LongSerializationPolicy$1:com.google.gson.internal.ConstructorConstructor$6:com.google.gson.LongSerializationPolicy$2:com.google.gson.JsonObject:com.google.gson.internal.bind.JsonTreeReader$1:com.google.gson.TypeAdapter$1:com.google.gson.Gson$6:com.google.gson.internal.UnsafeAllocator$3:com.google.gson.Gson$7:com.google.gson.internal.UnsafeAllocator$4:com.google.gson.internal.UnsafeAllocator$1:com.google.gson.internal.UnsafeAllocator$2:com.google.gson.Gson$2:com.google.gson.Gson$3:com.google.gson.internal.bind.ObjectTypeAdapter:com.google.gson.Gson$4:com.google.gson.JsonSerializer:com.google.gson.Gson$5:com.google.gson.internal.bind.DateTypeAdapter:com.google.gson.internal.bind.CollectionTypeAdapterFactory$Adapter:com.google.gson.Gson$1:com.google.gson.internal.bind.TypeAdapters$26$1:com.google.gson.internal.LinkedHashTreeMap:com.google.gson.Gson:com.google.gson.internal.LinkedTreeMap$1:com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator:com.google.gson.internal.LinkedTreeMap$KeySet$1:com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$BoundField:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:com.google.gson.internal.LinkedHashTreeMap$AvlIterator:com.google.gson.internal.LinkedTreeMap$EntrySet:com.google.gson.annotations.Expose:com.google.gson.internal.$Gson$Types$WildcardTypeImpl:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1:com.google.gson.internal.LinkedHashTreeMap$KeySet$1:com.google.gson.annotations.SerializedName:com.google.gson.internal.bind.TypeAdapters$2:com.google.gson.internal.Excluder$1:com.google.gson.internal.bind.JsonTreeReader:com.google.gson.internal.bind.JsonTreeWriter$1:com.google.gson.internal.bind.TypeAdapters$1:com.google.gson.internal.bind.SqlDateTypeAdapter$1:com.google.gson.internal.bind.TypeAdapters$8:com.google.gson.JsonIOException:com.google.gson.internal.bind.TypeAdapters$7:com.google.gson.internal.bind.TypeAdapters:com.google.gson.internal.bind.TypeAdapters$9:com.google.gson.internal.bind.TypeAdapters$4:com.google.gson.internal.LinkedTreeMap:com.google.gson.internal.bind.TypeAdapters$3:com.google.gson.internal.bind.ObjectTypeAdapter$2:com.google.gson.internal.bind.TypeAdapters$6:com.google.gson.internal.bind.ObjectTypeAdapter$1:com.google.gson.internal.bind.TypeAdapters$5:com.google.gson.internal.LazilyParsedNumber:com.google.gson.internal.LinkedHashTreeMap$AvlBuilder:com.google.gson.JsonParseException:com.google.gson.internal.ConstructorConstructor:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter:com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator:com.google.gson.JsonElement:com.google.gson.FieldNamingPolicy:com.google.gson.internal.bind.CollectionTypeAdapterFactory:com.google.gson.annotations.JsonAdapter:com.google.gson.DefaultDateTypeAdapter:com.google.gson.JsonSerializationContext:com.google.gson.internal.UnsafeAllocator:com.google.gson.JsonPrimitive:com.google.gson.internal.Streams$AppendableWriter:com.google.gson.internal.ConstructorConstructor$13:com.google.gson.internal.ConstructorConstructor$14:com.google.gson.JsonSyntaxException:com.google.gson.internal.LinkedHashTreeMap$EntrySet$1:com.google.gson.FieldNamingPolicy$4:com.google.gson.FieldNamingPolicy$3:com.google.gson.annotations.Since:com.google.gson.FieldNamingPolicy$5:com.google.gson.internal.JsonReaderInternalAccess:com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl:com.google.gson.internal.LinkedHashTreeMap$1:com.google.gson.JsonDeserializer:com.google.gson.internal.ConstructorConstructor$10:com.google.gson.FieldNamingPolicy$2:com.google.gson.internal.ConstructorConstructor$11:com.google.gson.FieldNamingPolicy$1:com.google.gson.internal.ConstructorConstructor$12
org.glassfish:jakarta.json:module	374	0	org.glassfish.json.JsonNumberImpl$JsonLongNumber:org.glassfish.json.JsonTokenizer:org.glassfish.json.JsonReaderFactoryImpl:org.glassfish.json.UnicodeDetectingInputStream:org.glassfish.json.JsonPatchImpl:org.glassfish.json.NodeReference$1:org.glassfish.json.JsonWriterImpl$NoFlushOutputStream:org.glassfish.json.JsonGeneratorImpl$Context:org.glassfish.json.JsonNumberImpl:org.glassfish.json.JsonWriterImpl$1:org.glassfish.json.JsonPatchBuilderImpl:org.glassfish.json.JsonParserImpl$NoneContext:org.glassfish.json.JsonObjectBuilderImpl$JsonObjectImpl:org.glassfish.json.JsonNumberImpl$JsonIntNumber:org.glassfish.json.JsonPointerImpl:org.glassfish.json.JsonGeneratorImpl$1:org.glassfish.json.NodeReference$RootReference:org.glassfish.json.JsonPrettyGeneratorImpl:org.glassfish.json.JsonWriterFactoryImpl:org.glassfish.json.JsonParserImpl$Stack:org.glassfish.json.JsonParserImpl$ArrayContext:org.glassfish.json.JsonBuilderFactoryImpl:org.glassfish.json.JsonPatchImpl$DiffGenerator:org.glassfish.json.JsonMessages:org.glassfish.json.JsonLocationImpl:org.glassfish.json.JsonStructureParser:org.glassfish.json.JsonWriterImpl:org.glassfish.json.NodeReference:org.glassfish.json.JsonParserImpl$Context:org.glassfish.json.JsonTokenizer$JsonToken:org.glassfish.json.MapUtil:org.glassfish.json.JsonReaderImpl:org.glassfish.json.NodeReference$ArrayReference:org.glassfish.json.BufferPoolImpl:org.glassfish.json.JsonStructureParser$ObjectScope:org.glassfish.json.JsonStructureParser$1:org.glassfish.json.JsonGeneratorImpl$Scope:org.glassfish.json.JsonArrayBuilderImpl:org.glassfish.json.NodeReference$ObjectReference:org.glassfish.json.JsonGeneratorImpl:org.glassfish.json.JsonParserFactoryImpl:org.glassfish.json.JsonNumberImpl$JsonBigDecimalNumber:org.glassfish.json.JsonArrayBuilderImpl$JsonArrayImpl:org.glassfish.json.JsonMergePatchImpl:org.glassfish.json.JsonStringImpl:org.glassfish.json.JsonStructureParser$Scope:org.glassfish.json.JsonProviderImpl:org.glassfish.json.JsonParserImpl$ObjectContext:org.glassfish.json.JsonPatchImpl$1:module-info:org.glassfish.json.JsonObjectBuilderImpl:org.glassfish.json.JsonParserImpl:org.glassfish.json.JsonParserImpl$4:org.glassfish.json.JsonParserImpl$3:org.glassfish.json.JsonPointerImpl$1:org.glassfish.json.JsonUtil:org.glassfish.json.JsonGeneratorFactoryImpl:org.glassfish.json.JsonParserImpl$2:org.glassfish.json.JsonParserImpl$1:org.glassfish.json.JsonStructureParser$ArrayScope:org.glassfish.json.api.BufferPool
