SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
io.restassured.internal.common.mapper.ObjectDeserializationContextImpl,io.rest-assured:rest-assured-common:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
org.codehaus.jackson.node.BaseJsonNode,org.codehaus.jackson:jackson-mapper-asl:1.9.11,org.codehaus.jackson.JsonNode,public,org.codehaus.jackson:jackson-core-asl:1.9.11,1
org.eclipse.yasson.internal.Unmarshaller,org.eclipse:yasson:1.0.6,javax.json.bind.serializer.DeserializationContext,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
org.apache.johnzon.mapper.MapperException,org.apache.johnzon:johnzon-mapper:1.1.11,javax.json.JsonException,public,jakarta.json:jakarta.json-api:1.1.6,1
org.eclipse.yasson.YassonJsonb,org.eclipse:yasson:1.0.6,javax.json.bind.Jsonb,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
com.fasterxml.jackson.databind.Module,com.fasterxml.jackson.core:jackson-databind:2.11.1,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.11.1,1
com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.core:jackson-databind:2.11.1,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.11.1,1
org.codehaus.jackson.map.JsonMappingException,org.codehaus.jackson:jackson-mapper-asl:1.9.11,org.codehaus.jackson.JsonProcessingException,public,org.codehaus.jackson:jackson-core-asl:1.9.11,1
com.fasterxml.jackson.databind.MappingJsonFactory,com.fasterxml.jackson.core:jackson-databind:2.11.1,com.fasterxml.jackson.core.JsonFactory,public,com.fasterxml.jackson.core:jackson-core:2.11.1,1
org.apache.johnzon.core.JohnzonJsonParser,org.apache.johnzon:johnzon-core:1.1.11,javax.json.stream.JsonParser,public,jakarta.json:jakarta.json-api:1.1.6,1
io.restassured.path.json.mapper.factory.GsonObjectMapperFactory,io.rest-assured:json-path:4.4.0,io.restassured.common.mapper.factory.ObjectMapperFactory,public,io.rest-assured:rest-assured-common:4.4.0,1
org.codehaus.jackson.map.ObjectWriter,org.codehaus.jackson:jackson-mapper-asl:1.9.11,org.codehaus.jackson.Versioned,public,org.codehaus.jackson:jackson-core-asl:1.9.11,1
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.11.1,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core:jackson-core:2.11.1,1
com.fasterxml.jackson.databind.ObjectReader,com.fasterxml.jackson.core:jackson-databind:2.11.1,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.11.1,1
io.restassured.internal.path.json.ConfigurableJsonSlurper$__clinit__closure1,io.rest-assured:json-path:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
org.codehaus.jackson.map.ObjectReader,org.codehaus.jackson:jackson-mapper-asl:1.9.11,org.codehaus.jackson.Versioned,public,org.codehaus.jackson:jackson-core-asl:1.9.11,1
org.eclipse.yasson.internal.Marshaller,org.eclipse:yasson:1.0.6,javax.json.bind.serializer.SerializationContext,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
io.restassured.internal.common.assertion.EndToEndQuoteFragmentEscaper,io.rest-assured:rest-assured-common:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.path.json.mapping.JsonPathJohnzonObjectDeserializer$_deserialize_closure1,io.rest-assured:json-path:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
org.glassfish.json.JsonProviderImpl,org.glassfish:jakarta.json:module,javax.json.spi.JsonProvider,public,jakarta.json:jakarta.json-api:1.1.6,1
org.eclipse.yasson.internal.JsonBindingBuilder,org.eclipse:yasson:1.0.6,javax.json.bind.JsonbBuilder,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
org.apache.johnzon.core.JsonGeneratorFactoryImpl,org.apache.johnzon:johnzon-core:1.1.11,javax.json.stream.JsonGeneratorFactory,public,jakarta.json:jakarta.json-api:1.1.6,1
com.fasterxml.jackson.databind.ObjectWriter,com.fasterxml.jackson.core:jackson-databind:2.11.1,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.11.1,1
io.restassured.internal.path.json.JsonPrettifier,io.rest-assured:json-path:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.path.json.ConfigurableJsonSlurper,io.rest-assured:json-path:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
org.eclipse.yasson.internal.serializer.AbstractValueTypeSerializer,org.eclipse:yasson:1.0.6,javax.json.bind.serializer.JsonbSerializer,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
io.restassured.internal.path.json.mapping.JsonPathJsonbObjectDeserializer$_deserialize_closure1,io.rest-assured:json-path:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.path.json.mapper.factory.JsonbObjectMapperFactory,io.rest-assured:json-path:4.4.0,io.restassured.common.mapper.factory.ObjectMapperFactory,public,io.rest-assured:rest-assured-common:4.4.0,1
org.apache.johnzon.core.JsonReaderFactoryImpl,org.apache.johnzon:johnzon-core:1.1.11,javax.json.JsonReaderFactory,public,jakarta.json:jakarta.json-api:1.1.6,1
org.apache.johnzon.core.JsonBuilderFactoryImpl,org.apache.johnzon:johnzon-core:1.1.11,javax.json.JsonBuilderFactory,public,jakarta.json:jakarta.json-api:1.1.6,1
org.eclipse.yasson.internal.JsonbParser,org.eclipse:yasson:1.0.6,javax.json.stream.JsonParser,public,jakarta.json:jakarta.json-api:1.1.6,1
io.restassured.internal.path.json.mapping.JsonObjectDeserializer,io.rest-assured:json-path:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator,com.fasterxml.jackson.core:jackson-databind:2.11.1,com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator,public,com.fasterxml.jackson.core:jackson-annotations:2.11.1,1
org.eclipse.yasson.JsonBindingProvider,org.eclipse:yasson:1.0.6,javax.json.bind.spi.JsonbProvider,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
