Class Name	Class Visibility	Class Library	Usage	Used In Library
java.io.PrintWriter	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.util.Map$Entry	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.io.BufferedWriter	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.util.Set	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.util.AbstractMap	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.lang.EmptyRange	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.Module	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.util.concurrent.BlockingQueue	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.StringBuilder	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.util.Comparator	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.reflect.AnnotatedElement	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.Object	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.Throwable	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.Float	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.io.FileType	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.lang.ObjectRange	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.io.BufferedOutputStream	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.lang.GroovyRuntimeException	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.util.Enumeration	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.util.BufferedIterator	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.reflect.Constructor	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.lang.GroovyObject	public	org.codehaus.groovy:groovy:3.0.8	subtyping	io.rest-assured:rest-assured-common:4.4.0
java.util.Map	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.Character	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.Thread	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.util.regex.Matcher	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.Long	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.lang.GString	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.lang.String	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.lang.groovydoc.Groovydoc	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
org.codehaus.groovy.runtime.callsite.CallSiteArray	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.math.BigInteger	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
groovy.lang.MetaClassImpl	public	org.codehaus.groovy:groovy:3.0.8	Class.forName	org.codehaus.groovy:groovy:3.0.8
java.io.DataOutputStream	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:3.0.8
