Class Name,Class Visibility,Class Library,Usage,Used In Library
org.codehaus.groovy.reflection.ClassInfo,private,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:rest-assured:4.4.0
io.restassured.specification.ProxySpecification,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
org.codehaus.groovy.runtime.callsite.GetEffectivePojoPropertySite,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:rest-assured:4.4.0
io.restassured.internal.support.ParameterUpdater$_updateCollectionParameter_closure2,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
io.restassured.internal.LogRequestAndResponseOnFailListener,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
io.restassured.internal.ResponseSpecificationImpl$_body_closure11,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
org.assertj.core.api.AbstractThrowableAssert,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
java.util.Set,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
com.google.gson.Gson,public,com.google.code.gson:gson:2.6.2,instantiation,io.rest-assured:json-path:4.4.0
io.restassured.internal.path.json.JSONAssertion,public,io.rest-assured:json-path:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
org.codehaus.groovy.runtime.callsite.PogoInterceptableSite,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:rest-assured:4.4.0
io.restassured.path.json.mapper.factory.DefaultGsonObjectMapperFactory,public,io.rest-assured:json-path:4.4.0,instantiation,io.rest-assured:rest-assured:4.4.0
java.util.AbstractMap,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
io.restassured.internal.ResponseSpecificationImpl$_contentType_closure13,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
io.restassured.internal.ResponseSpecificationImpl$_contentType_closure12,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
org.mockito.Mockito,public,unknownLib,Class.forName,org.codehaus.groovy:groovy:3.0.8
io.restassured.internal.RequestSpecificationImpl$_header_closure8,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
org.apache.http.protocol.ImmutableHttpProcessor,public,org.apache.httpcomponents:httpcore:4.4.13,instantiation,org.apache.httpcomponents:httpclient:4.5.13
org.apache.http.HttpEntityEnclosingRequest,public,org.apache.httpcomponents:httpcore:4.4.13,cast,io.rest-assured:rest-assured:4.4.0
groovy.lang.Reference,public,org.codehaus.groovy:groovy:3.0.8,method call,io.rest-assured:rest-assured:4.4.0
groovy.json.JsonToken,public,org.codehaus.groovy:groovy-json:3.0.8,Class.forName,org.codehaus.groovy:groovy:3.0.8
javax.json.stream.JsonGenerator,public,jakarta.json:jakarta.json-api:1.1.6,subtyping,org.apache.johnzon:johnzon-core:1.1.11
io.restassured.internal.MapCreator$CollisionStrategy,public,io.rest-assured:rest-assured:4.4.0,method call,org.codehaus.groovy:groovy:3.0.8
