Callee Library,Field Name,Declared Class,Actual Class,Field Signature,Static,Visibility,Field Library,Reflective,Count
org.codehaus.groovy:groovy:3.0.8,io.restassured.internal.RequestSpecificationImpl::port,io.restassured.internal.RequestSpecificationImpl,io.restassured.internal.RequestSpecificationImpl,int,false,private,io.rest-assured:rest-assured:4.4.0,true,36
org.codehaus.groovy:groovy:3.0.8,java.lang.Class::XML,io.restassured.parsing.Parser,java.lang.Class,io.restassured.parsing.Parser,true,public,io.rest-assured:rest-assured:4.4.0,true,2
org.eclipse:yasson:1.0.6,javax.json.JsonValue::TRUE,javax.json.JsonValue,javax.json.JsonValue,javax.json.JsonValue,true,public,jakarta.json:jakarta.json-api:1.1.6,false,1
io.rest-assured:rest-assured:4.4.0,io.restassured.path.json.config.JsonPathConfig$NumberReturnType::FLOAT_AND_DOUBLE,io.restassured.path.json.config.JsonPathConfig$NumberReturnType,io.restassured.path.json.config.JsonPathConfig$NumberReturnType,io.restassured.path.json.config.JsonPathConfig$NumberReturnType,true,public,io.rest-assured:json-path:4.4.0,false,1
org.codehaus.groovy:groovy:3.0.8,java.lang.Class::out,java.lang.System,java.lang.Class,java.io.PrintStream,true,public,unknownLib,true,2
io.rest-assured:rest-assured:4.4.0,io.restassured.path.json.config.JsonPathConfig$NumberReturnType::BIG_DECIMAL,io.restassured.path.json.config.JsonPathConfig$NumberReturnType,io.restassured.path.json.config.JsonPathConfig$NumberReturnType,io.restassured.path.json.config.JsonPathConfig$NumberReturnType,true,public,io.rest-assured:json-path:4.4.0,false,1
io.rest-assured:rest-assured:4.4.0,org.apache.http.conn.ssl.SSLSocketFactory::ALLOW_ALL_HOSTNAME_VERIFIER,org.apache.http.conn.ssl.SSLSocketFactory,org.apache.http.conn.ssl.SSLSocketFactory,org.apache.http.conn.ssl.X509HostnameVerifier,true,public,org.apache.httpcomponents:httpclient:4.5.13,false,3
org.codehaus.groovy:groovy:3.0.8,io.restassured.internal.ResponseSpecificationImpl::requestSpecification,io.restassured.internal.ResponseSpecificationImpl,io.restassured.internal.ResponseSpecificationImpl,io.restassured.specification.RequestSpecification,false,private,io.rest-assured:rest-assured:4.4.0,true,38
org.eclipse:yasson:1.0.6,javax.json.JsonValue::NULL,javax.json.JsonValue,javax.json.JsonValue,javax.json.JsonValue,true,public,jakarta.json:jakarta.json-api:1.1.6,false,1
org.codehaus.groovy:groovy:3.0.8,java.lang.Class::ANY,io.restassured.http.ContentType,java.lang.Class,io.restassured.http.ContentType,true,public,io.rest-assured:rest-assured:4.4.0,true,1
org.codehaus.groovy:groovy:3.0.8,java.lang.Class::MERGE,io.restassured.config.ParamConfig$UpdateStrategy,java.lang.Class,io.restassured.config.ParamConfig$UpdateStrategy,true,public,io.rest-assured:rest-assured:4.4.0,true,8
org.eclipse:yasson:1.0.6,javax.json.stream.JsonParser$Event::VALUE_NULL,javax.json.stream.JsonParser$Event,javax.json.stream.JsonParser$Event,javax.json.stream.JsonParser$Event,true,public,jakarta.json:jakarta.json-api:1.1.6,false,4
