Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.codehaus.groovy:groovy:3.0.8	io.restassured.internal.RequestSpecificationImpl::port	io.restassured.internal.RequestSpecificationImpl	io.restassured.internal.RequestSpecificationImpl	int	FALSE	private	io.rest-assured:rest-assured:4.4.0	TRUE	36
org.codehaus.groovy:groovy:3.0.8	java.lang.Class::XML	io.restassured.parsing.Parser	java.lang.Class	io.restassured.parsing.Parser	TRUE	public	io.rest-assured:rest-assured:4.4.0	TRUE	2
org.eclipse:yasson:1.0.6	javax.json.JsonValue::TRUE	javax.json.JsonValue	javax.json.JsonValue	javax.json.JsonValue	TRUE	public	jakarta.json:jakarta.json-api:1.1.6	FALSE	1
io.rest-assured:rest-assured:4.4.0	io.restassured.path.json.config.JsonPathConfig$NumberReturnType::FLOAT_AND_DOUBLE	io.restassured.path.json.config.JsonPathConfig$NumberReturnType	io.restassured.path.json.config.JsonPathConfig$NumberReturnType	io.restassured.path.json.config.JsonPathConfig$NumberReturnType	TRUE	public	io.rest-assured:json-path:4.4.0	FALSE	1
org.codehaus.groovy:groovy:3.0.8	java.lang.Class::out	java.lang.System	java.lang.Class	java.io.PrintStream	TRUE	public	unknownLib	TRUE	2
io.rest-assured:rest-assured:4.4.0	io.restassured.path.json.config.JsonPathConfig$NumberReturnType::BIG_DECIMAL	io.restassured.path.json.config.JsonPathConfig$NumberReturnType	io.restassured.path.json.config.JsonPathConfig$NumberReturnType	io.restassured.path.json.config.JsonPathConfig$NumberReturnType	TRUE	public	io.rest-assured:json-path:4.4.0	FALSE	1
io.rest-assured:rest-assured:4.4.0	org.apache.http.conn.ssl.SSLSocketFactory::ALLOW_ALL_HOSTNAME_VERIFIER	org.apache.http.conn.ssl.SSLSocketFactory	org.apache.http.conn.ssl.SSLSocketFactory	org.apache.http.conn.ssl.X509HostnameVerifier	TRUE	public	org.apache.httpcomponents:httpclient:4.5.13	FALSE	3
org.codehaus.groovy:groovy:3.0.8	io.restassured.internal.ResponseSpecificationImpl::requestSpecification	io.restassured.internal.ResponseSpecificationImpl	io.restassured.internal.ResponseSpecificationImpl	io.restassured.specification.RequestSpecification	FALSE	private	io.rest-assured:rest-assured:4.4.0	TRUE	38
org.eclipse:yasson:1.0.6	javax.json.JsonValue::NULL	javax.json.JsonValue	javax.json.JsonValue	javax.json.JsonValue	TRUE	public	jakarta.json:jakarta.json-api:1.1.6	FALSE	1
org.codehaus.groovy:groovy:3.0.8	java.lang.Class::ANY	io.restassured.http.ContentType	java.lang.Class	io.restassured.http.ContentType	TRUE	public	io.rest-assured:rest-assured:4.4.0	TRUE	1
org.codehaus.groovy:groovy:3.0.8	java.lang.Class::MERGE	io.restassured.config.ParamConfig$UpdateStrategy	java.lang.Class	io.restassured.config.ParamConfig$UpdateStrategy	TRUE	public	io.rest-assured:rest-assured:4.4.0	TRUE	8
org.eclipse:yasson:1.0.6	javax.json.stream.JsonParser$Event::VALUE_NULL	javax.json.stream.JsonParser$Event	javax.json.stream.JsonParser$Event	javax.json.stream.JsonParser$Event	TRUE	public	jakarta.json:jakarta.json-api:1.1.6	FALSE	4
