Library Name	No. of Public/Protected Methods	No. of Methods Called By Tests	Classes
unknownLib	0	0	 
org.codehaus.groovy:groovy-xml:3.0.8	1097	0	groovy.util.XmlSlurper:groovy.xml.StreamingDOMBuilder$_closure3$_closure7:groovy.xml.streamingmarkupsupport.Builder:groovy.xml.slurpersupport.ReplacementNode:groovy.xml.markupsupport.AllControlToUndefined:groovy.xml.NamespaceBuilder:groovy.xml.slurpersupport.NoChildren:groovy.xml.streamingmarkupsupport.StreamingMarkupWriter$1:groovy.util.slurpersupport.Node:groovy.xml.slurpersupport.Attributes$1:groovy.util.slurpersupport.Attributes$1:org.codehaus.groovy.runtime.XmlGroovyMethods:groovy.util.XmlSlurper$1:groovy.xml.slurpersupport.NodeChildren$1:groovy.xml.StreamingDOMBuilder$_closure4$_closure8:groovy.xml.slurpersupport.NodeChildren$3:groovy.xml.StreamingDOMBuilder$_closure4$_closure9:groovy.xml.slurpersupport.NodeChildren$2:groovy.util.slurpersupport.NodeChild:org.apache.groovy.xml.tools.DomToGroovy:groovy.xml.markupsupport.StandardXmlAttributeFilter:groovy.xml.MarkupBuilder:groovy.util.slurpersupport.FilteredNodeChildren$1:groovy.xml.StreamingDOMBuilder$_closure1:groovy.util.slurpersupport.Attributes:groovy.xml.StreamingDOMBuilder$_closure2:groovy.xml.StreamingDOMBuilder$_closure3:groovy.xml.slurpersupport.FilteredAttributes:groovy.xml.StreamingDOMBuilder$_closure4:groovy.xml.StreamingMarkupBuilder$_closure6$_closure14:groovy.xml.XmlUtil:groovy.xml.StreamingMarkupBuilder$_closure6$_closure13:groovy.xml.streamingmarkupsupport.Builder$Built:groovy.xml.StreamingMarkupBuilder$_closure6$_closure15:groovy.xml.slurpersupport.NodeParents$1:groovy.xml.StreamingMarkupBuilder$_closure6$_closure12:groovy.xml.dom.DOMCategory$NodeListsHolder:groovy.xml.StaxBuilder$_createNode_closure1:groovy.util.slurpersupport.NamespaceAwareHashMap:groovy.xml.slurpersupport.Node$2:groovy.xml.slurpersupport.FilteredNodeChildren$1:groovy.xml.slurpersupport.Node$1:groovy.xml.StreamingSAXBuilder$_closure2$_closure7:groovy.xml.slurpersupport.Node:groovy.xml.StreamingSAXBuilder:groovy.xml.SAXBuilder:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure5$_closure10:groovy.xml.NamespaceBuilderSupport:org.apache.groovy.xml.extensions.XmlExtensions$1:org.codehaus.groovy.runtime.XmlGroovyMethods$1:groovy.xml.slurpersupport.NodeIterator:groovy.xml.streamingmarkupsupport.StreamingMarkupWriter:groovy.xml.MarkupBuilderHelper:groovy.xml.StreamingMarkupBuilder$_bind_closure7:groovy.xml.StreamingMarkupBuilder$_closure2$_closure9$_closure10:groovy.xml.StreamingDOMBuilder$_closure2$_closure6:groovy.xml.XmlUtil$2:groovy.xml.Entity:groovy.util.slurpersupport.GPathResult$3:groovy.util.slurpersupport.Node$1:groovy.util.XmlNodePrinter$NamespaceContext:groovy.util.slurpersupport.GPathResult$4:groovy.xml.slurpersupport.Attributes:groovy.util.slurpersupport.GPathResult$1:groovy.util.slurpersupport.Node$3:groovy.xml.StreamingSAXBuilder$_processBody_closure5:groovy.util.slurpersupport.GPathResult$2:groovy.util.slurpersupport.Node$2:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder$Document$OutputSink:groovy.util.slurpersupport.Node$4:groovy.util.slurpersupport.FilteredAttributes$1:groovy.util.slurpersupport.NodeChildren$1:groovy.xml.markupsupport.StandardXmlFilter:groovy.util.slurpersupport.NodeChildren$2:groovy.util.slurpersupport.NodeChildren$3:groovy.xml.slurpersupport.NamespaceAwareHashMap:groovy.util.slurpersupport.FilteredAttributes:groovy.xml.slurpersupport.FilteredNodeChildren:groovy.xml.slurpersupport.NodeParents:groovy.xml.slurpersupport.Node$4:groovy.util.slurpersupport.NodeParents:groovy.xml.XmlNodePrinter$NamespaceContext:groovy.xml.XmlUtil$1:groovy.xml.slurpersupport.Node$3:groovy.xml.slurpersupport.NodeChildren:groovy.xml.markupsupport.StandardControlToUndefined:groovy.util.XmlNodePrinter:groovy.xml.StreamingSAXBuilder$_closure4$_closure9:groovy.xml.StreamingSAXBuilder$_closure4$_closure8:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder$Document$5:org.apache.groovy.xml.extensions.XmlExtensions:groovy.xml.dom.DOMCategory$1:groovy.util.slurpersupport.GPathResult:org.codehaus.groovy.tools.xml.DomToGroovy:groovy.util.slurpersupport.FilteredNodeChildren:groovy.util.slurpersupport.NodeChildren:groovy.util.slurpersupport.GPathResult$5:groovy.util.slurpersupport.GPathResult$6:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure3$_closure7$_closure8:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure3$_closure7:groovy.xml.StreamingDOMBuilder$_bind_closure5:groovy.xml.StreamingMarkupBuilder$_closure2$_closure9:groovy.xml.StreamingSAXBuilder$_bind_closure6:groovy.xml.dom.DOMCategory$NodesHolder:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder$Document:groovy.xml.slurpersupport.NoChildren$1:groovy.util.slurpersupport.NodeIterator:groovy.xml.dom.DOMCategory:groovy.util.XmlParser:groovy.xml.slurpersupport.GPathResult:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder$Document$4:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder$Document$3:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder$Document$2:groovy.xml.XmlNodePrinter:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder$Document$1:groovy.xml.StreamingMarkupBuilder$_closure5:groovy.util.slurpersupport.ReplacementNode:groovy.xml.StreamingMarkupBuilder$_closure4:groovy.xml.markupsupport.SurrogateToUndefined:groovy.xml.DOMBuilder:groovy.xml.StreamingMarkupBuilder$_bindNode_closure8:groovy.xml.StreamingMarkupBuilder$_closure6:groovy.xml.StreamingMarkupBuilder$_closure1:groovy.xml.StreamingMarkupBuilder$_closure3:groovy.xml.StreamingMarkupBuilder$_closure2:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure2$_closure6:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure5$_closure9:groovy.xml.Namespace:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure5:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure4:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure3:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder:groovy.xml.MarkupBuilder$CharFilter:groovy.xml.streamingmarkupsupport.BaseMarkupBuilder:groovy.xml.StreamingDOMBuilder$_closure4$_closure11:groovy.util.slurpersupport.NoChildren$1:groovy.xml.StreamingDOMBuilder$_closure4$_closure12:groovy.xml.StreamingDOMBuilder$_closure4$_closure13:groovy.xml.StreamingSAXBuilder$_closure4$_closure10:groovy.xml.StreamingDOMBuilder:groovy.xml.slurpersupport.GPathResult$1:groovy.xml.slurpersupport.GPathResult$2:groovy.xml.StaxBuilder:groovy.xml.slurpersupport.GPathResult$3:groovy.xml.slurpersupport.GPathResult$4:groovy.util.slurpersupport.Attribute:groovy.xml.slurpersupport.GPathResult$5:groovy.xml.slurpersupport.GPathResult$6:groovy.xml.StreamingMarkupBuilder$_closure4$_closure11:groovy.xml.StreamingDOMBuilder$_closure4$_closure10:groovy.xml.StreamingSAXBuilder$_closure3:groovy.xml.StreamingSAXBuilder$_closure2:groovy.xml.StreamingSAXBuilder$_closure1:groovy.util.slurpersupport.NoChildren:groovy.xml.slurpersupport.FilteredAttributes$1:groovy.xml.slurpersupport.NodeChild:groovy.xml.FactorySupport:groovy.xml.XmlSlurper:groovy.xml.slurpersupport.Attribute:groovy.xml.StreamingMarkupBuilder:groovy.xml.MarkupBuilder$DefaultXmlEscapingFunction:groovy.xml.markupsupport.SingleQuoteFilter:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure2:groovy.xml.streamingmarkupsupport.AbstractStreamingBuilder$_closure1:groovy.xml.markupsupport.DoubleQuoteFilter:groovy.xml.XmlParser:groovy.util.XmlUtil:groovy.util.slurpersupport.NodeParents$1:groovy.xml.StreamingSAXBuilder$_closure4
io.rest-assured:xml-path:4.4.0	296	0	io.restassured.internal.path.xml.GroovyNodeSerializer:io.restassured.internal.path.xml.mapping.XmlPathJaxbObjectDeserializer:io.restassured.path.xml.element.Node:io.restassured.path.xml.element.NodeChildren:io.restassured.internal.path.xml.NodeImpl$ValueIterator:io.restassured.path.xml.XmlPath$1:io.restassured.path.xml.XmlPath$2:io.restassured.internal.path.xml.XmlRenderer:io.restassured.path.xml.exception.XmlPathException:io.restassured.internal.path.xml.XMLAssertion:io.restassured.path.xml.config.XmlParserType:io.restassured.internal.path.xml.NodeChildrenImpl$_toString_closure1:io.restassured.internal.path.xml.XmlPrettifier:io.restassured.path.xml.XmlPath:io.restassured.path.xml.XmlPath$5:io.restassured.path.xml.XmlPath$6:io.restassured.path.xml.XmlPath$3:io.restassured.path.xml.config.XmlPathConfig:io.restassured.internal.path.xml.NodeChildrenImpl$NodeListIterator:io.restassured.internal.path.xml.NodeChildrenImpl:io.restassured.path.xml.XmlPath$4:io.restassured.path.xml.mapper.factory.DefaultJAXBObjectMapperFactory:io.restassured.internal.path.xml.NodeBase:io.restassured.internal.path.xml.XmlPrettifier$_prettify_closure2:io.restassured.internal.path.xml.XmlRenderer$_render_closure1$_closure2:io.restassured.internal.path.xml.XmlPrettifier$_prettify_closure1:io.restassured.path.xml.XmlPath$CompatibilityMode:io.restassured.path.xml.mapping.XmlPathObjectDeserializer:io.restassured.path.xml.element.PathElement:io.restassured.internal.path.xml.mapping.XmlObjectDeserializer$1:io.restassured.internal.path.xml.NodeImpl:io.restassured.internal.path.xml.mapping.XmlObjectDeserializer:io.restassured.path.xml.XmlPath$LazyXmlParser:io.restassured.internal.path.xml.XmlRenderer$_render_closure1:io.restassured.path.xml.mapper.factory.JAXBObjectMapperFactory:io.restassured.internal.path.xml.XMLAssertion$_toJavaList_closure1:io.restassured.internal.path.xml.XMLAssertion$_toJavaList_closure2:io.restassured.internal.path.xml.XmlEntity
com.github.scribejava:scribejava-core:2.5.3	219	0	com.github.scribejava.core.model.Parameter:com.github.scribejava.core.model.OAuthConfigAsync:com.github.scribejava.core.services.TimestampServiceImpl$Timer:com.github.scribejava.core.builder.ServiceBuilder:com.github.scribejava.core.extractors.TokenExtractor:com.github.scribejava.core.exceptions.OAuthConnectionException:com.github.scribejava.core.model.OAuthRequestAsync:com.github.scribejava.core.oauth.OAuth20Service:com.github.scribejava.core.extractors.HeaderExtractor:com.github.scribejava.core.builder.AbstractServiceBuilder:com.github.scribejava.core.services.Base64Encoder:com.github.scribejava.core.services.DatatypeConverterEncoder:com.github.scribejava.core.builder.api.BaseApi:com.github.scribejava.core.exceptions.OAuthException:com.github.scribejava.core.model.OAuth2AccessToken:com.github.scribejava.core.model.AbstractRequest:com.github.scribejava.core.model.ForceTypeOfHttpRequest:com.github.scribejava.core.extractors.OAuth2AccessTokenExtractor:com.github.scribejava.core.services.SignatureService:com.github.scribejava.core.builder.ServiceBuilderAsync:com.github.scribejava.core.extractors.OAuth1AccessTokenExtractor$InstanceHolder:com.github.scribejava.core.utils.OAuthEncoder:com.github.scribejava.core.model.OAuthConstants:com.github.scribejava.core.model.OAuthConfig:com.github.scribejava.core.services.HMACSha1SignatureService:com.github.scribejava.core.model.Verb:com.github.scribejava.core.extractors.BaseStringExtractor:com.github.scribejava.core.extractors.OAuth1RequestTokenExtractor$InstanceHolder:com.github.scribejava.core.extractors.HeaderExtractorImpl:com.github.scribejava.core.extractors.OAuth2AccessTokenJsonExtractor:com.github.scribejava.core.extractors.AbstractOAuth1TokenExtractor:com.github.scribejava.core.extractors.OAuth1AccessTokenExtractor:com.github.scribejava.core.extractors.OAuth2AccessTokenExtractor$InstanceHolder:com.github.scribejava.core.model.SignatureType:com.github.scribejava.core.services.RSASha1SignatureService:com.github.scribejava.core.utils.StreamUtils:com.github.scribejava.core.oauth.OAuth20Service$1:com.github.scribejava.core.services.TimestampService:com.github.scribejava.core.model.ParameterList:com.github.scribejava.core.services.CommonsEncoder:com.github.scribejava.core.model.ScribeJavaConfig:com.github.scribejava.core.exceptions.OAuthParametersMissingException:com.github.scribejava.core.oauth.OAuth10aService:com.github.scribejava.core.model.OAuth1AccessToken:com.github.scribejava.core.model.OAuth2Authorization:com.github.scribejava.core.extractors.OAuth1RequestTokenExtractor:com.github.scribejava.core.utils.Preconditions:com.github.scribejava.core.model.OAuth1RequestToken:com.github.scribejava.core.builder.api.DefaultApi20:com.github.scribejava.core.services.PlaintextSignatureService:com.github.scribejava.core.model.Token:com.github.scribejava.core.model.OAuthRequestAsync$OAuthAsyncCompletionHandler:com.github.scribejava.core.model.OAuthRequestAsync$ResponseConverter:com.github.scribejava.core.model.OAuth1Token:com.github.scribejava.core.services.TimestampServiceImpl:com.github.scribejava.core.oauth.OAuth10aService$1:com.github.scribejava.core.oauth.OAuth10aService$2:com.github.scribejava.core.oauth.OAuthService:com.github.scribejava.core.builder.api.DefaultApi10a:com.github.scribejava.core.model.OAuthAsyncRequestCallback:com.github.scribejava.core.model.OAuthRequestAsync$1:com.github.scribejava.core.model.OAuthRequestAsync$2:com.github.scribejava.core.extractors.OAuth2AccessTokenJsonExtractor$InstanceHolder:com.github.scribejava.core.exceptions.OAuthSignatureException:com.github.scribejava.core.model.OAuthRequest:com.github.scribejava.core.utils.MapUtils:com.github.scribejava.core.model.Response:com.github.scribejava.core.extractors.BaseStringExtractorImpl
com.google.code.gson:gson:2.6.2	642	0	com.google.gson.internal.bind.TimeTypeAdapter$1:com.google.gson.reflect.TypeToken:com.google.gson.internal.bind.TypeAdapters$23:com.google.gson.internal.bind.TypeAdapters$24:com.google.gson.internal.LinkedTreeMap$KeySet:com.google.gson.internal.bind.TypeAdapters$25:com.google.gson.TreeTypeAdapter$SingleTypeFactory:com.google.gson.internal.bind.TypeAdapters$26:com.google.gson.internal.bind.TypeAdapters$20:com.google.gson.GsonBuilder:com.google.gson.internal.bind.JsonTreeWriter:com.google.gson.internal.bind.TypeAdapters$21:com.google.gson.TypeAdapter:com.google.gson.internal.bind.TypeAdapters$22:com.google.gson.JsonDeserializationContext:com.google.gson.internal.bind.TypeAdapters$27:com.google.gson.FieldNamingStrategy:com.google.gson.internal.bind.TypeAdapters$28:com.google.gson.internal.bind.TypeAdapters$29:com.google.gson.internal.bind.SqlDateTypeAdapter:com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper:com.google.gson.ExclusionStrategy:com.google.gson.internal.bind.TimeTypeAdapter:com.google.gson.internal.LinkedHashTreeMap$KeySet:com.google.gson.stream.JsonScope:com.google.gson.internal.bind.TypeAdapters$34:com.google.gson.internal.bind.TypeAdapters$35:com.google.gson.internal.bind.TypeAdapters$36:com.google.gson.internal.bind.TypeAdapters$30:com.google.gson.internal.bind.TypeAdapters$31:com.google.gson.internal.bind.TypeAdapters$32:com.google.gson.internal.bind.TypeAdapters$33:com.google.gson.JsonArray:com.google.gson.LongSerializationPolicy:com.google.gson.internal.bind.TypeAdapters$35$1:com.google.gson.internal.Excluder:com.google.gson.internal.LinkedTreeMap$EntrySet$1:com.google.gson.annotations.Until:com.google.gson.TypeAdapterFactory:com.google.gson.internal.$Gson$Types$GenericArrayTypeImpl:com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter:com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter:com.google.gson.stream.JsonReader$1:com.google.gson.internal.$Gson$Types:com.google.gson.JsonParser:com.google.gson.FieldAttributes:com.google.gson.internal.bind.util.ISO8601Utils:com.google.gson.stream.JsonReader:com.google.gson.InstanceCreator:com.google.gson.internal.bind.MapTypeAdapterFactory:com.google.gson.Gson$FutureTypeAdapter:com.google.gson.internal.LinkedTreeMap$Node:com.google.gson.stream.JsonWriter:com.google.gson.internal.bind.ArrayTypeAdapter$1:com.google.gson.internal.$Gson$Preconditions:com.google.gson.internal.Streams:com.google.gson.internal.bind.TypeAdapters$12:com.google.gson.internal.bind.TypeAdapters$13:com.google.gson.internal.bind.TypeAdapters$14:com.google.gson.internal.bind.TypeAdapters$15:com.google.gson.internal.LinkedHashTreeMap$EntrySet:com.google.gson.internal.bind.TypeAdapters$10:com.google.gson.internal.Primitives:com.google.gson.internal.bind.TypeAdapters$11:com.google.gson.internal.ConstructorConstructor$5:com.google.gson.stream.MalformedJsonException:com.google.gson.internal.bind.ArrayTypeAdapter:com.google.gson.internal.ConstructorConstructor$4:com.google.gson.internal.ConstructorConstructor$3:com.google.gson.stream.JsonToken:com.google.gson.internal.ConstructorConstructor$2:com.google.gson.internal.bind.TypeAdapters$16:com.google.gson.internal.ConstructorConstructor$1:com.google.gson.internal.bind.TypeAdapters$17:com.google.gson.internal.ObjectConstructor:com.google.gson.internal.bind.TypeAdapters$18:com.google.gson.internal.Streams$AppendableWriter$CurrentWrite:com.google.gson.internal.bind.DateTypeAdapter$1:com.google.gson.internal.bind.TypeAdapters$19:com.google.gson.internal.LinkedHashTreeMap$Node:com.google.gson.JsonNull:com.google.gson.internal.ConstructorConstructor$9:com.google.gson.internal.ConstructorConstructor$8:com.google.gson.JsonStreamParser:com.google.gson.TreeTypeAdapter:com.google.gson.internal.ConstructorConstructor$7:com.google.gson.LongSerializationPolicy$1:com.google.gson.internal.ConstructorConstructor$6:com.google.gson.LongSerializationPolicy$2:com.google.gson.JsonObject:com.google.gson.internal.bind.JsonTreeReader$1:com.google.gson.TypeAdapter$1:com.google.gson.Gson$6:com.google.gson.internal.UnsafeAllocator$3:com.google.gson.Gson$7:com.google.gson.internal.UnsafeAllocator$4:com.google.gson.internal.UnsafeAllocator$1:com.google.gson.internal.UnsafeAllocator$2:com.google.gson.Gson$2:com.google.gson.Gson$3:com.google.gson.internal.bind.ObjectTypeAdapter:com.google.gson.Gson$4:com.google.gson.JsonSerializer:com.google.gson.Gson$5:com.google.gson.internal.bind.DateTypeAdapter:com.google.gson.internal.bind.CollectionTypeAdapterFactory$Adapter:com.google.gson.Gson$1:com.google.gson.internal.bind.TypeAdapters$26$1:com.google.gson.internal.LinkedHashTreeMap:com.google.gson.Gson:com.google.gson.internal.LinkedTreeMap$1:com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator:com.google.gson.internal.LinkedTreeMap$KeySet$1:com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$BoundField:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:com.google.gson.internal.LinkedHashTreeMap$AvlIterator:com.google.gson.internal.LinkedTreeMap$EntrySet:com.google.gson.annotations.Expose:com.google.gson.internal.$Gson$Types$WildcardTypeImpl:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1:com.google.gson.internal.LinkedHashTreeMap$KeySet$1:com.google.gson.annotations.SerializedName:com.google.gson.internal.bind.TypeAdapters$2:com.google.gson.internal.Excluder$1:com.google.gson.internal.bind.JsonTreeReader:com.google.gson.internal.bind.JsonTreeWriter$1:com.google.gson.internal.bind.TypeAdapters$1:com.google.gson.internal.bind.SqlDateTypeAdapter$1:com.google.gson.internal.bind.TypeAdapters$8:com.google.gson.JsonIOException:com.google.gson.internal.bind.TypeAdapters$7:com.google.gson.internal.bind.TypeAdapters:com.google.gson.internal.bind.TypeAdapters$9:com.google.gson.internal.bind.TypeAdapters$4:com.google.gson.internal.LinkedTreeMap:com.google.gson.internal.bind.TypeAdapters$3:com.google.gson.internal.bind.ObjectTypeAdapter$2:com.google.gson.internal.bind.TypeAdapters$6:com.google.gson.internal.bind.ObjectTypeAdapter$1:com.google.gson.internal.bind.TypeAdapters$5:com.google.gson.internal.LazilyParsedNumber:com.google.gson.internal.LinkedHashTreeMap$AvlBuilder:com.google.gson.JsonParseException:com.google.gson.internal.ConstructorConstructor:com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter:com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator:com.google.gson.JsonElement:com.google.gson.FieldNamingPolicy:com.google.gson.internal.bind.CollectionTypeAdapterFactory:com.google.gson.annotations.JsonAdapter:com.google.gson.DefaultDateTypeAdapter:com.google.gson.JsonSerializationContext:com.google.gson.internal.UnsafeAllocator:com.google.gson.JsonPrimitive:com.google.gson.internal.Streams$AppendableWriter:com.google.gson.internal.ConstructorConstructor$13:com.google.gson.internal.ConstructorConstructor$14:com.google.gson.JsonSyntaxException:com.google.gson.internal.LinkedHashTreeMap$EntrySet$1:com.google.gson.FieldNamingPolicy$4:com.google.gson.FieldNamingPolicy$3:com.google.gson.annotations.Since:com.google.gson.FieldNamingPolicy$5:com.google.gson.internal.JsonReaderInternalAccess:com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl:com.google.gson.internal.LinkedHashTreeMap$1:com.google.gson.JsonDeserializer:com.google.gson.internal.ConstructorConstructor$10:com.google.gson.FieldNamingPolicy$2:com.google.gson.internal.ConstructorConstructor$11:com.google.gson.FieldNamingPolicy$1:com.google.gson.internal.ConstructorConstructor$12
org.glassfish:jakarta.json:module	374	0	org.glassfish.json.JsonNumberImpl$JsonLongNumber:org.glassfish.json.JsonTokenizer:org.glassfish.json.JsonReaderFactoryImpl:org.glassfish.json.UnicodeDetectingInputStream:org.glassfish.json.JsonPatchImpl:org.glassfish.json.NodeReference$1:org.glassfish.json.JsonWriterImpl$NoFlushOutputStream:org.glassfish.json.JsonGeneratorImpl$Context:org.glassfish.json.JsonNumberImpl:org.glassfish.json.JsonWriterImpl$1:org.glassfish.json.JsonPatchBuilderImpl:org.glassfish.json.JsonParserImpl$NoneContext:org.glassfish.json.JsonObjectBuilderImpl$JsonObjectImpl:org.glassfish.json.JsonNumberImpl$JsonIntNumber:org.glassfish.json.JsonPointerImpl:org.glassfish.json.JsonGeneratorImpl$1:org.glassfish.json.NodeReference$RootReference:org.glassfish.json.JsonPrettyGeneratorImpl:org.glassfish.json.JsonWriterFactoryImpl:org.glassfish.json.JsonParserImpl$Stack:org.glassfish.json.JsonParserImpl$ArrayContext:org.glassfish.json.JsonBuilderFactoryImpl:org.glassfish.json.JsonPatchImpl$DiffGenerator:org.glassfish.json.JsonMessages:org.glassfish.json.JsonLocationImpl:org.glassfish.json.JsonStructureParser:org.glassfish.json.JsonWriterImpl:org.glassfish.json.NodeReference:org.glassfish.json.JsonParserImpl$Context:org.glassfish.json.JsonTokenizer$JsonToken:org.glassfish.json.MapUtil:org.glassfish.json.JsonReaderImpl:org.glassfish.json.NodeReference$ArrayReference:org.glassfish.json.BufferPoolImpl:org.glassfish.json.JsonStructureParser$ObjectScope:org.glassfish.json.JsonStructureParser$1:org.glassfish.json.JsonGeneratorImpl$Scope:org.glassfish.json.JsonArrayBuilderImpl:org.glassfish.json.NodeReference$ObjectReference:org.glassfish.json.JsonGeneratorImpl:org.glassfish.json.JsonParserFactoryImpl:org.glassfish.json.JsonNumberImpl$JsonBigDecimalNumber:org.glassfish.json.JsonArrayBuilderImpl$JsonArrayImpl:org.glassfish.json.JsonMergePatchImpl:org.glassfish.json.JsonStringImpl:org.glassfish.json.JsonStructureParser$Scope:org.glassfish.json.JsonProviderImpl:org.glassfish.json.JsonParserImpl$ObjectContext:org.glassfish.json.JsonPatchImpl$1:module-info:org.glassfish.json.JsonObjectBuilderImpl:org.glassfish.json.JsonParserImpl:org.glassfish.json.JsonParserImpl$4:org.glassfish.json.JsonParserImpl$3:org.glassfish.json.JsonPointerImpl$1:org.glassfish.json.JsonUtil:org.glassfish.json.JsonGeneratorFactoryImpl:org.glassfish.json.JsonParserImpl$2:org.glassfish.json.JsonParserImpl$1:org.glassfish.json.JsonStructureParser$ArrayScope:org.glassfish.json.api.BufferPool
commons-logging:commons-logging:1.2	177	0	org.apache.commons.logging.impl.WeakHashtable$WeakKey:org.apache.commons.logging.impl.SimpleLog:org.apache.commons.logging.impl.Log4JLogger:org.apache.commons.logging.impl.WeakHashtable$1:org.apache.commons.logging.LogFactory$1:org.apache.commons.logging.LogFactory$2:org.apache.commons.logging.LogSource:org.apache.commons.logging.impl.LogFactoryImpl:org.apache.commons.logging.impl.AvalonLogger:org.apache.commons.logging.impl.ServletContextCleaner:org.apache.commons.logging.impl.NoOpLog:org.apache.commons.logging.LogFactory$5:org.apache.commons.logging.LogFactory$6:org.apache.commons.logging.LogFactory$3:org.apache.commons.logging.LogFactory$4:org.apache.commons.logging.impl.LogKitLogger:org.apache.commons.logging.impl.WeakHashtable$Referenced:org.apache.commons.logging.impl.Jdk13LumberjackLogger:org.apache.commons.logging.impl.WeakHashtable$Entry:org.apache.commons.logging.impl.WeakHashtable:org.apache.commons.logging.impl.LogFactoryImpl$3:org.apache.commons.logging.impl.LogFactoryImpl$2:org.apache.commons.logging.impl.LogFactoryImpl$1:org.apache.commons.logging.impl.SimpleLog$1:org.apache.commons.logging.Log:org.apache.commons.logging.LogFactory:org.apache.commons.logging.impl.Jdk14Logger:org.apache.commons.logging.LogConfigurationException
